Ссылка;Название;Сайт;Телефон;Email
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;Shanghai Jian & Mei Industry and Trade Co.,Ltd;General Manager;;xarella.huang@jm-industry.com
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;HEBEI PENGSHENG;Handan City Hebei province;;hbps2021@163.com
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;Nanpibowei Hardware Products Co., LTD;https://npbwhardware.en.alibaba.com/?spm=a2700.29482153.0.0.547871d2knCboU;;jack-tang@np-bw.com
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;NINGBO BRIGHTFAST MACHINERY INDUSTRY TRADE CO.,LTD;https://www.brightfastener.com/;;82329258@qq.com
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;Hebei Chengyi Engineering Materials Co., Ltd.;https://www.cyfastener.com/;;admin@cyfastener.com
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;JIANGSU JIAJIE SPECIAL SCREW CO.,LTD;JIAJIEFASTENER.COM;;jiajiescrewcompany@163.com
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;HANDAN TRINA METAL CO.,LTD;lisa@hellofastener.com;;lisa@hellofastener.com
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;WUXI MAYSHEE DEVELOING COMPANY LTD;www.allrivets.com;;info@allrivets.com
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;BSC CORPORATION LTD;www.bscmetal.com;;export@bscmetal.com
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;Handan Changfa Fastener Manufacturing Co., Ltd;www.changfa.net.cn;;ella@changfa.net.cn
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;ZHEJIANG JIAXING TUYUE IMP&EXP CO.,LTD;www.china-tuyue.com;;exp.manager@nbcavort.com
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;Нинбо Чжунцзин электротехническая компания с ограниченной ответственностью;www.chinazj.com;;zya@chinazj.com
https://www.fasttec.ru/ru-RU/about/exhibitor-list.aspx;NNINGBO GEOBO HARDWARE CO.,LTD;www.cngeobo.com/geobofastener.com;;sales7@cngeobo.com
