Ссылка;Название;Сайт;Телефон;Email;Страна
"https://online.gefera.ru/info/TT26/catalog/f28d72ee-3560-107a-1d59-8597dfb76d71/";"Anhui Kingtex Material Technology Co., Ltd";"http://www.kingtexfabric.com";"+86(139)6733-1581";"pony@kingtexfabric.com";"Китай"
"https://online.gefera.ru/info/TT26/catalog/c88e776d-b5df-e5df-33ee-573209eab340/";"CTA HI-TECH TEXTILES CO., LTD";"http://www.coating";"+86(022)8212-0280";"jinyanchun@gt.cn";"Китай"
"https://online.gefera.ru/info/TT26/catalog/bdfdbc8b-04be-be21-c074-5ffb4953c0a5/";"DERFLEX";"http://www.derflex.com";"+86(215)4361-798";"info@derflex.com";"Китай"
"https://online.gefera.ru/info/TT26/catalog/03b7aeb8-fe22-e205-0d8a-6eef086e5c47/";"DongYang AoLong Nonwoven Equipment Co., Ltd";"http://www.alnonwoven.com";"+86(187)8582-5888";"info@alnonwoven.com";"Китай"
"https://online.gefera.ru/info/TT26/catalog/111268a6-11ea-f99e-d4b4-7b4f0e968e43/";"FILMEDIA";"http://www.best-filter.com";"+86(021)5068-9266";"filmedia@best-filter.com";"Китай"
"https://online.gefera.ru/info/TT26/catalog/b0215a43-869b-3aea-8781-a3a8e43aea44/";"Fujian SIJIA Industrial Material Co., Ltd";"http://www.sijiacn.com/Index.aspx";"+86(591)8795-6888";"sijia@sijiacn.com";"Китай"
"https://online.gefera.ru/info/TT26/catalog/96550339-88c4-4954-fda0-3d33a6d77635/";"GuangDong TianJin New Material Co., Ltd";"https://www.guanshengpvc.com";"+86(757)8826-6923";"huangyanling@tjplastics.com";"Китай"
"https://online.gefera.ru/info/TT26/catalog/34ce3ef2-2643-b859-b88b-6b3dd849b577/";"HAINING JINCHAO INDUSTRY CO., LTD";"http://www.hanjet.cc";"+86(573)8750-9129";"Ronnie0513@163.com";"Китай"
"https://online.gefera.ru/info/TT26/catalog/e32e9ddd-ebec-08ce-8a77-bc3ed60a654f/";"HAINING JINDA COATING CO., LTD";"http://www.jinda.com";"+86(573)8776-8776";"sherry@jinda.com.cn";"Китай"
"https://online.gefera.ru/info/TT26/catalog/3a6e320d-1dd2-4e22-8262-8b9ae8bba582/";"HANGZHOU XIAOJIE IMPORT AND EXPORT CO., LTD";"http://www.laminatefiber.com";"+86(159)5756-5696";"michael@xjtextiles.com";"Китай"
