Ссылка;Название;Сайт;Телефон;Email;Страна
"https://online.gefera.ru/info/MB26/catalog/9064783c-2f5b-a7d2-3134-585e1f1d3426/";"1EA";"http://www.1ea.ru";"";"contact@1ea.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/0c46746c-1be5-cd48-1b5e-53ea24f250f9/";"Abat";"http://www.abat.ru";"+7(8352)56-06-85";"market@abat.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/2fed2488-a20b-1b9f-01b6-fb650b3cba96/";"AIR LIQUIDE";"https://www.air-lead.ru";"+7(495)641-28-98";"info@air-lead.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/8e977308-ad41-25e0-158e-e2b74fed4df7/";"Anhui LiangDianShui Dairy Products Co., Ltd";"https://www.2-water.cn";"+86(400)1840-038";"147026718@qq.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/754c793d-ebc8-ea97-2443-1185f9232a3c/";"Anhui Zline Bakery Machinery Co., Ltd";"http://www.doughlaminator.com";"+86(551)6858-8893";"evan@zlinebakery.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/d615b8af-3726-075b-5004-af4a71d6c215/";"ASTROPIT";"https://astropit.ru";"+7(930)696-63-44";"info@astropit.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/e39e730d-7766-a125-6f2e-9318dcb8f6c1/";"B&B Silo Systems";"https://www.bebsilos.com/en";"";"info@bebsilos.com";"Италия"
"https://online.gefera.ru/info/MB26/catalog/f54b605b-8f31-da71-eb88-794ef360cca8/";"BakeMart";"http://bakemart.ru";"+7(981)970-80-80";"bakemart@ya.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/fcb24474-f0fc-4564-165b-3e0aca170a36/";"Beijing Zhongli Machinery Science & Technology Co., Ltd";"https://www.uimline.com";"+86(189)1198-9722";"elaine.lian@uimbakery.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/5ab59028-888c-fb07-555e-776f5b33b34c/";"BERFUTECH";"http://Berfutech.com";"+7(923)215-40-66";"kprudnik@yandex.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/ab391335-52b2-8546-115f-5f0158bf4a81/";"Bestway Automation Equipment (Shanghai) Co., Ltd";"http://www.bestwayautomation.cn";"+86(159)0219-8027";"sm@hofenpack.cn";"Китай"
"https://online.gefera.ru/info/MB26/catalog/58c34ea9-223b-a48c-a485-0e134d71554e/";"BRANDFORD";"https://brandford.ru";"+7(4942)41-12-91";"info@brandford.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/0da284d7-6aa0-7593-1804-d74dc1bbd648/";"Canol s.r.l.";"http://www.canol.it";"+7(499)994-99-25";"tradetehno@mail.ru";"Италия"
"https://online.gefera.ru/info/MB26/catalog/288a7a45-b070-7ee0-5eba-1e0f6009cbb8/";"Challenbake New Material Technology Co., Ltd.";"https://hibaojie.en";"+86(136)8227-8658";"kruser@jshpaper.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/0fa84b5a-2edf-5190-f825-b999e2edb720/";"Coolmes Commercial Kitchen Equipment MFG Co., Ltd";"http://en.meichu";"+86(532)8997-5998";"expo1@meichu.com.cn";"Китай"
"https://online.gefera.ru/info/MB26/catalog/75e78622-829b-165c-ca09-f5e15547cd81/";"DANVEL";"https://danvel-company.ru/oborudpekar";"+7(800)222-85-53";"sales@danvel-company.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/7e649924-0650-c1f9-3d55-7376907d82c1/";"DiAR-engineering";"http://www.diar-engineering.ru";"+7 (800) 550-02-39";"sales@diar-engineering.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/c25e51d9-5782-fb95-4f10-4832550ae2ee/";"DINNER SERVICE";"https://dinner-service.ru";"+7(495)108-24-36";"info@dinner-servise.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/fe55bdfa-f9e2-a4bd-ccfe-934588f7ed0d/";"FELETI";"http://www.feleti.by";"+375(29)720-50-33";"info@feleti.by";"Беларусь"
"https://online.gefera.ru/info/MB26/catalog/5372a611-dde6-41d3-e0e2-ef77fa7dfeb5/";"Fengyang jiasong New Materials Technology Co., Ltd";"https://www.jesootech.com";"+86(152)4000-9012";"Sales01@jiasongmat.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/1e80a4c7-51f3-88cb-0813-57b4c383b18b/";"Foodatlas";"http://crmfoodatlas.ru";"+7(499)380-73-63";"1110@crmfoodatlas.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/b9e41f2d-4201-0dcc-039c-af7ebe1a4c35/";"FOSHAN BAIXING PACKAGING CO., LTD";"http://glorypackaging.com";"";"sales@glorypackaging.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/466f618e-c3b6-5980-9b4f-16c38a54eb5c/";"Foshan Pinwei Paper Co., Ltd";"http://163.com";"+86(075)7822-2424";"fsrdcz@163.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/52fd1dd7-0027-2757-4149-c44c990ab39b/";"FOSHAN YULONG PLASTIC PRODUCTS CO., LTD";"";"";"";"Китай"
"https://online.gefera.ru/info/MB26/catalog/27a28623-9858-fb71-4579-4f9f06405817/";"FUJIAN HOMTREE TECHNOLOGY CO., LTD";"https://www.homtree.cn";"+86(595)8669-0316";"clara@homtree.cn";"Китай"
"https://online.gefera.ru/info/MB26/catalog/afa2905c-3360-2117-5a55-8ee49d27657f/";"Fujian Jinmei Intelligent Equipment Co., Ltd";"http://www.jmintelligent.com";"+86(754)8822-2288";"info@yufengbakery.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/79885094-efe1-bc51-0239-78899f86a22f/";"G. Mondini";"https://www.gmondini.com";"+7(926)726-12-20";"";"Россия"
"https://online.gefera.ru/info/MB26/catalog/370377a5-f05f-57e8-56ee-75d04369b2ce/";"GIVMANN";"http://www.givmann.ru";"+7(831)260-16-33";"reklama@givmann.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/a9e09d07-9702-3234-5f84-92559c77b022/";"Guangdong Huide Machinery Manufacturing Co., Ltd.";"https://www.huidefoodjx.com";"+86(203)9146-068";"sales08@huidefoodjx.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/7d6728de-5b48-7464-a133-d8a165932b57/";"GUANGDONG KING BAKER FOOD MACHINERY CO., LTD";"http://kingbaker.net";"+86(147)7060-1716";"sales@kingbaker.net";"Китай"
"https://online.gefera.ru/info/MB26/catalog/94d5b0e0-a035-6bdc-b1c7-b418f5867cf9/";"Guangdong Shunde Saichi Technology Co., Ltd";"https://www.seresbake.com";"+86(186)5341-5292";"sophie@saichikj.cn";"Китай"
"https://online.gefera.ru/info/MB26/catalog/9099a6bc-7a35-663c-aada-95eb94a34d24/";"Guangdong Taimai Technology Co., Ltd.";"https://www.gdtaimai.net";"+86(180)3312-6037";"sales01@gdtaimai.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/2ffecf76-9ae0-f424-79ab-305d01c7ceea/";"Guangdong Wijay Material Automation System Co., Ltd";"https://www.wijaygroup.ru";"+86(136)3170-6915";"alisa@wijaygroup.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/12cd8cfb-5a1f-1d5d-af60-1c5c00875a25/";"Guangxi Jiajia Import and Export Co., Ltd";"http://carrie.export";"+86(158)8019-9353";"carrie.export@jiajiastarch.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/3dff37f0-b0ee-d8c4-c275-ca2b9fcc069d/";"GUANGZHOU BAKE OVEN MACHINERY CO., LTD";"http://www.gzbakeoven.com";"+86(203)7808-783";"sales@gzbakeoven.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/61f27bb6-3b5b-ab88-d589-c0f6c4e8ed58/";"Guangzhou Bossmai Machinery Co., Ltd.";"http://www.bossmai.com";"+86(135)1272-7465";"serena@bossmai.com.cn";"Китай"
"https://online.gefera.ru/info/MB26/catalog/7a53948c-7cb0-8e55-d7a9-7d5ae17abdd1/";"Guangzhou Southstar Machinery Facilities Co.,Ltd";"https://www.southstar-oven.com";"+86(138)0275-1418";"oven13@southstar.cc";"Китай"
"https://online.gefera.ru/info/MB26/catalog/19f9723e-9c03-d376-c36a-0378c3119aca/";"GUANGZHOU YOUBAKE KITCHEN EQUIPMENT CO., LTD";"http://youbake.com";"+86(136)6248-8815";"youbake01@youbake.com.cn";"Китай"
"https://online.gefera.ru/info/MB26/catalog/d7e128b0-8cd8-2162-07bb-9fff4757ddbe/";"Handan City Meishun Machinery Co., Ltd.";"https://www.cakecuttingmachine.com";"+86(310)4455-885";"hbmeishun@gmail.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/7d391ef6-71da-2760-8e34-6e545e9c0d6e/";"Handan Haituo Machinery Technology Co., Ltd";"https://www.hi-too.com/Home.html";"+86(133)1509-1367";"zhangzm@hai-tuo.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/11ece84e-05be-d20b-c7ca-0da53b7a3fe8/";"HANDTMANN";"http://www.handtmannmf.ru";"+7(499)110-00-53";"info@handtmann-russia.ru";"Германия"
"https://online.gefera.ru/info/MB26/catalog/1c27d589-5165-cf6c-8442-f15eaf315252/";"Hangzhou Jiasen Food Technology";"http://nutoast.com";"+852-5128-5815";"";"Китай"
"https://online.gefera.ru/info/MB26/catalog/f6df5d67-aebe-2862-a419-b958417d177f/";"Hanzun (Kunshan) Precision Machinery Manufacturing Co., Ltd";"https://www.hanzunfactory.com";"+852-5344-1653";"srb008288@126.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/0aedbe3c-d416-7187-ca33-b90dd148864e/";"HG Industry (Shanghai)";"https://www.hg-machine.com";"+86(021)5745-1188";"hgroup@hgmachinery.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/ca3e6cc2-543b-4f27-9bcb-3ec0c5a43aaf/";"JIANGSU T-SHINE BAKEWARE CO., LTD";"http://www.t-shinebakeware.com";"";"";"Китай"
"https://online.gefera.ru/info/MB26/catalog/50124a9d-85fd-a937-7a1d-1d92fb3d242c/";"Jiangyin Powder Mill Technology Co., Ltd";"http://www.millpowder.com";"+86(138)1211-9520";"bolyjx@vip.163.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/f020981f-3255-fee5-02e0-c98b0abf144a/";"Jin Chang (Guangdong) Food Technology Co., Ltd";"http://www.adoredecorsprinkles.com";"+86(752)6107-528";"selena@yiguanfoods.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/85835a01-4c64-5edb-9bce-0222bcf25113/";"KESKIN MAKINE";"https://keskinmakine.com";"+90(242)419-3166";"info@keskinmakine.com";"Турция"
"https://online.gefera.ru/info/MB26/catalog/7f1efe3b-6131-efa7-5029-c05eeb310691/";"KUTZER MAKINA";"https://www.kutzer.com";"+90(554)988-0363";"sales@kutzer.com.tr";"Турция"
"https://online.gefera.ru/info/MB26/catalog/70ac72f6-9191-667f-419e-b15ca9f56481/";"KYLINSMART HOLDING LIMITED";"http://szhh02062759.pdf";"+86(136)3422-1923";"nancy@kylinsmart.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/ffba6062-9672-f456-9bbb-477f31af3fd6/";"LINCO GROUP";"https://linco.group";"+7(936)677-87-60";"Info@linco.group";"Россия"
"https://online.gefera.ru/info/MB26/catalog/6819eff8-a390-adb8-fef1-72b236826ddb/";"LINYI AILIGUAN BAKEWARE CO., LTD";"http://qq.com";"+86(186)5393-1999";"1106888521@qq.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/73f7680f-7fa3-7817-2529-e2989edd9ab9/";"NOKSWAY";"https://noksway.com";"+90(545)739-3031";"export@noksway.com";"Турция"
"https://online.gefera.ru/info/MB26/catalog/64cf7c14-2f15-20d3-d94b-8e75db919ce2/";"OS-TECH";"https://os-tech.ru";"+7(800)555-82-26";"info@os-tech.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/9491f02a-dc05-9053-f521-d16a49b8f730/";"OSQ Group";"https://osqgroup.ru";"+7(495)773-87-18";"clients@osqgroup.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/54caf648-2722-3bd9-fbb0-50d581089996/";"OZTIRYAKILER MADENI ESYA SAN. VE TIC. A.S.";"https://ozti.com";"+90(212)886-7810";"export@oztiryakiler.com.tr";"Турция"
"https://online.gefera.ru/info/MB26/catalog/ed5dea2c-56b6-e661-e990-4195253687f0/";"PEK MAKINA";"http://www.pekmakina.com";"+90(222)236-8222";"cemil@pekmakina.com";"Турция"
"https://online.gefera.ru/info/MB26/catalog/7bfe83f4-4320-7a9f-f2b5-536be296e8b3/";"PHS Life Science";"https://phslifesciences.com";"";"sales.india@phsls.com";"Индия"
"https://online.gefera.ru/info/MB26/catalog/751218c5-36f5-79d4-a1f5-6ae37af44ffd/";"POLAIR GROUP";"http://www.polairgroup.com";"+7(495)937-64-07";"info@polair.com";"Россия"
"https://online.gefera.ru/info/MB26/catalog/03c76514-4a63-a52f-3916-8a24dd87a7b1/";"Porlanmaz Makine San. Tic. A.S.";"http://www.porlanmaz.com";"+90(332)251-0318";"export@porlanmaz.com";"Турция"
"https://online.gefera.ru/info/MB26/catalog/263989e2-ca58-fd4e-b3df-5237b61fa4ff/";"PROFI CHEESE /СК Ленинградский";"https://proficheese.ru";"+7(499)673-48-44";"ev.baryshnikov@dominantsugar.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/7debefd8-5e9f-5df0-f45c-23b57ca1aff4/";"R & D Engineers";"http://www.rndwafers.com";"";"info@rndwafers.com";"Индия"
"https://online.gefera.ru/info/MB26/catalog/5e6dda44-4142-2b62-487b-c4476d687d4c/";"Robolabs";"https://robolabs.ru";"";"";"Россия"
"https://online.gefera.ru/info/MB26/catalog/0d6d8034-d34e-4586-5dbd-75127c99026a/";"Robot Coupe";"https://www.robot-coupe.com/ru/ru";"";"international@robot-coupe.fr";"Франция"
"https://online.gefera.ru/info/MB26/catalog/8f37faef-2f95-4af3-9f8f-244733192c72/";"SAKK OVENS";"https://www.facebook.com/sakk.bakeries.ovens";"+90(506)030-6050";"info@sakkovens.com";"Турция"
"https://online.gefera.ru/info/MB26/catalog/b7849dc7-5653-044f-0a12-f99131c6b853/";"SHANGHAI XINRONG FOOD CO., LTD.";"http://2025xinrongfoodcatalogue.pdf";"+86(021)6541-9618";"shanghaixinrong@sina.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/36d34220-18a0-dc62-4d81-d17257547bdd/";"SINOBAKE";"http://www.sinobake.net";"+86(159)7738-1937";"info@sinobake.net";"Китай"
"https://online.gefera.ru/info/MB26/catalog/ea3b4905-ce00-392c-3088-1b4256c808be/";"SOLO intelligent technology";"http://www.solo-int.ru";"+7(495)419-04-30";"salesdir@solo-int.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/0c67ad48-37d2-f879-0f92-2e7b92d00a35/";"SUNSON INDUSTRY GROUP CO., LTD";"http://www.sunsonenzyme.com";"+86(020)8656-1940";"alex.li@sunsonzymes.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/01e23d73-d1b4-e7c9-2d32-eb2abed2a05b/";"SUZHOU ZHENGCHENG PACKING EQUIPMENT CO., LTD";"http://www.szzcbz.com";"+86(150)6240-0989";"mike@szzcbz.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/c679b2a9-f717-df85-3171-cfbbcfc31199/";"Taizhou Hengyu Flourine Plastic Products Co., Ltd";"http://www.hengyufusu.com";"+86(523)8753-4006";"329912099@qq.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/f0ada375-807a-b495-7edd-1918701d19b6/";"TERMOBOX.RU";"https://termobox.ru";"+7(495)150-19-90";"info@tara.market";"Россия"
"https://online.gefera.ru/info/MB26/catalog/42071eab-f18a-3d9b-c07d-d52e283544bc/";"TETRAMAK";"http://www.tetramak.com";"+7(926)522-42-33";"order@tsc-msk.com";"Турция"
"https://online.gefera.ru/info/MB26/catalog/e809e4a5-5330-5173-19d3-19ac1235b747/";"Ural Tea";"https://www.uraltea.com";"+7(904)160-13-97";"sale.uraltea@gmail.com";"Россия"
"https://online.gefera.ru/info/MB26/catalog/094f42dc-efeb-de3b-bf0f-6f64dfc069dd/";"Wuhan Food Printing Technology Co., Ltd";"https://www.foodprinttech.com";"+86(132)9653-6732";"info@foodprinttech.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/513a4ecc-7988-d43f-84a0-318eccb83fb3/";"WUXI HONGBEI BAKEWARE CO., LTD";"";"";"";"Китай"
"https://online.gefera.ru/info/MB26/catalog/9c76f8fc-3aea-375c-912a-12fca17fe49d/";"XIAMEN OUYUE INDUSTRY & TRADING Co., Ltd";"http://WWW.KANDYTOY.COM";"+86(130)5596-5019";"penny@kandytoy.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/648d6dc9-781f-6af2-e5b2-facd6c2e1993/";"XINHUA FOOD MACHINERY PLANT IN HUAIYANG COUNTY";"http://www.xhbreadpan.com";"+86(176)1331-8726";"vera@xinhuatray.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/1bae1649-0707-b476-57b5-17baa0b8dc19/";"Zippy (Guangzhou)Food Machinery Co., Ltd";"http://zippy-gz.com";"";"info@zippy-gz.com";"Китай"
"https://online.gefera.ru/info/MB26/catalog/dc452c85-50c9-9b6e-94e3-6e6455b5adf8/";"Август Борг ИАЦ";"http://www.print-poisk.ru";"+7(495)787-06-77";"iac@augustborg.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/70550ebb-c58b-c4f6-1101-42065abf44fe/";"Авито";"https://clck.ru/3SY9Q8";"";"";"Россия"
"https://online.gefera.ru/info/MB26/catalog/3445c30d-ccea-ac79-d8f4-b744db0e578c/";"Агро-Пром-Холод";"https://agro-prom-holod.ru";"+7(800)600-88-42";"agro-ph@mail.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/93a410c0-200f-a19f-9be6-f3e0f7b9b319/";"АЗИМУТ ГК";"https://gc-azimuth.ru";"+7(495)290-23-26";"gigiena@gc-azimuth.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/53773131-667f-6160-fe40-a253a3d8d50f/";"АИР-БЭЙК";"http://www.air-bake.ru";"+7(495)268-06-58";"info@air-bake.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/f9ac2be2-a066-1d9f-6feb-575407fc92fb/";"Айрин";"http://www.irin.ru";"+7(499)653-60-11";"info@irin.ru";"Россия"
"https://online.gefera.ru/info/MB26/catalog/50d81c67-206f-3189-465f-e9d637bc2e87/";"АКВАНОВА РУС";"https://aquanovarus.ru";"+7(495)984-24-26";"info@aquanovarus.ru";"Россия"
