Ссылка;Название;Сайт;Телефон;Email
https://catalog.iagri-expo.com/companies/company/143127-eksli.html;EKSLi;;;a.ahmetzyanov@eksli.ru
https://catalog.iagri-expo.com/companies/company/27868-zhurnal-agrobiznes.html;ЖУРНАЛ АГРОБИЗНЕС;https://agbz.ru;78005003590;agbz@agbz.ru
https://catalog.iagri-expo.com/companies/company/23324-fond-skolkovo.html;"Инновационный центр ""Сколково""";https://sk.ru;+7 (915) 356 90 51;aglazunova@sk.ru
https://catalog.iagri-expo.com/companies/company/144145-mkskom.html;МКСКОМ;https://mkskom.ru;74993220928;feedback@mkskom.ru
https://catalog.iagri-expo.com/companies/company/144193-entesus.html;Энтесус;http://entesus.ru;8-499-390-51-39;ilya.nilov@entesus.ru
https://catalog.iagri-expo.com/companies/company/23219-jurnal-selskohozyaystvennye-vesti.html;Сельскохозяйственные вести, журнал;https://agri-news.ru;79213326951;info@agri-news.ru
https://catalog.iagri-expo.com/companies/company/142154-agropromtsifra.html;АО «Агропромцифра»;https://agropromcifra.ru;+7 (495) 120-39-55;info@agropromcifra.ru
https://catalog.iagri-expo.com/companies/company/143310-assotsiatsiya-ej-aj-global.html;АССОЦИАЦИЯ ЭЙ АЙ ГЛОБАЛ;https://aribrics.ru;;info@aribrics.ru
https://catalog.iagri-expo.com/companies/company/21489-stgenetics-rossiya.html;Коджент Рус;http://www.cogentrus.ru;74722201796;info@cogentrus.ru
https://catalog.iagri-expo.com/companies/company/120096-didzhitol-ooo.html;ДИДЖИТОЛ+, ООО;https://digitol.ru;+7 917 396-81-10;info@digitol.ru
https://catalog.iagri-expo.com/companies/company/143324-fabriki-gorodov-ooo.html;ФАБРИКИ ГОРОДОВ, ООО;;79148999277;info@ecosferagroup.ru
https://catalog.iagri-expo.com/companies/company/143125-elektromotiv-ooo.html;ЭЛЕКТРОМОТИВ, ООО;https://electromotive.ru;+7 (495) 240 50 10;info@electromotive.ru
https://catalog.iagri-expo.com/companies/company/143950-erlab.html;ЭРлаб;https://www.erlab.ru;74959815017;info@erlab.ru
https://catalog.iagri-expo.com/companies/company/98646-khelp-investor-portal.html;Хелпинвер, портал;https://helpinver.com;+7 (499) 995-09-40;info@helpinver.com
https://catalog.iagri-expo.com/companies/company/143539-it-world-mir-tsifrovykh-tekhnologij.html;IT-World: Мир информационных технологий;https://www.it-world.ru;8 (812) 467 3150;info@it-world.ru
https://catalog.iagri-expo.com/companies/company/130071-logistika-360-zhurnal.html;Логистика 360, журнал;https://logistics360.ru;+7(495)109-69-59;info@logistics360.ru
https://catalog.iagri-expo.com/companies/company/31663-m-kompleks-soft-ooo.html;М-комплекс;http://m-complex.org;74852593493;info@m-complex.org
https://catalog.iagri-expo.com/companies/company/97155-ooo-am-grupp.html;ООО АМ групп;https://microbio.pro;+7 (929) 692-87-55;info@microbio.pro
https://catalog.iagri-expo.com/companies/company/143336-russoft.html;Ассоциация «РУССОФТ»;https://russoft.org;+7 (812) 480-05-03;info@russoft.org
https://catalog.iagri-expo.com/companies/company/97047-sat-grupp-ooo.html;САТ ГРУПП, ООО;http://www.satgrp.ru;+7 (922) 993 7333;info@satgrp.ru
https://catalog.iagri-expo.com/companies/company/27883-id-sfera.html;Сфера Медиагруппа;https://sfera.fm;78122456770;info@sfera.fm
https://catalog.iagri-expo.com/companies/company/69621-it-kompaniya-transnetiq.html;СПУТНИК-AGRO;https://sputnik-agro.ru;7 (499) 112-05-68;info@transnetiq.ru
https://catalog.iagri-expo.com/companies/company/30952-td-vik-ooo.html;Группа компаний ВИК;https://vicgroup.ru;+7 (495) 777-67-67;info@vicgroup.ru
https://catalog.iagri-expo.com/companies/company/144199-avtomat-servis.html;Всадник РФ;;79691182323;info@vsadnik.online
https://catalog.iagri-expo.com/companies/company/143236-regionalnyj-otkrytyj-sotsialnyj-institut.html;РЕГИОНАЛЬНЫЙ ОТКРЫТЫЙ СОЦИАЛЬНЫЙ ИНСТИТУТ;https://rosi-edu.ru;74712446322;mail@rosi-edu.ru
https://catalog.iagri-expo.com/companies/company/104268-td-intergen-ooo.html;ТД ИНТЕРГЕН, ООО;http://www.thintergen.ru;79205888599;marketing@cogentrus.ru
https://catalog.iagri-expo.com/companies/company/143177-sinbiotekh.html;СИНБИОТЕХ;https://www.sinbiotech.ru;+7 (495) 128-12-53;office@sinbiotech.ru
https://catalog.iagri-expo.com/companies/company/69330-svilar-ooo.html;СВИЛАР;http://www.swilar.ru;+7 (495) 648-69-44;office@swilar.ru
https://catalog.iagri-expo.com/companies/company/106218-moomajnd-ooo.html;Моомайнд ООО;https://moomind.tech/;79038848853;pgy@moomind.tech
https://catalog.iagri-expo.com/companies/company/144202-argo-ntts.html;"ООО НТЦ ""Арго""";https://rtc-argo.ru;+7 (4932) 34-56-77;post@argoivanovo.ru
https://catalog.iagri-expo.com/companies/company/134906-agroekspert.html;АГРОЭКСПЕРТ, ФЕДЕРАЛЬНОЕ ИЗДАНИЕ;https://agroexpert.press;+7 (926) 366 37 00;pr@agroexpert.press
https://catalog.iagri-expo.com/companies/company/71457-mezhdunarodnyj-delovoj-zhurnal-delovaya-rossiya-promyshlennost-transport-sotsialnaya-zhizn.html;Международный деловой журнал «Деловая Россия: промышленность, транспорт, социальная жизнь»;http://www.delruss.ru;+7 (343) 346-37-84;press@delruss.ru
https://catalog.iagri-expo.com/companies/company/142265-khimrusagro-ooo.html;ХИМРУСАГРО;https://rice-ht.ru;74994507848;sales@himrusagro.ru
https://catalog.iagri-expo.com/companies/company/131780-seganel.html;"ООО ""СЕГАНЭЛ""";https://seganel.com;+7(861) 242-05-59;sales@seganel.com
https://catalog.iagri-expo.com/companies/company/22940-izdatelstvo-listerra-ooo.html;AGRO XXI;https://www.agroxxi.ru;;webmaster@agroxxi.ru
https://catalog.iagri-expo.com/companies/company/22949-institut-razvitiya-selskogo-hozyaystva-ooo.html;ЖУРНАЛ АГРОФОРУМ;http://www.agroyug.ru;8(861) 278-31-80;
https://catalog.iagri-expo.com/companies/company/143284-best-mould.html;BEST MOULD;https://best-mould.ru;;
https://catalog.iagri-expo.com/companies/company/130065-agropraktika-portal.html;АГРОпрактика, портал;https://www.agropraktika.com;;
https://catalog.iagri-expo.com/companies/company/143161-comnews-gk.html;COMNEWS, ГК;;;
https://catalog.iagri-expo.com/companies/company/130074-agrarnaya-nauka-nauchno-teoreticheskij-i-proizvodstvennyj-zhurnal.html;Аграрная наука, научно-теоретический и производственный журнал;;;
https://catalog.iagri-expo.com/companies/company/143314-assotsiatsiya-innovatsionnykh-predpriyatij-v-energetike.html;АССОЦИАЦИЯ ИННОВАЦИОННЫХ ПРЕДПРИЯТИЙ В ЭНЕРГЕТИКЕ;;;
https://catalog.iagri-expo.com/companies/company/143419-rskhb-investklub.html;Венчурная студия Россельхозбанка;;;
https://catalog.iagri-expo.com/companies/company/143328-vesttrejd-ltd-ooo.html;ВЕСТТРЭЙД ЛТД, ООО;;;
https://catalog.iagri-expo.com/companies/company/143312-genomnyj-tsentr-nits-kurchatovskij-institut.html;ГЕНОМНЫЙ ЦЕНТР НИЦ КУРЧАТОВСКИЙ ИНСТИТУТ;;;
https://catalog.iagri-expo.com/companies/company/130062-glavportal.html;Главпортал;;;
https://catalog.iagri-expo.com/companies/company/142262-zernoeksport-ru-ooo.html;ЗЕРНОЭКСПОРТ.РУ, ООО;;;
https://catalog.iagri-expo.com/companies/company/130077-media-apk-ekspert.html;Медиа «АПК Эксперт»;;;
https://catalog.iagri-expo.com/companies/company/143306-mir-robototekhniki-zhurnal.html;МИР РОБОТОТЕХНИКИ, ЖУРНАЛ;;;
https://catalog.iagri-expo.com/companies/company/143173-natsionalnaya-assotsiatsiya-uchastnikov-rynka-robototekhniki-naurr.html;НАЦИОНАЛЬНАЯ АССОЦИАЦИЯ УЧАСТНИКОВ РЫНКА РОБОТОТЕХНИКИ (НАУРР);;;
https://catalog.iagri-expo.com/companies/company/143316-natsionalnoe-dvizhenie-sberegayushchego-zemledeliya-np.html;НАЦИОНАЛЬНОЕ ДВИЖЕНИЕ СБЕРЕГАЮЩЕГО ЗЕМЛЕДЕЛИЯ, НП;;;
https://catalog.iagri-expo.com/companies/company/143968-ooo-nyueramilkin.html;НЬЮЭРАМИЛКИН, OOO;;;
https://catalog.iagri-expo.com/companies/company/143947-ozon-bank.html;Озон Банк;;;
https://catalog.iagri-expo.com/companies/company/143782-ooo-npo-ims.html;"ООО НПО ""ИМС""";;;
https://catalog.iagri-expo.com/companies/company/130068-portal-ict2go-ru.html;Портал ICT2GO.ru;;;
https://catalog.iagri-expo.com/companies/company/143254-svoe-fermerstvo-tsifrovaya-platforma-rskhb.html;СВОЕ ФЕРМЕРСТВО, ЦИФРОВАЯ ПЛАТФОРМА РСХБ;;;
https://catalog.iagri-expo.com/companies/company/143137-sive-ooo.html;СИВЕ, ООО;;;
https://catalog.iagri-expo.com/companies/company/144196-smartfarm.html;Смартфарм;;;
https://catalog.iagri-expo.com/companies/company/143536-tochka-opory-delovoj-zhurnal.html;ТОЧКА ОПОРЫ, деловой журнал;;;
https://catalog.iagri-expo.com/companies/company/144136-federalnyj-tsentr-bespilotnykh-aviatsionnykh-sistem.html;Федеральный Центр Беспилотных Авиационных Систем;;;
https://catalog.iagri-expo.com/companies/company/143914-proksima.html;ПРОКСИМА;;;
