Ссылка;Название;Сайт;Телефон;Email;Рубрики
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381277?&stand=2B040";"AKBAS PLASTIK SANAYI VE TICARET A.S.";"https://www.akbas.com/";"+90 5330309234";"omer@akbas.com";"Запчасти, комплектующие и техоснастка Вспомогательное оборудование, детали и материалы Сопутствующие товары и услуги"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381017?&stand=2C040";"BENEKS TAAH. MUH. MUM. MAKINE SAN. VE TIC. LTD. STI.";"https://www.inlegmash-expo.ru/";"";"";"Оборудование для обезвоживания Сушильно-ширильные машины Красильные машины и аппараты Оборудование для печати по текстилю Аппретирующее и отделочное оборудование Вспомогательное оборудование и устройства для отделочного текстильного производства"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381275?&stand=2A090";"BI?AKSAN MAKINA TAKIM SANAYI TICARET LIMITED ?IRKETI";"http://www.bicaksan.com.tr/";"+90 533 746 98 61";"alim@bicaksan.com.tr";"Швейные машины Бытовые швейные машины Промышленные швейные машины Подготовительное оборудование для швейного производства, швейные автоматы, машины, устройства и принадлежности Раскройные установки (комплексы), машины и устройства, принадлежности Оборудование для производства обуви и кожгалантерейных изделий"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381470?&stand=2B032";"CHANGSHU FEILONG NONWOVEN MACHINERY CO. LTD";"http://www.feilong.cn/";"+86 51252581505";"info@feilong.com";"Оборудование для производства нетканых материалов"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381478?&stand=2E098";"CHANGSHU ZHENTAI NONWOVEN MACHINERY CO. LTD";"http://www.zhentainonwovens.com/";"+89 051252586739";"zhentaiwufang@163.com";"Оборудование для производства нетканых материалов"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381465?&stand=2B092";"CHANGZHOU LONGLONGSHENG WARP KNITTING MACHINERY CO. LTD";"http://en.dfjx.com/";"+86-51985323288";"market@dfjx.com";"Основовязальные машины"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381011?&stand=2E070";"CHINA TEXMATECH CO. LTD";"https://www.ctmtc.com/";"+86 01065838200";"sunjs@ctmtc.com.cn";"Оборудование и технологии для производства технического текстиля Композиты Оборудование для переработки химических волокон Формующие и отделочные машины для производства синтетических комплексных нитей и синтетического штапельного волокна Прядильные машины Красильные машины и аппараты"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381001?&stand=2C050";"COSMOS GLOBAL";"ОШИБКА";"ОШИБКА";"ОШИБКА";""
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381462?&stand=2B080";"DALIAN HUAYANG NEW MATERIALS TECHNOLOGY CO. LTD";"http://www.dlhyltd.com/";"+86 411-65853577";"marketing@dlhyltd.com";"Оборудование для производства нетканых материалов"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381455?&stand=2C040";"DEMSAN TEKSTIL MAKINA SANAYI TICARET LTD STI";"https://www.inlegmash-expo.ru/";"";"";"Запчасти, комплектующие и техоснастка Транспортные устройства и манипуляторы Вспомогательное оборудование, детали и материалы Сопутствующие товары и услуги Складальное и паковочное оборудование Мерильно-браковочное оборудование"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381467?&stand=2B096";"DONGYANG AOLONG NONWOVEN EQUIPMENT CO. LTD";"http://www.alnonwoven.com/";"+86-18785825888";"info@alnonwoven.com";"Оборудование для производства нетканых материалов"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381006?&stand=2C050";"DOPSING";"http://dpsprintingmachine.com/";"+86 13537028151";"promotion@kinwah-group.com";"Красильные машины и аппараты Оборудование для печати по текстилю Принтеры, плоттеры Термопрессы, каландры Принтеры для печати по футболкам Аппретирующее и отделочное оборудование"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381022?&stand=2C040";"ELTEKSMAK MAK?NE ANON?M ??RKET?";"ОШИБКА";"ОШИБКА";"ОШИБКА";""
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab4-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381484?&stand=2B062";"ENHAS MAKINA SANAYI VE TICARET LTD. STI.";"http://www.enhasmakina.com/";"+90 2124226142";"info@enhasmakina.com";"Подготовительное оборудование для ткацкого производства"
