Ссылка;Название;Сайт;Телефон;Email;Рубрики
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379603?&stand=11A160";"ANHUI SINCERE MACHINERY CO. LTD";"http://www.sincererubbertech.com/";"+86 18019700665";"sincere168@126.com";"Оборудование для переработки резины"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379604?&stand=11C080";"ANHUI YOUHE TECHNOLOGY CO. LTD";"http://www.auherkeji.com/";"+86 13793808352";"635602505@qq.com";"Шины, покрышки и сопутствующие товары"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379469?&stand=11D150";"ARDEN";"https://arden.market/";"";"info@arden.market";"Шины, покрышки и сопутствующие товары"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379534?&stand=11A085";"BEIJING ADSON AUTOMATION TECHNOLOGY CO. LTD";"http://www.adson-tech.com/";"+86 10 63726467";"sales@adson-tech.com";"Оборудование для переработки резины Оборудование для производства шин и резинотехнических изделий"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379566?&stand=11C203";"BEIJING AXIOM TIRE TECHNOLOGY CO. LTD";"http://www.powerclawtire.com/";"+86 18092468450";"yang@axiomtire.com";"Шины, покрышки и сопутствующие товары"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379548?&stand=11C134";"BEIJING HANDEL MACHINERY MANUFACTURING CO. LTD";"http://www.handel-tech.com/";"+86 13911300724";"sales@handel-tech.com";"Оборудование для производства шин и резинотехнических изделий"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379587?&stand=11D100";"BEIJING HONGPENG DERUI TECHNOLOGY CO. LTD";"http://www.hongpengtech.cn/";"+86 13811742380";"gongwei@hongpengtech.cn";"Оборудование для переработки резины Научно-технические разработки Программное обеспечение Конвейерные ленты Оборудование для производства шин и резинотехнических изделий"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379530?&stand=11C090";"BEIJING MACH TIANCHENG TECHNOLOGY CO. LTD";"http://www.bjmachtech.com/";"+86 10 88152355";"xiayanqiu@machtech.com.cn";"Оборудование для производства шин и резинотехнических изделий"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379536?&stand=11A089";"BEST (TIANJIN) NEW MATERIAL TECHNOLOGY CO. LTD";"http://www.bestrubberchemicals.com/";"+86 22 28221866";"sales@bestrubberchemicals.com";"Сырье и материалы для производства шин и резинотехнических изделий"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379521?&stand=11D050";"BEST CHOICE INTERNATIONAL TRADE CO. LTD";"http://www.chinese-tyres.com/";"+86 10 64449145";"info@chinese-tyres.com";"Шины, покрышки и сопутствующие товары"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379522?&stand=11D192";"BETURE INTERNATIONAL TRADING CO. LTD";"http://www.beturetire.com/";"+86 28 85681700";"ryanliu@beturetire.cn";"Шины, покрышки и сопутствующие товары"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380679?&stand=11D110";"CANGZHOU SHENGSHIWEIYE AUTOMOBILE ACCESSORY CO. LTD";"http://www.wheelbalanceweights.com/";"+86 317 2049688";"cz2287@163.con";"Шины, покрышки и сопутствующие товары"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379605?&stand=11E160";"CHAOYANG HUAXING WANDA TIRE CO. LTD";"http://www.hxwd.com.cn/";"+86 0421 5781555";"jiqiang@hxwd.com.cn";"Шины, покрышки и сопутствующие товары Натуральный каучук"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379468?&stand=11F090";"CHINA UNITED RUBBER CORPORATION";"http://www.rubbertech-expo.com/";"+86 10 53779793";"expo@chrubber.com";"Натуральный каучук"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0464-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/379532?&stand=11A013";"DALIAN BAOFENG MACHINERY MANUFACTURING COMPANY";"http://www.baofeng.net.cn/";"+86 41189348888";"Joyce@baofeng.net.cn";"Оборудование для переработки резины Оборудование для переработки шин Оборудование для производства шин и резинотехнических изделий Оборудование и материалы для шиновосстановления"
