Ссылка;Название;Сайт;Категории
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM2MTI=";"0ptiCore";"https://0pticore.ru/";"SkladTech складское оборудование и технологии WMS, IT решения для склада Автоматизация и роботизация склада Логистика для e-commerce Фулфилмент ИТ-решения Системы управления транспортом (TMS) Прочие ИТ-решения"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTU3MTU=";"10Cubits Tech";"https://10cubits.co/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Морские и речные перевозки Морские линии / Судоходные компании Агенты морских линий Операторы по перевозке грузов морским транспортом Негабаритные перевозки и проектные грузы Негабаритные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTMxMDI=";"1С";"https://1c.ru/";"SkladTech складское оборудование и технологии WMS, IT решения для склада ИТ-решения Системы управления транспортом (TMS) Управление цепочками поставок (SCM) Системы управления транспортом и динамического позиционирования (DP) Прочие ИТ-решения"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjIzMzY=";"568 LOGISTICS CO., LTD.";"ОШИБКА";"ОШИБКА"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM0NjI=";"ACE WAYS";"https://aceways.ru/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги 3PL / 4PL Мультимодальные и интермодальные перевозки Негабаритные перевозки и проектные грузы Проектные грузы Негабаритные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjIzMjQ=";"ACEX Альянс";"https://www.acexgroup.net/";"Комплексные логистические услуги и экспедирование грузов Мультимодальные и интермодальные перевозки Грузовые авиаперевозки Авиаперевозки сборных грузов Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Автомобильные перевозки сборных грузов Отраслевые объединения и СМИ -"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjEyMjA=";"AERO GSA SERVICES LLC";"http://gsa.aero/";"Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Прочие грузовые агенты"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM1Nzk=";"AGS SHIPPING LINE";"https://ags-shipping.ru/";"Морские и речные перевозки Морские линии / Судоходные компании Грузоперевозки навалочных, тяжеловесных и ро-ро грузов Морские контейнерные перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTMxNTk=";"AKFA";"https://akfa.ru/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Автомобильные грузовые перевозки Автомобильные перевозки сборных грузов Морские и речные перевозки Морские контейнерные перевозки Сопутствующие услуги Таможня, таможенное оформление, ВЭД ИТ-решения Управление цепочками поставок (SCM)"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTU2ODg=";"AKKON Lines";"https://akkonlines.com/";"Морские и речные перевозки Морские линии / Судоходные компании Операторы по перевозке грузов морским транспортом Рефрижераторные морские перевозки Морские перевозки сборных грузов Морские контейнерные перевозки"
