Ссылка;Название;Сайт;Телефон;Email
https://catalog.nmf-expo.ru/companies/company/127020-hangzhou-guolong-heating-equipment-co-ltd.html;Hangzhou Guolong Heating Equipment Co., Ltd;http://www.guolongheating.com;0571-88959487;13819490839@163.com
https://catalog.nmf-expo.ru/companies/company/130191-soobshchestvo-proizvodstvenniki.html;Сообщество «Производственники»;;79104073775;4073775@gmail.com
https://catalog.nmf-expo.ru/companies/company/126078-ooo-zavod-kontakt.html;ООО ЗАВОД КОНТАКТ;https://9833018.ru;7-812-983-30-18;9833018@mail.ru
https://catalog.nmf-expo.ru/companies/company/128670-kompaniya-uchastnik.html;ИНТЕЛЛИТЕХ;http://www.intellytech.ru;79037107211;ab@intellytech.ru
https://catalog.nmf-expo.ru/companies/company/123771-biznes-stolitsy.html;Бизнес столицы, журнал;http://bizstol.com, b2b24.center;;bizstol@mail.ru
https://catalog.nmf-expo.ru/companies/company/127023-sichuan-mingtaishun-cnc-cutting-tools-co-ltd.html;Sichuan Mingtaishun Carbide Co., Ltd;http://scmtstools.en.made-in-china.com;708111375;bryan@alloymts.com
https://catalog.nmf-expo.ru/companies/company/120366-ooo-lazernyj-tsentr.html;"ООО ЦНИИ ЛОТ""""";https://cniilot.ru;8 (812) 240-60-50;cniilot@invarsoft.ru
https://catalog.nmf-expo.ru/companies/company/128661-kompaniya-uchastnik.html;Системы Компьютерного Зрения;https://comvisionsys.com;79112585302;contact@compvisionsys.com
https://catalog.nmf-expo.ru/companies/company/128679-td-vtortsvetmet.html;ТД ВЦМ;http://www.vcm74.ru;73517000900;doc@tai-cnc.ru
https://catalog.nmf-expo.ru/companies/company/130092-nspoim.html;НСПОИМ;http://www.nspoim.ru;;es@nspoim.ru
https://catalog.nmf-expo.ru/companies/company/122775-ooo-aj-mashin-tekhnolodzhi.html;ООО «Ай Машин Технолоджи»;https://i-machine.ru;7 (495) 161-97-80;gushchina@i-machine.ru
