Направление;Категория;Название курса;Ссылка
HoReCa;Гостиницы;Управление отелем — курс от практиков индустрии гостеприимства;https://www.cntiprogress.ru/seminarsforcolumn/12511.aspx
HoReCa;Гостиницы;Бухгалтерский и налоговый учет в организациях сферы гостеприимства;https://www.cntiprogress.ru/seminarsforcolumn/3458.aspx
HoReCa;Общепит;Бухгалтерский и налоговый учет в общественном питании, ресторанном бизнесе;https://www.cntiprogress.ru/seminarsforcolumn/3278.aspx
HoReCa;Общепит;Заведующий производством на предприятиях общественного питания;https://www.cntiprogress.ru/seminarsforcolumn/16180.aspx
Агропромышленный комплекс;Пищевое производство;Построение и внутренний аудит системы управления качеством и безопасности пищевых продуктов на основе ГОСТ Р 51705.1-2024 и ГОСТ Р ИСО 22000-2019;https://www.cntiprogress.ru/seminarsforcolumn/30929.aspx
Государственное и муниципальное управление;Организация деятельности учреждений и органов власти;Комиссии по делам несовершеннолетних и защите их прав: правовая регламентация деятельности. Последние изменения;https://www.cntiprogress.ru/seminarsforcolumn/15027.aspx
Государственное и муниципальное управление;Организация деятельности учреждений и органов власти;Организация деятельности руководителей и аппарата представительного органа;https://www.cntiprogress.ru/seminarsforcolumn/15616.aspx
Государственное и муниципальное управление;Организация деятельности учреждений и органов власти;Задачи и функции представительного органа и депутатского корпуса;https://www.cntiprogress.ru/seminarsforcolumn/7925.aspx
Культура;Музеи. Библиотеки;Музейная педагогика;https://www.cntiprogress.ru/seminarsforcolumn/17357.aspx
Культура;Музеи. Библиотеки;Корпоративный музей: сохранение традиций и развитие имиджевой политики предприятия;https://www.cntiprogress.ru/seminarsforcolumn/16649.aspx
Культура;Музеи. Библиотеки;Экспозиционно-выставочная деятельность музея;https://www.cntiprogress.ru/seminarsforcolumn/23914.aspx
Культура;Музеи. Библиотеки;Музейные фонды: формирование, учет, хранение, использование;https://www.cntiprogress.ru/seminarsforcolumn/15314.aspx
Культура;Технологии: звук, свет, сцена;Художник по свету: технологии и практики художественно-постановочного освещения;https://www.cntiprogress.ru/seminarsforcolumn/13094.aspx
Культура;Технологии: звук, свет, сцена;Костюмная бутафория: моделирование и изготовление;https://www.cntiprogress.ru/seminarsforcolumn/15230.aspx
Культура;Технологии: звук, свет, сцена;Работа со зрителем: маркетинг, PR и реклама в учреждениях культуры;https://www.cntiprogress.ru/seminarsforcolumn/13252.aspx
Культура;Технологии: звук, свет, сцена;Технологии концертной и студийной звукорежиссуры;https://www.cntiprogress.ru/seminarsforcolumn/3755.aspx
Культура;Технологии: звук, свет, сцена;Художник по костюму в театре, кино и шоу;https://www.cntiprogress.ru/seminarsforcolumn/13735.aspx
