Ссылка;Название;Сайт;Телефон;Email
"https://ruplastica-online.ru/companies/company/26283-3meksan-kalip-ve-plastik-san-tic-a-s.html";"3Meksan Kal?p ve Plastik San Tic A.?.";"https://www.3meksan.com";"+(90) 212 925 00 61";"yilmaz@3meksan.com"
"https://ruplastica-online.ru/companies/company/33320-4-vida-grupp.html";"4 ВИДА ГРУПП";"https://www.taiwanunionplastic.ru";"+7(926)2252170";"TPA@4VIDA.RU"
"https://ruplastica-online.ru/companies/company/37058-ab-technology-co-ltd.html";"АБ Технолоджи";"https://www.abtmould.com";"8858655606";"Alexsheng@abtmould.com"
"https://ruplastica-online.ru/companies/company/23258-avangardplast-ooo.html";"АвангардПЛАСТ, ООО";"https://www.grinik.ru";"+7(383)354-22-45";"info@grinik.ru"
"https://ruplastica-online.ru/companies/company/22421-aveks-ooo.html";"АВЕКС";"https://www.avexx.ru";"+7(499)348-15-08";"info@avexx.ru"
"https://ruplastica-online.ru/companies/company/32546-avk-xim-ooo.html";"АВК-ХИМ, ООО";"http://www.avkhim.ru";"+7(499) 426-00-23";"info@avkhim.ru"
"https://ruplastica-online.ru/companies/company/37751-avs-plastik-ooo.html";"АВС Пластик, ООО";"http://www.abceng.ru";"+79538881229";"kk@abceng.ru"
"https://ruplastica-online.ru/companies/company/38134-avtoliuks-pko.html";"АВТОЛЮКС-ПКО";"http://www.autoluxe.org";"+79159587393";"b2b@autoluxe.org"
"https://ruplastica-online.ru/companies/company/18534-agskarb-iskra-ooo.html";"АГСКАРБ - ИСКРА, ООО";"http://www.ags.ru";"+7(495)320-30-34";"info@ags.ru"
"https://ruplastica-online.ru/companies/company/18457-advans-plastik-inzhiniring-ooo.html";"Адванс Пластик Инжиниринг, ООО";"http://www.ape-ru.com";"+7 903 130 15 59";"office@ape-ru.com"
"https://ruplastica-online.ru/companies/company/22405-azimut-trejd-td-ooo.html";"Азимут Трейд, ТД, ООО";"http://www.mecomost.com";"+7 (912) 892-90-98";"n_malyamin@azimut-trade.ru"
"https://ruplastica-online.ru/companies/company/32711-ai-bi-si-plastik-ooo.html";"Ай Би Си Пластик, ООО";"https://www.ibcplastic.ru";"+7(495)7270528";"info@ibcplastic.ru"
"https://ruplastica-online.ru/companies/company/36342-aisplast-ooo.html";"АЙСПЛАСТ, ООО";"https://iceplast.ru";"8(800) 300-85-22";"chem@origroup.ru"
"https://ruplastica-online.ru/companies/company/18442-aleko-mashineri-ooo.html";"Алеко, ГК";"https://www.polimerexpert.ru";"+7(800)250-72-22";"info@polimerexpert.ru"
"https://ruplastica-online.ru/companies/company/32633-alpina-ooo.html";"АЛПИНА, ООО";"https://alpinafiller.com";"+7(4812) 600-543";"info@alpinafiller.com"
"https://ruplastica-online.ru/companies/company/30972-alxima-ooo.html";"АЛХИМА, ООО";"http://www.alchima.ru";"+7(495)978-60-20";"info@alchima.ru"
"https://ruplastica-online.ru/companies/company/26128-altair-npp-ooo.html";"Альтаир НПП, ООО";"https://npp-altair.ru";"+7(495)120-55-62";"info@npp-altair.ru"
"https://ruplastica-online.ru/companies/company/18034-alyans-kompozit-ooo.html";"Альянс-Композит, ООО";"http://www.alliance-compozit.ru";"+7(496)225-22-29";"info@alliance-compozit.ru"
"https://ruplastica-online.ru/companies/company/37779-an-naml-ooo.html";"АН-НАМЛЬ, ООО";"https://an-naml.ru";"+7 (917) 222-32-34";"info@an-naml.ru"
"https://ruplastica-online.ru/companies/company/37818-angara.html";"Ангара";"https://www.angara.su";"+7(495) 461-62-37";"info@angara.su"
"https://ruplastica-online.ru/companies/company/18079-anion-ooo.html";"АНИОН, ООО";"https://www.anion-msk.ru";"+7(495)989-29-95";"anion@anion-msk.ru"
"https://ruplastica-online.ru/companies/company/22278-ap-proekt.html";"АП-Проект";"https://www.ap-proekt.ru";"+7(905)014-58-96";"manager2@ap-proekt.ru"
"https://ruplastica-online.ru/companies/company/31772-kompaniia-aprel-ooo.html";"Апрель, ООО";"https://www.april-plast.ru";"+7(383)383-05-41";"info@april-plast.ru"
"https://ruplastica-online.ru/companies/company/26185-argolis-polikhim-ooo.html";"АРГОЛИС-ПОЛИХИМ, ООО";"http://www.a-ph.ru";"+7(812) 309-92-38";"sales@a-ph.ru"
"https://ruplastica-online.ru/companies/company/32699-askom-karboneits.html";"АСКОМ КАРБОНЭЙТС";"https://accm.com";"+201012273813";"amr.tawfik@accm.com.eg"
"https://ruplastica-online.ru/companies/company/38558-asplast.html";"АСПЛАСТ";"https://www.2ACTIVE.ru";"";"mail@2ACTIVE.ru"
"https://ruplastica-online.ru/companies/company/18543-astat-ooo.html";"АСТАТ, ООО";"http://www.astatmsk.ru";"+7(499)346-12-13";"info@astatmsk.ru"
"https://ruplastica-online.ru/companies/company/38412-ateko-ooo.html";"АТЕКО, ООО";"https://www.ateco.ru";"+7 495 795 11 20";"info@ateco.ru"
"https://ruplastica-online.ru/companies/company/17875-afaya-ao.html";"АФАЯ, АО";"http://www.afaya.ru";"+7(812)600-70-39";"info@afaya.ru"
"https://ruplastica-online.ru/companies/company/17845-balitekh-ooo.html";"Балитех";"http://www.baliteh.ru";"+7(495)980-23-69";"baliteh@baliteh.ru"
"https://ruplastica-online.ru/companies/company/32681-baltiiskii-ximiceskii-kompleks-ooo.html";"Балтийский Химический Комплекс";"https://www.baltchemc.ru";"+7(495)221-75-39";"belyaeva_sm@baltchemc.ru"
"https://ruplastica-online.ru/companies/company/17833-bars-2-ooo-npf.html";"БАРС-2 НПФ, ООО";"http://www.bars2.com";"+7(812)346-78-92";"bars2@bars2.com"
"https://ruplastica-online.ru/companies/company/37625-batolit-ooo.html";"Батолит, ООО";"http://batolit.ru";"+7 (495) 730-4062";"info@batolit.ru"
"https://ruplastica-online.ru/companies/company/18076-bashkirskaya-sodovaya-kompaniya-ao.html";"Башкирская содовая компания, АО";"http://www.soda.ru";"+7(347)329-76-09";"sodastr@soda.ru"
"https://ruplastica-online.ru/companies/company/37055-berg-mold.html";"Берг Молд, ООО";"https://bergplast.ru";"+7(499)707-13-07";"info@bergplast.ru"
"https://ruplastica-online.ru/companies/company/37816-xoziaistvennoe-obshhestvo-berzenni-melxemi.html";"Берзенни мелхеми, Хозяйственное общество";"http://www.berzenni.com";"+99363721242";"tolkunbags@gmail.com"
"https://ruplastica-online.ru/companies/company/36142-bestmold.html";"БестМолд, ООО";"https://best-mould.ru";"+79938989131";"zakaz@best-mould.ru"
"https://ruplastica-online.ru/companies/company/22682-biokhimplast-ooo.html";"Биохимпласт, ООО";"http://www.biochimplast.ru";"+7(495)785-83-51";"info-biohimplast@yandex.ru"
"https://ruplastica-online.ru/companies/company/38696-biplant-ooo.html";"БИПЛАНТ, ООО";"";"";""
"https://ruplastica-online.ru/companies/company/18491-borche-mashineri-sng-ooo.html";"БОРЧЕ Машинери";"https://www.borche-cis.ru";"+7 (977) 700-92-67";"info@borche-cis.ru"
"https://ruplastica-online.ru/companies/company/18540-brunnen-ooo.html";"БРУННЕН, ООО";"http://www.brunen.ru";"+7(495)249-00-47/48";"info@brunnenm.ru"
"https://ruplastica-online.ru/companies/company/17869-vl-plast-ooo.html";"Бэбипласт-Россия (ВЛ-ПЛАСТ, ООО)";"http://www.babyplast.ru";"+7(495)369-00-01";"info@babyplast.ru"
"https://ruplastica-online.ru/companies/company/17950-valentina-pak-ooo.html";"ВАЛЕНТИНА ПАК, ООО";"http://www.v-pak.ru";"+79037554173";"007@v-pak.ru"
"https://ruplastica-online.ru/companies/company/32669-valmo.html";"Вальмо";"http://www.walmo.co/ru";"+86 0573-82580099";"mudan.xuan@valmo.com.cn"
"https://ruplastica-online.ru/companies/company/37667-valcen-ooo.html";"ВАЛЬЦЕН, ООО";"http://www.mvroll.ru";"8 800 101-80-13";"info@mvroll.ru"
"https://ruplastica-online.ru/companies/company/38657-vektor-ooo.html";"Вектор, ООО";"https://v-plastic.ru";"+7 (495) 419-24-54";"zakaz@v-plastic.ru"
"https://ruplastica-online.ru/companies/company/23699-vellplast-ooo.html";"Веллпласт";"http";"+7(916)737-96-00";"novater@novater.ru"
"https://ruplastica-online.ru/companies/company/32660-velltex-ooo.html";"Веллтех, ООО";"https://www.herotechchiller.com";"+7(495)740-12-08";"rus@herotechchiller.com"
"https://ruplastica-online.ru/companies/company/37445-verxnerusskoe-polimer-ooo.html";"Верхнерусское-Полимер";"https://komsys.ru";"+7(991)111-56-54";"npovrks@yandex.ru"
"https://ruplastica-online.ru/companies/company/37628-logis-ooo.html";"Вестхим, ГК";"http://www.vesthim.ru";"+7 953 379 39 30";"ved@vesthim.ru"
"https://ruplastica-online.ru/companies/company/36347-wirso.html";"ВИРСО ТЕХ, ООО";"https://wirso.ru";"+7 (495) 128-96-28";"info@wirso.ru"
"https://ruplastica-online.ru/companies/company/17923-vista-lajn-ooo.html";"Виста Лайн, ООО";"http://www.vistaline.ru";"+7(495)133-01-69";"info@vistaline.ru"
"https://ruplastica-online.ru/companies/company/17899-vitakhim-ooo.html";"ВитаХим, ООО";"http://www.vitahim.ru";"+7(8313)25-33-47";"info@vitahim.ru"
"https://ruplastica-online.ru/companies/company/18070-ga-khemi-ooo.html";"ГА-Хеми, ООО";"http://www.gachemie.ru";"+7(499)500-12-74";"info@gachemie.ru"
"https://ruplastica-online.ru/companies/company/17824-gabriel-khemi-rus-2-ooo.html";"Габриэль-Хеми";"http://www.gabriel-chemie.com";"+7(495)231-12-81";"info@ru.gabriel-chemie.com"
"https://ruplastica-online.ru/companies/company/17821-gavari-kompaunds-ooo.html";"ГАВАРИ ГРУПП, ООО";"http://gavarygroup.com";"+7(495)979 97 79";"info@compoly.com"
"https://ruplastica-online.ru/companies/company/33341-gavo-mexanika.html";"Гаво Механика";"https://www.gavomeccanica.com";"+39 0573838580";"moscow@gavo.moscow"
"https://ruplastica-online.ru/companies/company/18585-gamma-plast-ooo.html";"ГАММА-ПЛАСТ, ООО";"http://www.gamma-plast.ru";"+7(495)348-09-11";"info@gamma-plast.ru"
"https://ruplastica-online.ru/companies/company/35454-garant-upak-servis-ooo.html";"ГАРАНТ-УПАК-СЕРВИС, ООО";"https://gu-s.ru";"+7 (977) 691-90-44";"garant-upak@yandex.ru"
"https://ruplastica-online.ru/companies/company/22384-polipak-ooo.html";"ГК Полипак";"https://www.polypak.ru";"+7(937)647-91-07";"dp@polypak.ru"
"https://ruplastica-online.ru/companies/company/23528-gk-spektr.html";"ГК СПЕКТР, ООО";"https://www.spektr-gk.ru";"+7-987-751-03-77";"techdir@spektr-gk.ru"
"https://ruplastica-online.ru/companies/company/17818-global-kolors-ooo.html";"ГЛОБАЛ КОЛОРС, ООО";"http://www.globalcolors.ru";"+7(812)322-81-00";"info@globalcolors.ru"
"https://ruplastica-online.ru/companies/company/26119-gpm-khimresurs-ooo.html";"ГПМ Химресурс, ООО";"http://www.gpmchem.ru";"+7(495) 232-61-26";"info@gpmchem.ru"
"https://ruplastica-online.ru/companies/company/39110-gradient-m-ooo.html";"Градиент М, ООО";"https://www.separator-mami.ru";"8(495)723-52-44";"separator-mami@mail.ru"
"https://ruplastica-online.ru/companies/company/18016-granplast-ooo.html";"ГРАНПЛАСТ";"https://www.gran-plast.ru";"+7(495)777-78-98";"sale@gran-plast.ru"
"https://ruplastica-online.ru/companies/company/18675-gual-kolors.html";"ГУАЛ КОЛОРС";"http://www.gualcolors.com";"+7(918)878-26-34";"gualcolorskmv@yandex.ru"
"https://ruplastica-online.ru/companies/company/26914-deltalizing-ooo.html";"ДельтаЛизинг, ООО";"https://www.deltaleasing.ru";"+7(800)200-01-80";"info@deltaleasing.ru"
"https://ruplastica-online.ru/companies/company/26388-dzhej-si-tajms.html";"Джей Си Таймс";"https://en.jc";"+86 576 84610006";"jc@jc-times.com"
"https://ruplastica-online.ru/companies/company/37685-ooo-dialog-komplekt.html";"Диалог Комплект, ООО";"http://www.formsplast.ru";"+74957887284";"info@formsplast.ru"
"https://ruplastica-online.ru/companies/company/18594-difleks-ooo.html";"ДИФЛЕКС, ООО";"https://diflex.ru";"+7(499)703 44 99";"info@diflex.ru"
"https://ruplastica-online.ru/companies/company/26860-dobrus-ooo.html";"ДОБРУС, ООО";"http://www.dob-rus.ru";"+7(915)160-66-15";"sales@dob-rus.ru"
"https://ruplastica-online.ru/companies/company/17947-dpl-polimer.html";"ДПЛ Полимер";"http://www.dpl-polimer.ru";"+7(962)3738881";"polengine@bk.ru"
"https://ruplastica-online.ru/companies/company/32732-draft-ooo.html";"Драфт, ООО";"https://www.dtap.ru";"+7(913)913-92-20";"a.shulpin@dtap.ru"
"https://ruplastica-online.ru/companies/company/26370-evropartner-ooo.html";"ЕВРОПАРТНЕР, ООО";"http://www.europartner.su";"+7(812)3396151";"info@europartner.su"
"https://ruplastica-online.ru/companies/company/18460-evropolimer-trejding-ooo.html";"Европолимер-Трейдинг, ООО";"https://europolymer-trading.ru";"+7(800)222-40-61";"trade@ep-group.ru"
"https://ruplastica-online.ru/companies/company/17866-evrotek-ooo.html";"Евротек, ООО";"http://www.co-plas.ru";"+7(918)279-90-01";"sirik@co-plas.ru"
"https://ruplastica-online.ru/companies/company/18082-evrokhim-1-fd-ao.html";"Еврохим-1 ФД";"https://eurohim.ru";"+7(495) 150-51-05";"mb1@eurohim.ru"
"https://ruplastica-online.ru/companies/company/17872-evrochiller-rus-ooo.html";"ЕВРОЧИЛЛЕР РУС, ООО";"http://www.echiller.ru";"+7(495)369-00-01";"info@echiller.ru"
"https://ruplastica-online.ru/companies/company/17851-ets-ooo.html";"ЕТС, Группа Компаний";"http://www.utsrus.com";"+7(812)389-55-55";"uts@utsrus.com"
"https://ruplastica-online.ru/companies/company/26974-zabelin-vyduvnye-mashiny.html";"Забелин выдувные машины";"https://www.zabelin.ru";"+7(495)648-66-60";"sales@zabelin.ru"
"https://ruplastica-online.ru/companies/company/22685-vr-plast-ooo.html";"Завод ""Стандарт Проф""";"http://www.standart-prof.ru";"+7 (800) 700-77-24";"zakaz@standart-prof.ru"
"https://ruplastica-online.ru/companies/company/37598-zavod-plastgrupp-ooo.html";"Завод ПЛАСТГРУПП, ООО";"http://plastgroupp.ru";"8 800 350-42-15";"zavod@plastgroupp.ru"
"https://ruplastica-online.ru/companies/company/27700-zerma-rus.html";"ЗЕРМА РУС";"https://www.zerma.ru";"+7(925)517-97-07";"zerma.ru@mail.ru"
"https://ruplastica-online.ru/companies/company/26631-yizumi.html";"Изуми Пресижн Машинери Рус";"https://www.yizumi.com";"+7(495)157-11-22";"artem@yizumi.com"
"https://ruplastica-online.ru/companies/company/17965-imid.html";"ИМИД, ООО";"http://www.imid.ru";"+7(495)739-53-94";"info@imid.ru"
"https://ruplastica-online.ru/companies/company/36144-inzenernye-plastiki-ooo.html";"Инженерные Пластики, ООО";"http://engineeringplastics.ru";"+7 (495) 212-12-48";"sales@engineeringplastics.ru"
"https://ruplastica-online.ru/companies/company/34028-insoft-ooo.html";"ИНСОФТ, ООО";"https://insft.ru";"+7(495)822-11-36";"office@insft.ru"
"https://ruplastica-online.ru/companies/company/26499-ooo-inteltest.html";"Интелтест, ООО";"http://smtest.ru";"+7 (499)7533226";"info@inteltest.ru"
"https://ruplastica-online.ru/companies/company/18490-interplast-ooo.html";"ИНТЕРПЛАСТ, ООО";"https://www.plasticmachinery.ru";"+7(800)555-08-60";"info@plasticmachinery.ru"
"https://ruplastica-online.ru/companies/company/26705-interkhim-ooo.html";"ИНТЕРХИМ, ООО";"http://www.interchim.ru";"+7 (495) 269-04-22";"info@interchim.ru"
"https://ruplastica-online.ru/companies/company/26791-intekhna-ooo.html";"Интехна, ООО";"https://www.intehna.ru";"+7(365) 277-74-09";"zakaz@intehna.ru"
"https://ruplastica-online.ru/companies/company/18127-inshu-ooo.html";"Иньшу, ООО";"https://inshu.ru";"+7(347)299-22-07";"inshultd@gmail.com"
"https://ruplastica-online.ru/companies/company/32792-irz-test-ooo.html";"ИРЗ ТЕСТ, ООО";"";"";""
"https://ruplastica-online.ru/companies/company/26797-irkutskij-zavod-polimerov-ooo.html";"Иркутский завод полимеров";"https://irkutskoil.ru/business/ipp";"+7 (3952) 288-000";"ipp@irkutskoil.ru"
"https://ruplastica-online.ru/companies/company/26421-ist-indastrial-sepport-ooo.html";"Ист Индастриал Сэппорт, ООО";"https://www.eisupport.ru";"+7(928)270-25-57";"eisupport@mail.ru"
"https://ruplastica-online.ru/companies/company/18591-east-max-llc.html";"ИСТ МАКС, ООО";"http://www.eastmax.ru";"+7(495)781-42-43";"info@eastmax.ru"
"https://ruplastica-online.ru/companies/company/18475-eastplast-llc.html";"ИСТПЛАСТ";"https://east-plast.ru";"+7(495)772-79-89";"info@east-plast.ru"
"https://ruplastica-online.ru/companies/company/37454-iork-zidkii-krasitel.html";"Йорк - Жидкий краситель";"https://www.yorkcolour.com/ru";"+7 (966) 388-38-86";"feroz.naser@yorkcolour.ru"
"https://ruplastica-online.ru/companies/company/28690-kazanskij-natsionalnyj-issledovatelskij-tekhnologicheskij-universitet-fgbou-vo-knitu.html";"Казанский национальный исследовательский технологический университет (ФГБОУ ВО)";"http://www.kstu.ru";"+7(843)231 42 16";"office@kstu.ru"
"https://ruplastica-online.ru/companies/company/37622-kaplain.html";"Каплайн";"http://www.cupline.by";"+375447187133";"ooo.cupline@yandex.ru"
"https://ruplastica-online.ru/companies/company/23672-kauchuk-i-rezina-zhurnal.html";"Каучук и Резина, журнал";"http://www.kir-journal.ru/index.php/journal";"+7(916) 035 64 54";"kir.konikova@mail.ru"
"https://ruplastica-online.ru/companies/company/32618-kb-press-forma-ooo.html";"КБ Пресс-форма";"https://pressforma-kb.ru";"+7(343)380-40-44";"info@pressforma-kb.ru"
"https://ruplastica-online.ru/companies/company/38531-kenoll-ooo.html";"КЕНОЛЛ, ООО";"http://kenoll.ru";"+7 499 450-71-91";"info@kenoll.ru"
"https://ruplastica-online.ru/companies/company/37605-kitek-ooo.html";"Китек, ООО";"https://cmtechnology.ru";"+7 (812) 981-92-81";"a.janzhura@cmtechnology.ru"
"https://ruplastica-online.ru/companies/company/31712-koelgamramor-ooo.html";"Коелгамрамор, ООО";"http://www.koelgacarb.ru";"+7(351) 200-33-93";"koelgaooo@mail.ru"
"https://ruplastica-online.ru/companies/company/30976-kompamid-inzenernye-plastiki-ooo.html";"Компамид Инженерные Пластики, ООО";"https://kompamid.ru";"+7(495)260-12-59";"plastic@kompamid.ru"
"https://ruplastica-online.ru/companies/company/18600-kompaniya-a8-ooo.html";"КОМПАНИЯ А8, ООО";"https://a8polymer.ru";"+7(495)649-39-79";"info@a8polymer.ru"
"https://ruplastica-online.ru/companies/company/23225-ziptech-diler-theysohn-extrusionstechnik-gmbh-penncolor-united-extrusion-gmbh.html";"Компания ЗИПТЕХ";"http://www.ziptech.ru";"+7(495)240-54-23";"pashinskaya.ziptech@mail.ru"
"https://ruplastica-online.ru/companies/company/18699-konstanta-gk.html";"КОМПАНИЯ КОНСТАНТА ООО";"http://www.constantachem.com";"+7(916)459-60-77";"plusconstanta@gmail.com"
"https://ruplastica-online.ru/companies/company/32651-kompaniia-neftexim-ltd-too.html";"Компания Нефтехим LTD, ТОО";"https://neftekhim.kz";"+7 (7182) 61-10-88";"r.aletayeva@nephtechim.kz"
"https://ruplastica-online.ru/companies/company/35930-texprom-gruppa-kompanii.html";"Композитные материалы, ООО";"https://tpcomposite.ru";"+7 (495) 198-88-65";"info@tpcomposite.ru"
"https://ruplastica-online.ru/companies/company/26430-kromeks-grupp-ooo.html";"Кромекс Групп, ООО";"http://www.cromexgroup.ru";"+7(812) 332 57 46";"cromex.spb@mail.ru"
"https://ruplastica-online.ru/companies/company/18537-khajtian-predstavitelstvo-v-rossii-i-belarusi.html";"КРОНПЛЕКС";"https://www.cronplex.ru";"+7 (495) 640 2 888";"info@cronplex.ru"
"https://ruplastica-online.ru/companies/company/27055-syankhaj.html";"КСЯНХАЙ";"http://xiangmh.com";"+9257358905";"xianghai@mail.ru"
"https://ruplastica-online.ru/companies/company/26149-kujbyshevazot-pao.html";"КуйбышевАзот, ПАО";"http://www.kuazot.ru";"+7 8482 56 10 47";"office@kuazot.ru"
"https://ruplastica-online.ru/companies/company/23828-lg-kem-moskovskoe-predstavitelstvo-ao.html";"ЛГ КЭМ, Московское представительство АО";"http://www.lgchem.com";"+7(495)258-23-35";"moscowoffice@lgchem.com"
"https://ruplastica-online.ru/companies/company/18010-liansu-machinery-manufacturing-co-ltd.html";"Лиансу Машинери Мануфактуринг Ко. ЛТД";"https://www.liansu.ru";"757-23888340";"info@liansu.ru"
"https://ruplastica-online.ru/companies/company/17944-lider-mashineri-leader-machinery.html";"Лидер Машинери";"http://www.extruder-cn.ru";"+7(903)118-83-33";"RussiaLeaderMachinery@gmail.com"
"https://ruplastica-online.ru/companies/company/34037-linksim-teknolodzi-ooo.html";"Линксим Текнолоджи, ООО";"https://linksim.ru";"+7 (936) 173-69-61";"office@linksim.ru"
"https://ruplastica-online.ru/companies/company/37788-liton.html";"Литон";"https://www.liton.ru";"8332)22-42-01";"com1@liton.ru"
"https://ruplastica-online.ru/companies/company/18448-lk-mashineri-rus-ooo.html";"ЛК Машинери Рус";"https://lkmachinery.ru";"+7(495)558-61-78";"info@lkmachinery.ru"
"https://ruplastica-online.ru/companies/company/32738-luan-ao.html";"Луань, АО";"http://www.luanmould.ru";"+7911 821 4939";"lyubimova89@gmail.com"
"https://ruplastica-online.ru/companies/company/17926-lukojl-rnp-trejding-ooo.html";"ЛУКОЙЛ-РНП-ТРЕЙДИНГ, ООО";"http://trading.lukoil";"+7 (495) 933-16-62";"lrnpt@lukoil.com"
