Ссылка;Название;Сайт;Телефон;Email;Страна
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=112960";"ЕВРОПЕЙСКИЕ ТЕХНОЛОГИИ";"www.betica.ru";"";"sales.betica.ru@gmail.com";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=112961";"ХИМБРОКЕР";"www.chembroker.ru";"";"info@chembroker.ru";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=112971";"ПРО ГРАНАТ";"";"";"shershneva.e.i@mail.ru";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113072";"ВКУСАРОМА УК, ООО";"www.vkusaroma.ru";"";"info@vkusaroma.ru";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113086";"ЭКОС, ООО";"www.ecosgp.com";"";"marketing@ecosgp.com";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113139";"АМУРСКИЙ МАСЛОЭКСТРАКЦИОННЫЙ ЗАВОД, ООО";"www.amuragro.ru";"";"marketing@amuragro.ru";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113153";"SATGURU GAM INDUSTRIES";"www.sgaind.com";"";"www.satguruind.com";"Индия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113157";"НОВАПРОДУКТ АГ";"www.novaprodukt.ru";"";"info@novaprodukt.ru";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113163";"ДИНАМИК";"www.dinamiccolor.ru";"";"dinamic@dinamiccolor.ru";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113166";"ВИДЬЯ РУС, ООО";"www.vidyarus.ru";"";"supportsales@vidyarus.com";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113189";"ЭКО РЕСУРС, АО";"www.eco-resource.com/en/";"";"er@eco-resource.com";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113207";"САЙРЕН, ООО";"www.syrenaroma.ru";"";"sales@syrenaroma.ru";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113227";"СЕЛЛ-СЕРВИС";"www.sell-service.ru";"";"info@sell-service.ru";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113228";"SHANDONG BAILONG CHUANGYUAN BIO-TECH CO.,LTD";"www.sdblcycn.com";"";"fei@sdblcy.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113229";"CHONGQING CHUANDONG CHEMICAL (GROUP) CO., LTD.";"en.cd1958.com";"";"12813@cdhgjt.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113230";"SHANGHAI PINRAN HEALTH TECHNOLOGY CO., LTD.";"www.nfiglobal.com";"";"michael.chan@nfiglobal.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113231";"WEIKUANG?JINING?NEW MATERIALS CO., LTD";"";"";"sdlifurui@163.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113232";"RUNDA FOOD TECHNOLOGY (SHANDONG) CO., LTD";"www.rundafoodtech.com";"";"export@rundafood.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113233";"WUXI XINJINGYUAN FOOD TECHNOLOGY CO., LTD.";"www.skyswancocoa.com";"";"zhaojie@skyswancocoa.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113234";"ЦЗЯНСУ КОЛОД ПИЩЕВЫЕ ИНГРЕДИЕНТЫ ЛТД.";"www.kolod.com";"";"sales6339@jskolod.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113235";"DONGXIAO BIOTECHNOLOGY CO., LTD";"www.cndongxiao.com";"";"export@cndongxiao.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113236";"DONGGUAN BELLA BIOTECH CO., LTD.";"";"";"flavorfactory@qq.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113239";"HENAN ZHENGTONG FOOD TECHNOLOGY CO., LTD.";"www.ztcc.com";"";"catherine.lee@ztcc.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113261";"HEALTANG BIOTECH CO.,LTD.";"";"";"cara.li@healtang.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113262";"FORTWAY CHEMICALS";"www.fortway.hk";"";"david.zhou@fortway.hk";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113263";"HAINAN NICEPAL INDUSTRY CO.,LTD.";"www.hnnicepal.com";"";"htpan@nicepal.com.cn";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113264";"WUHAN LANDMARK INDUSTRIAL CO.,LTD.";"www.landmarkind.com";"";"winsen@landmarkind.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113268";"SHANGHAI NATURE BIOTECHNOLOGY CO.,LTD.";"www.bionature.cn";"";"zsc@bionature.cn";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113305";"RZBC(JUXIAN) CO., LTD.";"www.rzbc.com";"";"sales@rzbc.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113307";"ФОРМУЛА ЕДЫ";"www.formulafood.ru";"";"postavka@formulafood.ru";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113311";"HENAN JINDAN LACTIC ACID TECHNOLOGY CO., LTD";"www.hnjindan.com";"";"cindy.dong@jindanlactic.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113313";"SHANDONG BIGTREE DREYFUS SPECIAL MEALS FOOD CO., LTD";"www.bigtreecreamers.com";"";"likecreamer@vip.126.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113314";"ZHEJIANG QILI XINGGUANG COCOA PRODUCTS CORP., LTD";"www.xgcocoa.com";"";"ly@xgcocoa.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113321";"НА GNU O БИОТЕХНОЛОГИИ РАЗВИТИЯ JIANGSU CO., LTD";"";"";"weiliang.xu.znsw@gmail.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113343";"FUZHOU RIXING AQUATIC FOOD CO., LTD.";"";"";"1637706086@qq.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113357";"SHANXI HENGQIANG CHEMICAL CO.,LTD.";"www.sxhqhg.com";"";"381565647@qq.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113359";"TIANJIN HEXIYUAN LECITHIN TECHNOLOGY CO., LTD";"";"";"amy@hisoyalecithin.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113370";"HANGZHOU SKYHERB TECHNOLOGIES CO.,LTD.";"www.skyherb.cn";"";"marketing@skyherb.cn";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113371";"СЯМЫНЬСКАЯ БИОТЕХНОЛОГИЧЕСКАЯ КОМПАНИЯ «АДДФАН», ООО";"www.addfun.com.cn";"";"ciel@addfun.com.cn";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113382";"DEOSEN BIOCHEMICAL (ORDOS) LTD";"www.deosen.com";"";"Terry.Zheng@deosen.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113385";"GANSU LIRCON BIOLOGICAL CO.,LTD.";"www.gslek.com";"";"inulinsophia@yeah.net";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113394";"FIPHARM (GROUP) CO., LTD";"www.huayancollagen.com";"";"hainanhuayan@china-collagen.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113417";"ШАНЬДУН КУНДА БИОТЕХНОЛОДЖИ";"www.hongdabio.com";"";"jack.chen@hongdabio.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113429";"YUCMC CO., LTD";"www.yucmc.com";"";"jeremy@yucmc.com ";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113435";"YUSWEET CO.,LTD.";"";"";"sales@ayyuxin.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113437";"ЭТОН ФУД КО., ЛТД";"www.etonfood.com";"";"export@etonfood.com";"Китай"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113444";"СЕЛЛ-СЕРВИС, ООО";"www.sell-service.ru";"";"info@sell-service.ru";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113446";"ЭКОКОЛОР ТК, ООО";"www.ecocolor.com";"";"ecocolor@ecocolor.com";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113449";"РЕВАДА ГРУППА КОМПАНИЙ";"www.revada-group.com";"";"infoneva@revada-group.com";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113452";"ДОН-АГРО, ООО";"www.donfrukt.ru";"";"don-agro61@yandex.ru";"Россия"
"https://new.ingred.ru/ru-RU/about/exhibitor-list/exhibitorpopup.aspx?id=113456";"ДЖИ СИ ДИ ГРУПП, ООО";"www.komeszflavour.com";"";"s.ivanov@gcd-group.ru, cso@komeszflavours.com";"Россия"
