Ссылка;Название;Сайт;Телефон;Email;Страна
"https://integration-digital.ru/companies/company/30265-abi-art-mezhdunarodnye-inklyuzivnye-tvorcheskie-igry.html";"АБИ АРТ - международные инклюзивные творческие игры";"https://abi-art.ru";"+7(903)742-31-70";"svoi.abiart@gmail.com";"Россия"
"https://integration-digital.ru/companies/company/30217-abilimpiks-natsionalnyj-tsentr.html";"АБИЛИМПИКС - Национальный центр";"https://abilympics-russia.ru";"+7(499)009-05-52";"abilympics@firpo.ru";"Россия"
"https://integration-digital.ru/companies/company/35574-avantaz-xoreograficeskii-kollektiv-inkliuzivnogo-tanca.html";"АВАНТАЖ - хореографический коллектив инклюзивного танца";"https://guravuchka.ru";"+7(961) 009-42-27";"kcsoir.guravuchka@mosreg.ru";"Россия"
"https://integration-digital.ru/companies/company/40086-adaptivnoe-tkhekvondo-v-dolgoprudnom.html";"Адаптивное тхэквондо в Долгопрудном";"https://vk.ru/tkddol";"+7 (916) 151-95-28";"Nazarovanelly@mail.ru";"Россия"
"https://integration-digital.ru/companies/company/35526-ai-3d-ooo.html";"Ай 3Д, ООО";"https://i3d.ru";"+7 (495) 108-60-68";"3d@i3d.ru";"Россия"
"https://integration-digital.ru/companies/company/39989-akademiia-adaptivnogo-sporta-ano.html";"Академия Адаптивного Спорта, АНО";"https://adaptivesport.ru";"+7 (980) 040-06-39";"info@adaptivesport.ru";"Россия"
"https://integration-digital.ru/companies/company/40049-aktiv-ooo.html";"АКТИВ, ООО";"https://rvozm.com";"";"";"Россия"
"https://integration-digital.ru/companies/company/39116-altertaip.html";"Альтертайп, ООО";"http://www.altertype.ru";"+7(915)163-26-64";"afastov.msu@gmail.com";"Россия"
"https://integration-digital.ru/companies/company/37742-anatomiks-ooo.html";"АНАТОМИКС , ООО";"https://antmx.ru";"+7 (916) 696-84-44";"filipp.shebbo@antmx.ru";"Россия"
"https://integration-digital.ru/companies/company/30679-angely-nadezhdy.html";"АНГЕЛЫ НАДЕЖДЫ";"https://angelynadezhdy.ru";"+7 (926) 587-05-87";"angel-nadezhdy@mail.ru";"Россия"
"https://integration-digital.ru/companies/company/39986-annaly-nevrologii-zurnal.html";"Анналы Неврологии, журнал";"";"";"";"Россия"
"https://integration-digital.ru/companies/company/29530-antares-ooo.html";"АНТАРЕС, ООО";"https://www.protez.ru";"+7(495)585-41-17";"oandp@yandex.ru";"Россия"
"https://integration-digital.ru/companies/company/30160-assotsiatsiya-invalidov-apparel.html";"АППАРЕЛЬ, МАИ";"https://centr-moscow-apparel.orgs";"+7(499)157-73-27";"L.Uldasheva@yandex.ru";"Россия"
"https://integration-digital.ru/companies/company/34121-armed.html";"АРМЕД";"https://www.armed.ru";"+7(495) 636-28-25";"sales@armed.ru";"Россия"
"https://integration-digital.ru/companies/company/35613-associaciia-paralimpiiskogo-fextovaniia.html";"Ассоциация паралимпийского фехтования";"https://www.wheelfencing.ru";"+7(905) 566-34-36";"";"Россия"
"https://integration-digital.ru/companies/company/29524-belorusskij-protezno-ortopedicheskij-vosstanovitelnyj-tsentr-rup.html";"Белорусский протезно-ортопедический восстановительный центр, РУП";"https://bpovc.by";"+375 (17) 308-14-75";"market@bpovc.by";"Беларусь"
"https://integration-digital.ru/companies/company/39662-bionardo-ooo.html";"Бионардо, ООО";"https://bionardo.ru";"+7(930) 035-35-03";"bionardo@bionardo.ru";"Россия"
"https://integration-digital.ru/companies/company/39659-bionikakosmos-itk-ooo.html";"БионикаКосмос, ИТК, ООО";"https://bionikakosmos.ru";"+7(916) 080-83-33";"info@bionikakosmos.ru";"Россия"
"https://integration-digital.ru/companies/company/40056-bochcha-rossii.html";"БОЧЧА РОССИИ";"https://bocciarus.ru";"+7(916)243-03-46";"nikita1227@yandex.ru";"Россия"
"https://integration-digital.ru/companies/company/35511-bystroe-koleso.html";"Быстрое колесо";"http://fastwheel.tilda";"+7(977)625-03-24";"fastwheel@bk.ru";"Россия"
"https://integration-digital.ru/companies/company/40043-vezet-zdorove-ooo.html";"Везет Здоровье";"https://vezet-zdorovie.ru";"+7(915)886-86-82";"vezetzdorov68@yandex.ru";"Россия"
"https://integration-digital.ru/companies/company/37796-vektor-sily-kompaniia.html";"Вектор Силы, компания";"https://bitrix24site.ru";"+7(909) 543-53-31";"9095435331@mail.ru";"Россия"
"https://integration-digital.ru/companies/company/39974-velomai-ooo.html";"ВЕЛОМАЙ, ООО";"https://technosite.ru";"+7(495) 966-08-88";"velomaj@mail.ru";"Россия"
"https://integration-digital.ru/companies/company/24725-vertikal-ooo.html";"ВЕРТИКАЛЬ, ООО";"https://tiflocentre.ru";"+7 (800) 555-34-73";"sale@tiflocentre.ru";"Россия"
"https://integration-digital.ru/companies/company/40055-vizionero.html";"ВИЗИОНЕРО";"https://visionero.ru";"";"info@visionero.ru";"Россия"
"https://integration-digital.ru/companies/company/30106-vog-vserossijskoe-obshchestvo-glukhikh.html";"ВОГ - Всероссийское Общество Глухих";"https://voginfo.ru";"+7 (499) 255-67-04";"secretariat@voginfo.ru";"Россия"
"https://integration-digital.ru/companies/company/30367-voi-vserossijskoe-obshchestvo-invalidov.html";"ВОИ - Всероссийское Общество Инвалидов";"https://www.voi.ru";"+7 (495) 120-08-85";"sek@voi.ru";"Россия"
"https://integration-digital.ru/companies/company/30148-vordi-vserossijskaya-organizatsiya-roditelej-detej-invalidov.html";"ВОРДИ - Всероссийская Организация Родителей Детей-Инвалидов";"https://vordi.org";"+7 (499)213-07-00";"info@vordi.ru";"Россия"
"https://integration-digital.ru/companies/company/30046-vos-vserossijskoe-obshchestvo-slepykh.html";"ВОС - Всероссийское общество слепых";"https://www.vos.org";"+7 (495) 132 74 53";"info@vos.org.ru";"Россия"
"https://integration-digital.ru/companies/company/40089-vselennaya-kiborgov.html";"Вселенная киборгов";"";"+7(968) 945-78-53";"";"Россия"
