Ссылка;Название;Сайт;Телефон;Email;Страна
"https://catalog.mining-ctt.ru/companies/company/147430-a-s-c-hidrolik-a-s.html";"A.S.C. Hidrolik A.S.";"http://www.blueascend.com";"+90 332 239 25 41";"export@blueascend.com";"Турция"
"https://catalog.mining-ctt.ru/companies/company/149893-abel-manufacturing-co-ltd.html";"ABEL MANUFACTURING CO.,LTD.";"https://brennaninc.com";"+86-21-57395390";"sheilawang@brennanchina.com";"Китай"
"https://catalog.mining-ctt.ru/companies/company/148969-aimix-group-co-ltd.html";"AIMIX GROUP CO., LTD";"http://www.aicranes.com";"0086-371-55036316";"ar76@aimix-group.com";"Китай"
"https://catalog.mining-ctt.ru/companies/company/149086-aimix-group-co-ltd.html";"AIMIX GROUP CO.,LTD";"http://www.aimix.ru";"8569987627";"export@www.aimix.ru";"Китай"
"https://catalog.mining-ctt.ru/companies/company/147268-aly-kozmeti-k-loji-sti-k-di-ti-caret-san-ve-ti-c-ltd-ti.html";"ALY KOZMET?K LOJ?ST?K DI? T?CARET SAN. VE T?C. LTD. ?T?.";"https://alylogistics.com/contact";"";"olesia@alylogistics.com";"Турция"
"https://catalog.mining-ctt.ru/companies/company/115180-am-point.html";"AM POINT";"https://ampoint.pro";"+7 (484) 382 93 50";"info@ampoint.pro";"Россия"
"https://catalog.mining-ctt.ru/companies/company/149740-ambetter-machinery-co-ltd.html";"AMBETTER MACHINERY CO.,LTD";"http://www.ambetter.ru";"8695858761";"info@ambetter.ru";"Китай"
"https://catalog.mining-ctt.ru/companies/company/149161-anhui-gaubb-filtration-technology-co-ltd.html";"Anhui Gaubb Filtration Technology Co., Ltd.";"http://www.gaubb-hyd.com";"8-5557-6789";"sales01@ahgaubb.cn";"Китай"
"https://catalog.mining-ctt.ru/companies/company/149947-anhui-jatec-heavy-bearing-co-ltd.html";"ANHUI JATEC HEAVY BEARING CO.,LTD";"http://www.jatece.com";"+86-555-5515068";"jtk@ahjatec.com";"Китай"
"https://catalog.mining-ctt.ru/companies/company/149809-anhui-lesen-sensor-technology-co-ltd.html";"ANHUI LESEN SENSOR TECHNOLOGY CO., LTD";"http://www.Lesen-sensor.com";"+86-13917772009";"salesa@lesensensor.com";"Китай"
