—Ò˚ÎÍ‡;Õ‡Á‚‡ÌËÂ;—‡ÈÚ;“ÂÎÂÙÓÌ;Email
"https://catalog.textile-salon.ru/companies/company/119889-a-fabrics.html";"A+FABRICS";"https://aplusfabrics.ru";"+7 (911) 495-94-75";"info@aplusfabrics.ru"
"https://catalog.textile-salon.ru/companies/company/143232-ablaksoy-tekstil.html";"ABLAKSOY TEKSTIL";"http://www.ablaksoytekstil.com";"+905382795377";"info@ablaksoytekstil.com.tr"
"https://catalog.textile-salon.ru/companies/company/105780-abril-co-tekstil.html";"ABRIL CO. TEKSTIL";"http://www.abrilco.com";"+ 90 216 629 26 25";"skarikcioglu@abrilco.com.tr"
"https://catalog.textile-salon.ru/companies/company/142439-afa.html";"AFA";"http://www.afagroup.ru";"+7 (495) 772-39-22";"afagroup@mail.ru"
"https://catalog.textile-salon.ru/companies/company/88527-airontex.html";"AIRONTEX";"https://www.airontexsrl.com";"+ 39 055 879 89 35";"stefano.rosati@airontex.it"
"https://catalog.textile-salon.ru/companies/company/116656-aja-fabric.html";"AJA FABRIC";"http://www.ajakumas.com";"+ 90 212 482 36 16";"info@ajakumas.com"
"https://catalog.textile-salon.ru/companies/company/142457-akbaslar-holding.html";"AKBASLAR HOLDING";"http://www.akbaslar.com";"+905077999997";"islam.muzaffer@akbaslar.com"
"https://catalog.textile-salon.ru/companies/company/118191-akrida-tekstil.html";"AKRIDA TEKSTIL";"http://www.akridatekstil.com";"+ 90 533 157 85 69";"info@akridatekstil.com"
"https://catalog.textile-salon.ru/companies/company/32590-alfa-fi-manifattura-tessile-srl.html";"ALFA-FI MANIFATTURA TESSILE SRL";"https://alfa-fi.com";"+39 055 8969335";"alfa-fi@alfa-fi.com"
"https://catalog.textile-salon.ru/companies/company/32368-almodo-tekstil.html";"ALMODO TEKSTIL";"http://www.almodo.com";"+90 212 230 37 28";"Ekaterina.selifontyeva@almodo.com.tr"
"https://catalog.textile-salon.ru/companies/company/27490-altinyildiz-tekstil.html";"ALTINYILDIZ TEKSTIL / ¡”À”“";"http://www.altinyildiz.com";"+90 282 495 50 00";"fatma.atay@altinyildiz.com.tr"
"https://catalog.textile-salon.ru/companies/company/32356-ardem-tekstil.html";"ARDEM TEKSTIL";"http://www.ardemtekstil.com";"+ 905493211151";"yucel@ardemtekstil.com"
"https://catalog.textile-salon.ru/companies/company/144601-arikan-fabrics.html";"ARIKAN FABRICS";"https://www.arikanfabrics.com";"+90 850 346 55 44";"office@arikanfabrics.com"
"https://catalog.textile-salon.ru/companies/company/40474-arsor.html";"ARSOR TEKSTIL";"http://www.arsortekstil.com";"+ 90 224 261 6017";"gokhankuyucu@arsortekstil.com"
"https://catalog.textile-salon.ru/companies/company/109484-asude-tekstil.html";"ASUDE TEKSTIL ESARP";"http://www.armanda.com";"+ 90 (212) 514-66-84";"selahaddincoka@armanda.com.tr"
"https://catalog.textile-salon.ru/companies/company/32431-ataman-tekstil.html";"ATAMAN TEKSTIL";"https://atamangrup.ru";"79153188484";"info@atamangrup.ru"
"https://catalog.textile-salon.ru/companies/company/143797-atesan-tekstil.html";"ATESAN TEKSTIL";"http://www.atesantekstil.com";"+90 532 524 39 36";"info@atesantekstil.com.tr"
"https://catalog.textile-salon.ru/companies/company/107808-ayd-bursa-kumas.html";"AYD BURSA KUMAS";"http://www.aydbursa.ru";"+7 (916) 276-71-28";"bursateks@mail.ru"
"https://catalog.textile-salon.ru/companies/company/27394-ayteks-kumas.html";"AYTEKS KUMAS";"http://www.aytekskumas.com";"+90 212 481 5883";"info@aytekskumas.com.tr"
"https://catalog.textile-salon.ru/companies/company/104145-baysara-tekstil.html";"BAYSARA TEKSTIL";"http://www.baysara.com";"+ 90 532 776 83 76";"gcolak@baysara.com"
"https://catalog.textile-salon.ru/companies/company/32302-behateks-tekstil.html";"BEHATEKS TEKSTIL";"http://www.behateks.com";"+905354131395";"ismail@behateks.com"
"https://catalog.textile-salon.ru/companies/company/122823-beril-tekstil.html";"BERIL TEKSTIL";"http://www.beriltekstil.net";"+ 90 212 505 05 70";"beril@beriltekstil.net"
"https://catalog.textile-salon.ru/companies/company/51606-besa-kuma.html";"BESA KUMA?";"http://www.besakumas.com";"+90 212 520 09 29";"info@besakumas.com.tr"
"https://catalog.textile-salon.ru/companies/company/32440-bgt-tekstil.html";"BGT TEKSTIL";"http://www.bgtekstil.com";"+(90 212) 234 56 62 ñ 72E-mail: vagif1964@gmail.com¿‰ÂÒ: “ÛˆËˇ, Me?rutiyet mahallesi Ebek?z? sokak no: birlik apt. Kat : 1 ?i?li ?stanbul/ TurkeyE-mail: emre@bgtekstil.comE-mail: aykut@bgtekstil.com";"vagif1964@gmail.com"
"https://catalog.textile-salon.ru/companies/company/142442-bogazoci-orme.html";"BOGAZICI ORME";"http://www.bogaziciorme.com";"+ 905 447 463 434";"olesia@bogaziciorme.com"
"https://catalog.textile-salon.ru/companies/company/117990-bomonti-dijital.html";"BOMONTI DIJITAL";"http://www.bomontidijital.com";"+ 90 212 210 00 56";"info@bomontidijital.com"
"https://catalog.textile-salon.ru/companies/company/45003-burcu-tekstil.html";"BURCU TEKSTIL";"http://www.burcuorme.com";"+90 539 611 38 59";"export@burcuorme.com"
"https://catalog.textile-salon.ru/companies/company/117453-bz-jacquard.html";"BZ JACQUARD";"http://www.bzjakar.com";"+ 90 224 243 33 06";"info@bzjakar.com.tr"
