Ссылка;Название;Сайт;Телефон;Email
"https://catalog.textilexpo.ru/companies/company/126193-alfa-bank.html";"АЛЬФА-БАНК";"http://Alfabank.ru";"+74956209191";"mail@alfabank.ru"
"https://catalog.textilexpo.ru/companies/company/127501-vajt-trevel.html";"Вайт Тревел";"https://b2b.onetwotrip";"+78005111090";"b2b@onetwotrip.com"
"https://catalog.textilexpo.ru/companies/company/128644-sberbank.html";"Сбербанк";"https://www.sberbank.com/ru/s_m_business";"+78005555777";"sberbank@sberbank.ru"
"https://catalog.textilexpo.ru/companies/company/127477-sber-faktoring.html";"Сбер Факторинг";"http://www.sberfactoring.ru";"+74952300517";"info@sberfactoring.ru"
"https://catalog.textilexpo.ru/companies/company/124603-uzkotton.html";"Узкоттон";"http://uzcotton.ru";"+74993437340";"sale@uzcotton.ru"
"https://catalog.textilexpo.ru/companies/company/128719-artvkus.html";"АртВкус";"https://eco-nad.ru";"+74952807951";"ooo.artvkus@gmail.com"
"https://catalog.textilexpo.ru/companies/company/128193-accent-textiles-co-ltd.html";"Accent Textiles Co., Ltd";"https://ailsin.com";"512-52558226";"lauralan@ailsin.com.cn"
"https://catalog.textilexpo.ru/companies/company/123967-aksu-zhenglun-industrial-co-ltd.html";"Aksu Zhenglun Industrial Co., Ltd.";"http://www.akszlsy.com";"+8613912297896";"13912297896@163.com"
"https://catalog.textilexpo.ru/companies/company/127231-angeweler.html";"Angeweler";"https://t.me/angeweler";"+79253201343";""
"https://catalog.textilexpo.ru/companies/company/124180-anhui-comfytouch-ltd.html";"Anhui Comfytouch Ltd";"https://megatex.cn";"+8615051528807";"jessie@megatex.cn"
"https://catalog.textilexpo.ru/companies/company/126244-artatex.html";"ARTATEX";"https://artatex.uz";"8909946507";"nargiza@artatex.uz"
"https://catalog.textilexpo.ru/companies/company/126463-atrin-nakh-company.html";"Atrin Nakh Company";"http://www.atrinnakh.com";"89912145024";"export.exp@atrinnakh.com"
"https://catalog.textilexpo.ru/companies/company/127216-avow.html";"AVOW";"https://rguk.ru";"+79296147411";"vnikogosyan2003@mail.ru"
"https://catalog.textilexpo.ru/companies/company/124168-bamalosa-sewless-technology-limited.html";"Bamalosa Sewless Technology Limited.";"http://www.bamalosa.com";"";"mfbs@bamalosa.com"
"https://catalog.textilexpo.ru/companies/company/123826-bouton.html";"Bouton";"http://Boutonru.ru";"+79850166886";"Bouton.ru@bk.ru"
"https://catalog.textilexpo.ru/companies/company/126556-buddemeyer-sa.html";"Buddemeyer S/A";"http://buddemeyer.ru";"+74959027515";"bud-lux@inbox.ru"
