Ссылка;Название;Сайт;Телефон;Email;Рубрики
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381529?&stand=2E20";"ALFRESCO";"http://www.allfresco.ru/";"+7 (495) 290-3131";"info@allfresco.ru";"Садовая и уличная мебель Малые архитектурные формы Свето- и электротехническая продукция Светотехнические изделия Уличное освещение Системы управления ""умный город"""
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381524?&stand=2E50";"ALUMARK";"https://alumark.ru/";"+7 (495) 532-3066";"aluminium@tbm.ru";"Профильные системы Фасадные конструктивные системы Капитальное и загородное строительство"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381507?&stand=2G78";"ASSEL";"http://www.assel-xim.ru/";"+7 (964) 898-4048";"assel-xim@mail.ru";"Строительная химия Гидроизоляция, герметики, клеи Защитные покрытия Лаки, краски и покрытия Декоративные штукатурки Молдинги, интерьерная лепнина"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381498?&stand=2C35";"AXYFORMA";"http://axyforma.ru/";"+7 (925) 041-1173, +7 (495) 902-7001";"office@axyforma.ru";"Садовая и уличная мебель Малые архитектурные формы Светотехнические изделия Уличное освещение"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381555?&stand=2C48";"BAIZHENG";"http://www.baizheng.ru/";"+7 (926) 139-2071";"baizheng77@mail.ru";"Напольные резиновые и ПВХ-покрытия Линолеум Ковровые и ворсовые напольные покрытия Обои Мебель Панели"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381558?&stand=2C80";"BOOM TOOLS";"http://www.boomtools.ru/";"+7 (925) 683-3611";"office@fukudamarket.ru";"Деревянное домостроение Капитальное и загородное строительство Инструменты для малярных, отделочных работ Электроинструмент Измерительное оборудование и инструмент Инструмент и оборудование для обработки материалов"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381504?&stand=2C58";"ECOGARDEN";"https://ecogarden.moscow/contacts";"+7 (495) 990-4816";"sales@ecogarden.moscow";"Ландшафтный дизайн Работы по благоустройству территорий"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381531?&stand=2G60";"FCSPRO";"http://www.fcspro.ru/";"8 800-707-0965";"info@fcspro.ru";"Плиты Фасадные конструктивные системы Фасадные облицовочные материалы Фасадные панели из металла, керамогранита, фиброцемента, ПВХ Сайдинг Капитальное и загородное строительство"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381557?&stand=2C80";"FUKUDA";"http://www.fukudamarket.ru/";"+7 (925) 683-3611";"office@fukudamarket.ru";"Окна, оконный профиль Капитальное и загородное строительство Инструменты для малярных, отделочных работ Измерительное оборудование и инструмент Инженерное оборудование Оборудование и технологии для производства и монтажа металлоконструкций"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381499?&stand=2F10";"GEOSM";"http://www.geo-sm.ru/";"8 800 500-3224";"info@geo-sm.ru";"Гидроизоляция, герметики, клеи Ландшафтный дизайн Экологические строительные материалы"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381540?&stand=2G61";"GIP GROUP®";"http://www.gip.su/";"+7 (911) 150-9960";"zakaz@gip.su";"IT-решения"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381539?&stand=2C55";"ITS Work Watch";"http://workwatch.pro/";"+7 (499) 653-9499";"sales@workwatch.ru";"IT-решения Энергосберегающие технологии и материалы Средства охраны труда и техника безопасности в строительстве Сопровождение строительства Системы мониторинга и обеспечения безопасности"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381568?&stand=2E28";"KRAAB SYSTEMS";"https://kraab-systems.com/";"+7 (967) 594-5475";"info@kraab-systems.com";"Инструменты для малярных, отделочных работ Потолки и потолочные системы Светотехнические изделия Светодиодная продукция Светильники: люстры, бра, LED-светильники Системы управления ""умный дом"""
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381570?&stand=2C21";"LION MEDIA BUSINESS DEVELOPMENT AGENCY";"https://lion-media.ru/";"+7 (991) 777-1948";"sale@lion-media.ru";"IT-решения Архитектура, проектирование, дизайн Сопровождение строительства СМИ Металлические конструкции (ЛМК, ЛСТК, БМЗ, сэндвич-панели, полнокомплектные здания)"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381513?&stand=2D40";"SELECTA";"http://www.selecta.ru/";"+7 (495) 240-8183";"sales@selecta.ru";"Свето- и электротехническая продукция Светотехнические изделия Светодиодная продукция Светильники: люстры, бра, LED-светильники Уличное освещение"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381505?&stand=2G30";"АКРИТЕХ";"http://akriteh.ru/";"8 800 300-6072";"sale@akriteh.ru";"Фасадные облицовочные материалы Лаки, краски и покрытия"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381564?&stand=2E65";"АЛЬЯНС СТИЛЬ, ООО";"https://alliance-style.ru/";"+7 (966) 087-1797";"ak@alliance-invest.ru";"Отделка и ремонт помещений Архитектура, проектирование, дизайн Градостроительные решения, инвестиционные проекты Предметы интерьера"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381576?&stand=2G23";"АРБОГРАД";"http://www.arbograd.ru/";"+7 (996) 354-9207";"arbograd37@mail.ru";"Кирпич, камни и блоки, ж/б изделия Деревянное домостроение Фасадные облицовочные материалы Капитальное и загородное строительство Экологические строительные материалы Энергосберегающие технологии и материалы"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381542?&stand=2C30";"БАЙДЖАКС СТЕНОВЫЕ ПАНЕЛИ, ООО";"http://www.baijaxiang.ru/";"+7 (495) 165-5585";"info@baijaxiang.ru";"Фасадные облицовочные материалы Фасадные панели из металла, керамогранита, фиброцемента, ПВХ Панели"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381506?&stand=2F01";"БОЛИД, НВП, АО";"http://bolid.ru/";"+7 (495) 775-7155";"info@bolid.ru";"Инженерное оборудование Вентиляция и кондиционирование Отопление Системы контроля и учета Управление зданиями Системы мониторинга и обеспечения безопасности"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381556?&stand=2E30";"БРАЙТЭЛЕК, ООО";"http://www.brightelec.ru/";"+7 (495) 514-1079";"info@brightelec.ru";"Свето- и электротехническая продукция Светотехнические изделия Светодиодная продукция Уличное освещение"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab2-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381534?&stand=2C50";"ВЕРГЕР";"http://www.verger.ru/";"+7 (499) 226-2007";"info@verger.ru";"Ландшафтный дизайн Работы по благоустройству территорий Питомники растений"
