Ссылка;Название;Сайт;Телефон;Email;Рубрики
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381288?&stand=4B010";"ADEM GLASS";"https://ademglass.ru/";"+7 (499) 110-4587";"welcome@ademglass.ru";"Обработка кромки и поверхности листового стекла: шлифовка, полировка, травление, гравировка, пескоструйная обработка, УФ-склейка Производство триплекса (ламинированного стекла): оборудование (автоклавы) и технологии Стекло листовое прозрачное Стекло в интерьере: двери, перегородки, декоративные панно, лестницы, полы, душевые кабины, плитка, кухонные фартуки и прочее"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381432?&stand=4B082";"AGS";"ОШИБКА";"ОШИБКА";"ОШИБКА";""
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381440?&stand=4A082";"ALL GLASS";"http://www.allglass.it/";"+39 0521340810";"d.nagailic@allglass.it";"Оборудование для перемещения Конвейеры, ролики"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381387?&stand=4D156";"AMD SORTING";"http://www.amdcolorsorter.com/";"+86 13615694732";"amd.sorting@gmail.com";"Обработка сырьевых материалов, подготовка шихты и стеклобоя Переработка вторсырья, стеклобоя"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381325?&stand=4B152";"ANDY MOULD TECHNOLOGY CO. LTD";"http://www.andymould.com/";"+86 15810640460";"crystal@andymold.com";"Формы для стекольного производства"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381380?&stand=4D157";"ANHUI ANGLE TECHNOLOGY CO. LTD";"https://www.angufilms.com/";"+86 552 7220269";"aletta@angufilms.com.cn";"Стекло закаленное, шумоизоляционное, ударопрочное, пуленепробиваемое"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381350?&stand=4C130";"AUTO-SYSTEM (TIANJIN) AUTOMATION TECHNOLOGY CO. LTD";"https://sys-tianjin.com/";"+86 2227607130";"SYS@sys-tianjin.com";"Обработка сырьевых материалов, подготовка шихты и стеклобоя Системы оптимизации, автоматизации производственных процессов"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381418?&stand=4E108";"BEIJING HUATAI YINHAI INTERNATIONAL BUILDING MATERIALS CO. LTD";"http://www.glassmatgroup.com/";"+86 10-81387066";"sales@huataiyh.com";"Профиль, фурнитура, дистанционые рамки, наполнители, герметики, клеи Структурное и безрамное остекление"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381417?&stand=4D146";"BEIJING JEFFOPTICS COMPANY LIMITED";"http://www.jeffoptics.com/";"+86 10-62073731";"jeffoptics@hotmail.com";"Оборудование для контроля качества стекла"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381342?&stand=4A140";"BEIJING NEXACODE INTELLIGENT TECHNOLOGY CO. LTD";"http://www.qmark.net.cn/";"+86 13810806921";"baiming1130@163.com";"Резка и раскрой листового стекла Лазерные технологии"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381363?&stand=4A150";"BENGBU MAKEWELL MACHINERY EQUIPMENT CO. LTD";"ОШИБКА";"ОШИБКА";"ОШИБКА";""
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381383?&stand=4D010";"BEST MAKINA";"http://www.steklostan.ru/";"+7 (495) 951-8500";"info@ritservice.msk.ru";"Оборудование и технологии производства и сборки стеклопакетов"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381382?&stand=4D010";"BOTTERO S.p.A.";"http://www.steklostan.ru/";"+7 (495) 951-8500";"info@ritservice.msk.ru";"Производство листового флоат-стекла Оборудование и технологии для производства стеклотары"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381328?&stand=4E140";"C&D (QINGDAO) COMPANY LIMITED";"ОШИБКА";"ОШИБКА";"ОШИБКА";""
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381385?&stand=4D010";"CAR-MET S.R.L.";"http://www.carmetspa.it/";"+7 (495) 951-8500";"info@ritsteklo.ru";"Печи отжига (леры) Оборудование и технологии для производства стеклотары"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381413?&stand=4D074";"CHANGSHU JIANHUA MOULD TECHNOLOGY CO. LTD";"http://www.jhmould.net/";"+7 (903) 740-4188";"d.zernov@jhmould.net";"Оборудование и технологии для производства стеклотары Формы для стекольного производства"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381411?&stand=4D140";"CHANGSHU YULONG MOULD CO. LTD";"http://www.yulongmould.com/";"+86 51252505888";"yl01@yulongmould.com";"Формы для стекольного производства Стеклотара для пищевой промышленности"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381369?&stand=4E175";"CHONGQING LIFE FURNACE TECHNOLOGY CO. LTD";"ОШИБКА";"ОШИБКА";"ОШИБКА";""
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381323?&stand=4E132";"DASHIQIAO ZHONGJIAN MAGNESIA BRICK CO. LTD";"https://www.mirstekla-expo.ru/";"+86 4175212013";"zhongjian_tt2012@163.com";"Огнеупорные материалы"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381354?&stand=4D125";"DONGGUAN QUN AN PLASTIC INDUSTRIAL CO. LTD";"http://www.sgp-film.com/";"+86 76983382566";"mike@qunancn.com";"Светопрозрачные материалы для теплиц, оранжерей, зимних садов: стекло, поликарбонат, оргстекло, пленка, специальные покрытия Светопрозрачные конструкции для сельскохозяйственного комплекса из стекла, оргстекла, поликарбоната, пленки"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381399?&stand=4D010";"E2Pack";"http://www.e2pack.com/";"+7 (495) 951-8500";"info@ritsteklo.ru";"Конвейеры, ролики Упаковочные линии, упаковочные материалы"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381389?&stand=4E044";"EASTGLAZ AUTOMATION EQUIPMENT (SHANDONG) CO. LTD";"https://www.mirstekla-expo.ru/";"+86 18560208875";"sales07@lijiang-glass.com";"Оборудование и технологии производства и сборки стеклопакетов Стеклопакеты"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381389?&stand=4F042";"EASTGLAZ AUTOMATION EQUIPMENT (SHANDONG) CO. LTD";"https://www.mirstekla-expo.ru/";"+86 18560208875";"sales07@lijiang-glass.com";"Оборудование и технологии производства и сборки стеклопакетов Стеклопакеты"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381430?&stand=4C041";"eLase Systems";"ОШИБКА";"ОШИБКА";"ОШИБКА";""
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381329?&stand=4B070";"FALORNI TECH S.R.L.";"http://www.falorniglass.com/";"+39 (0) 571 922333";"info@falorniglass.com";"Системы оптимизации, автоматизации производственных процессов Инновации, научные и конструкторские разработки"
"https://icatalog.expocentr.ru/ru/exhibitions/190a3ab8-1050-11f0-80ce-a0d3c1fab97f/exhibitors/381396?&stand=4D010";"FERMAC S.R.L";"http://www.ritsteklo.ru/";"+7 (495) 951-4200";"info@ritsteklo.ru";"Печать на стекле: прямая, пленочная, триплексная печать Обработка пищевой стеклотары"
