Ссылка;Название;Сайт;Телефон;Email;Страна
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382751?stand=1D050";"3DLAM";"https://3dlam.com/";"+7 (812) 622-6222";"print@3dlam.com";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382721?stand=1C070";"3Д ВИЖН ДИСТРИБЬЮШЕН, ООО";"http://www.3dvision.su/";"8 800 333-0758";"info@3dvision.su";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382176?stand=7B015";"3Д КОНТРОЛЬ, ООО";"http://www.3d-control.ru/";"+7 (919) 034-4774";"info@3d-control.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382710?stand=1D080";"3Д-ИНТЕГРАЦИЯ НПО, ООО";"https://am-tech.ru/";"+7 (495) 109-1191";"info@am-tech.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383499?stand=5F040";"ABOVE MATERIAL TECHNOLOGY CO. LTD";"http://www.amt-alloys.com/";"+86 1082609473";"export@amt-alloys.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382457?stand=7B166";"ADVANCED NANO COATING TECHNOLOGY CO. LTD";"http://www.czanc.com/";"+86 13621856226";"leo.feng@vip.163.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383584?stand=6D110";"AKKO MAK?NA SANAY? VE T?CARET A.?.";"https://www.akko.com.tr/tr";"+90 543 338 25 56";"russia2@akko.com.tr";"Турция"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383512?stand=8B040";"ALUMICA";"http://xn--80aaxidg9j.xn--p1ai/";"8 800 505-4953";"mail@alumica.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382698?stand=15E132";"ANDREEV MACHINES";"https://andreevmachines.com/";"+7 (904) 556-0411";"andreevmachines@gmail.com";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383200?stand=14C225";"ANHUI ADVANCED MACHINERY CO. LTD";"https://www.advgrinding.com/";"+86 15656556997";"melody@advanpolish.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382651?stand=14B216";"ANHUI HARTING MACHINERY TECHNOLOGY CO. LTD";"http://www.miharting.com/";"+86 18949589551";"albert@miharting.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383211?stand=14C085";"ANHUI LIYUAN CNC BLADE MOLD MANUFACTURING CO. LTD";"https://www.metobr-expo.ru/";"+86 5556765968";"sales03@ahliyuan.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383217?stand=14E234";"ANHUI RUNBANG HEAVY INDUSTRY MACHINERY CO. LTD";"http://www.rbqlty.com/";"+86 13855367553";"rbzg@rbqlty.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383204?stand=8D150";"ANHUI TECHFLY ROBOTICS TECHNOLOGY CO. LTD";"http://techflyrobot.com/";"+86 18356576525";"hufengguang@techflyrobot.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383219?stand=8B111";"ANHUI TONGCHI CNC MACHINE TOOL CO. LTD";"https://cntkmt.1688.com/";"+86 13851583930";"276166878@qq.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382498?stand=7B210";"ANHUI UCUT PRECISION MACHINERY CO. LTD";"http://www.ucutknife.com/";"+86 18055539760";"maxim.zhai@ucutknife.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382429?stand=15B173";"ANYANG XINHENG MACHINE TOOL CO. LTD";"http://www.ayxhmt.com/";"+86 13353647612";"info@ayxhmt.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382673?stand=14E025";"ARCUS";"http://www.arcus.ru/";"+7 (495) 500-5053";"info@arcus.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382259?stand=6D035";"AREATEK";"http://www.areatek.ru/";"8 800 201-5575";"info@areatek.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382225?stand=7A050";"ARKA";"http://www.arka-tools.ru/";"+7 4922 771020";"info@arka-tools.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383358?stand=8B025";"ATAU, ООО";"https://atau.ru/";"+7 (919) 908-0000";"info@atau.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382397?stand=2D010";"AVERTUM";"http://www.avertum.ru/";"+7 (499) 640-0000";"info@avertum.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382774?stand=1C080";"AVP ZIAS";"http://www.zias-machinery.ru/";"+7 (495) 970-8892";"BPrint@zias-machinery.com";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383635?stand=7C136";"BANGTAI NEW MATERIALS TECHNOLOGY CO. LTD";"http://www.bangtaitools.com/";"+86 18068506577";"tangxuwei100@qq.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382928?stand=7B193";"BAOLIFENG (SHANDONG) CNC TOOL CO. LTD";"http://www.blftool.com/";"+86 13356396975";"qdblftool@163.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383356?stand=6B060";"BAYDARLAR MAKINA TAKIM SAN. TIC. LTD. STI.";"https://baydarlar.com/";"+90 5462387873";"export@baydarlar.com";"Турция"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383634?stand=15C232";"BDEFU MACHINERY TECHNOLOGY (CHANGZHOU) CO. LTD";"https://www.metobr-expo.ru/";"+86 519 81296887";"naomi@bdfkp.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382708?stand=8D136";"BEILUN FUTUO MECHANICAL TOOLS CO. LTD";"http://www.futuo.com/";"+86 574 86108314";"susan@futuo.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382593?stand=15B194";"BENGBU SANFORD MACHINERY CO. LTD";"http://www.sanford-machine.com/";"+86 13865009190";"andy@sanford-machine.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382414?stand=7C150";"BENXI TOOL CO. LTD";"http://www.bxtool.net/";"+86 24-45567008";"lion@liontool.com.cn";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382704?stand=8G120";"BOHO MACHINERY (DONGGUAN) CO. LTD";"http://www.bohocnc.cn/";"+86 769 8225 9729";"info@bohocnc.cn";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382572?stand=7B142";"BOYO CUTTING TOOLS CO. LTD";"http://www.boyocuttingtools.com/";"+86 731 2284 0880";"sales@boyocuttingtools.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382077?stand=8B059";"BUHMWOO CHEMICAL IND. CO. LTD";"https://www.metobr-expo.ru/";"";"";"Республика Корея"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383226?stand=8B140";"CANGZHOU JINAO TRADING CO. LTD";"http://www.jinaobellowscover.com/";"+86 15530450768";"admin@jin-ao.net";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382590?stand=7C196";"CARBIDEPRO GLOBAL LTD";"http://www.carbideprotool.com/";"+86 18010612170";"sales@carbideprotool.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382519?stand=5C125";"CEBORA-РОССИЯ";"https://cebora.ru/";"8 800 222-9016";"info@cebora.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382474?stand=8F136";"CELETOGETHER MACHINERY (KUNSHAN) CO. LTD";"http://www.celetogether.com/";"+86 512-55000948";"Sales@celetogether.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382267?stand=15D212";"CHANGCHUN CHANGGUANG QIHENG SENSOR TECHNOLOGY CO. LTD";"http://www.encoders.com.cn/";"+86 43185543703";"sales@encoders.com.cn";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d045e-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/382469?stand=8D128";"CHANGCHUN RONGDE OPTICS CO. LTD";"http://www.roundss.cc/";"+86 13604323604";"Irisbao@roundss.com.cn";"Китай"
