Ссылка;Название;Сайт;Телефон;Email;Рубрики
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380692?&stand=7B180";"ANHUI HUANRUI HEATING MANUFACTURING CO. LTD";"http://www.chinaheatingcable.com/";"+86 55167709531";"gordon@heatcablemat.com";"Технологии обогрева процессов и системы использования возобновляемой энергии. Теплообменники. ORC-процессы и технологии Кабельная продукция"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380890?&stand=7D055";"APPLIED TECHNOLOGY CO. LTD OF SHENYANG AEROSPACE UNIVERSITY";"https://www.atcsau.com/";"+86 2486533742";"deng.yunhu@shyys.com";"Оборудование и аппаратура для геологических исследований Лабораторное оборудование и аналитические приборы, мебель. Передвижные лаборатории"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380941?&stand=7C094";"ARMTORG.RU (VESTNIK ARMATUROSTROITELYA JOURNAL)";"http://www.armtorg.ru/";"+7 (913) 219-0827";"armtorg10@yandex.ru";"СМИ"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380867?&stand=7A160";"CHENGDU MIKENSON FLOW CONTROLS MFG. CO. LTD";"http://www.mksvc.com.cn/";"+86 02885865613";"cdmks@mksvc.com.cn";"Резервуарное и прочее оборудование для хранения СПГ"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380488?&stand=7C150";"CHINA VIGOR DRILLING OIL TOOLS AND EQUIPMENT CO. LTD";"https://www.vigordrilling.com/";"+86 2981161513";"info@vigorpetroleum.com";"Определение наклона пластов по данным каротажа. Пластовые наклономеры Стабилизаторы, центраторы"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380893?&stand=7A180";"CHONGQING CHUANYI AUTOMATION CO. LTD";"http://www.cqcy.com/";"+86 2367032088";"cyinfo@cqcy.com";"Аппаратура для контроля и управления работой нефтедобывающих скважин. Телеизмерительные скважинные системы, системы управления насосными станциями Системы автоматики и телемеханики. Контрольно-измерительные приборы, регуляторы технологических процессов переработки нефти и газа"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380389?&stand=7D150";"DALGAKIRAN";"http://www.dalgakiran.ru/";"+7 (495) 668-5094";"info@dalgakiran.ru";"Компрессоры и насосы Насосы, клапаны и фильтры для очистки от примесей Компрессоры поршневые Топливные насосы высокого давления Центробежные насосы Газовые винтовые компрессоры Компрессорные станции Насосное, вентиляционное и компрессорное оборудование Компрессоры Поршневые компрессоры"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380527?&stand=7C125";"FOR PRO";"http://www.forpro.tech/";"+7 (383) 362-0064";"sales@forpro.tech";"Охрана труда и техника безопасности технологических процессов в нефтегазодобывающем и нефтегазоперерабатывающем комплексе Технологии и материалы для ремонта оборудования и трубопроводов Импортозамещение"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380932?&stand=7B080";"HENAN SHENZHOU PRECISION MANUFACTURING CO. LTD";"https://en.szft.com/";"+86 18637381086";"szft@szft.com";"Криогенные трубы, трубопроводы и вспомогательное оборудование Хранение, бункерование, трубопроводы"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380879?&stand=7B184";"HUANGSHAN RSP MANUFACTURING CO. LTD";"http://www.royalpump.com/";"+86 18005591456";"sales@rsppump.com";"Насосы прочие Технологические насосы и арматура"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380536?&stand=7D050";"JIANGSU OILWAY MACHINERY CO. LTD";"https://www.oil-way.com/";"+86 2169891289";"info@oil-way.com";"Шаровые краны под газ Технологические насосы и арматура"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380487?&stand=7C150";"JIANGYIN SOUTH STAINLESS STEEL PIPES CO. LTD";"http://en.southpipe.com/";"+86 51086501597";"guomengdan@southpipe.com";"Транспорт сырой нефти и газа на промыслах. Трубы и трубопроводная арматура промысловых трубопроводов. Насосы дожимные, компрессоры Оборудование и оснастка линейной части трубопроводов. Трубы, запорная арматура, компенсаторы"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/381071?&stand=7A150";"KOROSI SPECINDO";"https://www.neftegaz-expo.ru/";"";"";""
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380486?&stand=7C150";"LONGHUA TECHNOLOGY GROUP (LUOYANG) CO. LTD";"https://www.longhuazb.com/";"+86 37967891167";"sasha.chen@longhuaheattransfer.com";"Теплообменники, испарители, системы повторного охлаждения, сепараторы, фильтры Технологии обогрева процессов и системы использования возобновляемой энергии. Теплообменники. ORC-процессы и технологии"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380957?&stand=7B160";"PANJIN LIAOHE OILFIELD TIANYI PETROLEUM EQUIPMENT COMPANY LTD";"https://www.neftegaz-expo.ru/";"";"";""
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380693?&stand=7C098";"SHENYANG INDUSTRIAL PUMP MANUFACTURING CO. LTD";"http://www.shengongpumpgroup.com/";"+86 2425360066";"global@shengongpump.com";"Технологические насосы и арматура"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380385?&stand=7E125";"SHENZHEN KEEPER MATERIALS TECHNOLOGY CO. LTD";"https://www.neftegaz-expo.ru/";"";"";"Новые химические вещества и материалы, применяемые в нефтегазовой промышленности Технологии и материалы для ремонта оборудования и трубопроводов"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380535?&stand=7D051";"TAIYUAN TAIHANG DIRKSEN INTERNATIONAL TRADING CO. LTD";"http://www.dirksen.cn/";"+86 3517058194";"dirksen@vip.sina.com";"Измерительные приборы, расходомеры, сенсоры, управляющие устройства Запорно-регулирующая арматура"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380537?&stand=7C150";"TIANJIN JINGZHOU METAL PRODUCTS CO. LTD";"https://www.jingzhoumetal.com/";"+86 15320163118";"jing@jingzhoumetal.com";"Насосно-компрессорные трубы, устьевое и забойное оборудование добывающих скважин, фильтры Вспомогательное оборудование. Парогенераторы для очистки нефтедобывающего оборудования"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380878?&stand=7B188";"ZHEJIANG XBURS MEASUREMENT & CONTROL TECHNOLOGY CO. LTD";"http://www.xburs.com/";"+86 577 57765687";"sales@xburs.com";"Криогенные вентили, приводы и активаторы Оборудование и оснастка линейной части трубопроводов. Трубы, запорная арматура, компенсаторы"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380493?&stand=7C150";"ZHEJIANG ZHONGWU STEEL TUBE MFG. CO. LTD";"https://zhongwuguanye.com/";"+86 13505772156";"infochen@zhongwutube.com";"Оборудование и приспособления для очистки забоя при бурении ствола скважины. Буровые насосы, манифольды, шланги, вибросита, гидроциклоны, песко- и глиноотделители, шламоуловители, илоотделители, осадители, приемные емкости, центрифуги, дегазаторы бурового раствора"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380866?&stand=7A160";"ZIGONG TONGDA MACHINERY MANUFACTURING CO. LTD";"http://www.tdcng.com/";"+86 286600888";"tdjwl@163.com";"Оборудование для АГНКС Поршневые компрессоры"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380865?&stand=7A160";"ZIGONG ZIGAO VALVE CO. LTD";"http://www.zigao-valve.com/";"+86 08135355666";"1326406962@qq.com";"Шаровые краны под газ Запорно-регулирующая арматура"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380347?&stand=7E028";"АДОНИС НПП, АО";"https://promkat.ru/";"+7 (34241) 29795";"zakaz@promkat.ru";"Насосы, клапаны и фильтры для очистки от примесей Насосы и фильтры для очистки от примесей"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380919?&stand=7B100";"АЛСОАРМ, ООО";"http://alsoarm.ru/";"+7 (351) 247-11-47";"alsoarm@alsoarm.ru";""
