Ссылка;Название;Сайт;Телефон;Email;Рубрики
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380171?&stand=5B015";"ABSOLITE";"https://westburo.ru/";"+7 (495) 787-0102";"info@westburo.ru";"Электрическое оборудование. Промышленное освещение"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380964?&stand=5C020";"DELTA PROJECT";"https://project.warm-on.ru/";"+7 (495) 989-6661";"info@delta-project.pro";"Программное обеспечение Информационные технологии для инжиниринга"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380116?&stand=5A050";"EX102";"http://www.ex102.ru/";"+7 (3472) 662-212";"info@ex102.ru";"Электрическое оборудование. Промышленное освещение Быстросоединяемые соединения для любых сред Импортозамещение"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380420?&stand=5B110";"HUBEI WANAN ENVIRONMENTAL PETROCHEMICAL EQUIPMENT CO. LTD";"https://www.wanantec.com/";"+86 18907181157";"quxiong@hbwanan.com";"Опробование и испытание пластов. Испытатели пластов, пробоотборники Резервуары, резервуарные парки, резервуарное оборудование"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380407?&stand=5B120";"JINAN KAIXIANG PETROLEUM MACHINERY EQUIPMENT CO. LTD";"http://www.jnkx168.com/";"+86 18663746999";"Jnkx168@163.com";"Буровые установки Оборудование и приспособления для очистки забоя при бурении ствола скважины. Буровые насосы, манифольды, шланги, вибросита, гидроциклоны, песко- и глиноотделители, шламоуловители, илоотделители, осадители, приемные емкости, центрифуги, дегазаторы бурового раствора"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380418?&stand=5B115";"SHANDONG WINTECH TECHNOLOGY CO. LTD";"https://china-heatexchanger.net/";"+86 5337676898";"john.z@win-tech.cc";"Резервуары и емкости высокого давления Теплообменники, испарители, системы повторного охлаждения, сепараторы, фильтры"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380683?&stand=5E070";"TEMPSENS INSTRUMENTS (I) PVT. LTD";"https://tempsens.com/";"+919116554600";"sales@elnas.su";"Технологии обогрева процессов и системы использования возобновляемой энергии. Теплообменники. ORC-процессы и технологии Системы автоматики и телемеханики. Контрольно-измерительные приборы, регуляторы технологических процессов переработки нефти и газа"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380945?&stand=5B125";"UNIFLOW CONTROLS PVT. LTD";"https://www.neftegaz-expo.ru/";"";"";""
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380602?&stand=5C030";"VITZROCELL CO. LTD";"http://www.vitzrocell.com/";"+82 41-332-8642";"olegs@vitzrocell.com";"Методы, оборудование и аппаратура для геофизических исследований скважин Оборудование и технология наклонно-направленного бурения. Отклонители, забойные инклинометры"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0466-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/380532?&stand=5D010";"АГК, ООО";"https://agk-russia.ru/";"8 800 500-2305";"info@agk-russia.ru";"Электрическое оборудование. Промышленное освещение Мобильные парогенераторы, передвижные котельные"
