Ссылка;Название;Сайт;Телефон;Email;Страна
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383094?stand=4F050";"ABSOLITE";"http://www.absolutech.ru/";"+7 (495) 234-9888";"info@absolutech.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383272?stand=4E168";"ACRELE-BUSINESS (SHANGHAI) CO. LTD";"http://www.acrel-europe.com/";"+86 178 211 38 959";"lev@acrel.cn";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383010?stand=4C050";"AGIS PROFILE";"https://agisprofile.ru/";"+7 (906) 739-4837";"info@agisprofile.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383115?stand=3C080";"AK?? PLAST?K PROF ELEKTR?K SAN. VE T?C. LTD. ?T?.";"https://www.elektro-expo.ru/";"+90 02126714471";"murat@akisplastik.com.tr";"Турция"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383535?stand=3C050";"ANDELI";"http://www.andelielectric.ru/";"+7 (495) 995-3705";"info@andelielectric.ru";"Россия"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383107?stand=4E184";"AOKO GLOBAL LIMITED";"https://www.atawindow.ru/";"+86 13507315356";"rdxiao@outlook.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383097?stand=4B020";"ASIAON ELECTRIC CO. LTD";"http://www.chinarelay.com/";"+86 577 62770758";"relays3@chinarelay.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383100?stand=4D182";"BAOYU HOLDING CO. LTD";"https://www.cnbyg.com/";"+86 17815912430";"niki@cnbyg.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383095?stand=4F080";"BEISIT ELECTRIC TECH (HANGZHOU) CO. LTD";"https://www.beisitelectric.com/";"+86 13588277386";"bill@beisit.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383116?stand=4B090";"BEM?S TEKN?K ELEKTR?K A.?.";"https://www.elektro-expo.ru/";"+90 02243633065";"trade@bemis.com.tr";"Турция"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383614?stand=4E001";"?A?DA? PANO ELEKTR?K A.?.";"https://www.elektro-expo.ru/";"+90 03123944190";"info@cagdaspano.com.tr";"Турция"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383435?stand=4D120";"?ET?NKAYA PANO SAC TABLO VE PLAST?K SAN. T?C. A.?.";"https://www.elektro-expo.ru/";"+90 02122452212";"cetinkaya@cetinkayapano.com";"Турция"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383118?stand=3C170";"CHANGYOU TECHNOLOGY (ZHEJIANG) CO. LTD";"https://www.tongou.com/";"+86 15325075111";"vicky@tongou.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383251?stand=4C195";"CHAORUI ELECTRIC CO. LTD";"http://en.chaorui.cn/";"+86 18616145030, +86 17521675767";"atik@chaorui.cn";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383104?stand=4E182";"CHENGDU ALTAIR INTERNATIONAL TRADING CO. LTD";"http://www.cdnmc.com/";"+86 17378531420";"fengjingfj@live.com";"Китай"
"https://icatalog.expocentr.ru/ru/exhibitions/f33d0468-98f8-11ef-80ce-a0d3c1fab97f/exhibitors/383593?stand=4F210";"CHINA ZBB GROUP SHANGHAI TRANSFORMER CO. LTD";"http://www.zbbtransformer.com/";"+86 15900431111";"zbbshanghai@163.com";"Китай"
