Ссылка;Название;Сайт;Телефон;Email
"https://catalog.climatexpo.ru/companies/company/143599-calorflex.html";"CALORFLEX Group";"http://www.calorflex.eu";"+390422854673E-mail: info@calorflex.euАдрес: 31047, Италия, Loc.Negrisia, Ponte di Piave, via San Romano 29";"info@calorflex.eu"
"https://catalog.climatexpo.ru/companies/company/106050-doorhan.html";"DoorHan";"https://doorhan.ru";"8-495-933-24-00";"info@doorhan.ru"
"https://catalog.climatexpo.ru/companies/company/70881-errecom.html";"ERRECOM SPA";"https://www.errecom.com/en";"+39 030 9719096";"info@errecom.com"
"https://catalog.climatexpo.ru/companies/company/70977-frivent.html";"FRIVENT";"https://frivent.ru";"8 (495) 269-22-39";"order@frivent.msk.ru"
"https://catalog.climatexpo.ru/companies/company/106101-sps-kholod.html";"HANBELL";"http://www.hanbell.com";"0086-13918058534E-mail: gaomingming@hanbell.cnАдрес: Китай, No.8289,Tingfeng Road,Fengjing Area,Jinshan District,Shanghai";"gaomingming@hanbell.cn"
"https://catalog.climatexpo.ru/companies/company/108363-hicool-electronic-industries.html";"Hicool Электронная промышленность";"https://www.hicoolfans.com";"+919930843303E-mail: export@hicoolfans.comАдрес: 400710, Индия, Maharashtra, Navi Mumbai, Plot No A 104, TTC Industrial Area, MIDC Khairne, Navi Mumbai 400710, Maharashtra, India";"export@hicoolfans.com"
"https://catalog.climatexpo.ru/companies/company/107841-hilst.html";"HILST";"https://hilst.ru";"+7 (495) 989-40-46";"zakaz@hilst.ru"
"https://catalog.climatexpo.ru/companies/company/70929-hoogon.html";"HOOCON";"https://hoocon.ru";"8 800 350-58-98";"info@hoocon.ru"
"https://catalog.climatexpo.ru/companies/company/109460-profkholod.html";"PROFHOLOD";"https://profholod.ru";"+7 (800) 700-01-37";"info@profholod.ru"
"https://catalog.climatexpo.ru/companies/company/143587-inzhsistems-qair.html";"Qair";"http://q-air.ru";"7(495)055-72-55";"info@q-air.ru"
"https://catalog.climatexpo.ru/companies/company/144040-saldflux-srl-a-socio-unico.html";"SALDFLUX SRL";"";"";""
"https://catalog.climatexpo.ru/companies/company/107853-segnetics.html";"SEGNETICS";"http://segnetics.com";"+7 (812) 564-50-01";"sales@segnetics.com"
"https://catalog.climatexpo.ru/companies/company/70917-turkov.html";"TURKOV";"https://turkov.ru";"+74951912960";"info@turkov.ru"
"https://catalog.climatexpo.ru/companies/company/144043-uminex.html";"UMINEX";"http://uminex.by";"+375222640237";"uminex2004@mail.ru"
"https://catalog.climatexpo.ru/companies/company/71157-waer-ventilyatsionnyj-zavod.html";"WAER Вентиляционный завод";"https://waer-air.com";"8-800-707-51-11";"info@waer-air.com"
"https://catalog.climatexpo.ru/companies/company/144118-ooo-iip-avok-press.html";"АВОК";"https://www.abok.ru";"+7(495) 984-99-72";"abok@abok.ru"
"https://catalog.climatexpo.ru/companies/company/121340-acousticgroup.html";"Акустик Групп";"https://www.acoustic.ru";"8 (800) 222-08-77";"Yury.Marusev@acoustic.ru"
"https://catalog.climatexpo.ru/companies/company/143605-alarm-ooo.html";"АЛАРМ ООО";"https://paika.ru";"+79035841240";"alarmet92@gmail.com"
"https://catalog.climatexpo.ru/companies/company/107817-altera-klimat-33.html";"АЛЬТЕРА-КЛИМАТ 33";"http://www.textile-air.ru";"(4922) 32-74-74E-mail: alter@alt33.ruАдрес: 600000, Россия, Владимирская область, Владимир, г.Владимир, ул.Подбельского, д.1";"alter@alt33.ru"
"https://catalog.climatexpo.ru/companies/company/71175-alfa-kholod.html";"Альфа-Холод";"https://www.holodon.ru";"+7 (499) 7034820";"mos@holodon.ru"
"https://catalog.climatexpo.ru/companies/company/143569-alfakom-ooo-electrotherm.html";"Альфаком ООО";"https://electrotherm.ru";"+7 (812) 309-71-27";"mail@electrotherm.ru"
"https://catalog.climatexpo.ru/companies/company/144121-as-sz-tsentr-avok.html";"АС «СЗ Центр АВОК»";"";"";""
"https://catalog.climatexpo.ru/companies/company/106053-aerolajf.html";"АЭРОЛАЙФ";"https://airlife.ru";"74959232720";"info@airlife.ru"
"https://catalog.climatexpo.ru/companies/company/143551-natana-grupp-radojl.html";"Группа Компаний RADOIL";"https://radoil.ru";"+74951287065";""
"https://catalog.climatexpo.ru/companies/company/857-euroexpo.html";"ЕВРОЭКСПО";"https://www.euroexpo.ru";"+7 (495) 925-65 61";"info@euroexpo.ru"
"https://catalog.climatexpo.ru/companies/company/71142-zavod-rgp.html";"Завод RGP";"https://rgp-tech.ru";"7 (812) 237-31-71";"sales@rgp-tech.ru"
"https://catalog.climatexpo.ru/companies/company/144895-k-fleks.html";"К-ФЛЕКС";"";"";""
"https://catalog.climatexpo.ru/companies/company/143611-krasnogorskij-zavod-elektrodvigatel-ao.html";"Красногорский Завод Электродвигатель, АО";"http://www.krzed.ru";"8(83645) 6-93-57, 6-96-76, 6-95-66E-mail: motor@mari-el.ru, elektro.dvigatel@mail.ruАдрес: 425091, Россия, Республика Марий Эл, пгт. Красногорский, ул. Машиностроителей, 1";"motor@mari-el.ru"
"https://catalog.climatexpo.ru/companies/company/143578-magosta-grupp-ooo.html";"Магоста-Групп ООО";"https://magosta.by";"+7(495)19-19-320";"info@magosta.by"
"https://catalog.climatexpo.ru/companies/company/71127-markon-kholod.html";"Маркон-Холод";"https://marcon-kholod.ru";"+78126158035";"info@m-kh.ru"
"https://catalog.climatexpo.ru/companies/company/106065-mashdetal-plyus.html";"Машдеталь плюс";"http://www.tdmd.ru";"+79779702222";"info@tdmd.ru"
"https://catalog.climatexpo.ru/companies/company/144586-mogilevliftmash.html";"Могилевлифтмаш";"";"";""
"https://catalog.climatexpo.ru/companies/company/71124-mogilevliftmash.html";"Могилевлифтмаш, ОАО";"";"";""
"https://catalog.climatexpo.ru/companies/company/144901-moskovskij-politekh.html";"Московский Политех";"";"";""
"https://catalog.climatexpo.ru/companies/company/144028-nzvz-volgopromventilyatsiya-zao.html";"НЗВЗ ВОЛГОПРОМВЕНТИЛЯЦИЯ";"https://nzvz.ru";"+78463004493";"zao@nzvz.ru"
"https://catalog.climatexpo.ru/companies/company/71007-novye-inzhenernye-tekhnologii.html";"НОВЫЕ ИНЖЕНЕРНЫЕ ТЕХНОЛОГИИ";"https://in-new.ru";"+7 (495) 155-85-28";"info@in-new.ru"
"https://catalog.climatexpo.ru/companies/company/143557-novoks-ooo.html";"Общество с ограниченной ответственностью Новейшие Коммуникационные Системы";"https://novocs.ru/production";"+7 (84635) 6-55-09E-mail: info@novocs.ruАдрес: 446206, Россия, Самарская область, Новокуйбышевск, пр-кт Победы, д. 8";"info@novocs.ru"
"https://catalog.climatexpo.ru/companies/company/127314-onokom.html";"ОНОКОМ";"http://onokom.ru";"+78129555905";"info@onokom.ru"
"https://catalog.climatexpo.ru/companies/company/144214-nzmi.html";"ООО ""НЗМИ""";"https://nzmi.ru";"+7 (831) 215-47-36";"nzmi@nzmi.ru"
"https://catalog.climatexpo.ru/companies/company/144112-ooo-izdatelskij-dom-kholod.html";"ООО «Издательский дом «ХолодИнфо»";"https://www.holodinfo.ru";"+7 (925) 398 09 36";"holod@holodinfo.ru"
"https://catalog.climatexpo.ru/companies/company/144115-ooo-izdatelskij-dom-media-tekhnolodzhi.html";"ООО Издательский дом «МЕДИА ТЕХНОЛОДЖИ»";"";"";""
"https://catalog.climatexpo.ru/companies/company/144217-kibermetal.html";"ООО НПП КИБЕРМЕТАЛ";"https://vk.com/public229033509";"89272082358";"info@cybermetal.ru"
"https://catalog.climatexpo.ru/companies/company/144898-tekhnoseta.html";"ООО ТЕХНОСЭТА";"https://texnoseta.com";"+7 (800) 505-25-04";"msk@texnoseta.com"
"https://catalog.climatexpo.ru/companies/company/71109-oporaplast.html";"ОПОРАПЛАСТ";"https://oporaplast.ru";"+79995827112";"oporaplast2022@mail.ru"
"https://catalog.climatexpo.ru/companies/company/144037-ramenskij-priborostroitelnyj-zavod-ao.html";"Раменский приборостроительный завод, АО";"https://TIO.SALES";"+7 (495) 147-93-32";"TIO.SALES@RPZ.RU"
"https://catalog.climatexpo.ru/companies/company/106092-ridan-trejd.html";"Ридан";"http://ridan.ru";"+7 495 792 57 57";"info@ridan.ru"
"https://catalog.climatexpo.ru/companies/company/89508-rusgeokom-ooo.html";"РУСГЕОКОМ, ООО";"https://www.rusgeocom.ru";"8 (800) 505-35-98";"info@rusgeocom.ru"
"https://catalog.climatexpo.ru/companies/company/70923-russkie-mednye-truby.html";"Русские медные трубы";"https://www.coppertubes.ru";"8-800-333-77-29";"sale@coppertubes.ru"
"https://catalog.climatexpo.ru/companies/company/143590-sivervent.html";"Сивервент";"http://www.sivervent.ru";"+7 (499) 110-06-93";"info@sivervent.ru"
"https://catalog.climatexpo.ru/companies/company/143575-sovremennye-tekhnologii-rekuperatsii-ooo.html";"Современные Технологии Рекуперации";"https://rekuperation.ru";"+7 (495) 241-19-43";"sales@rekuperation.ru"
"https://catalog.climatexpo.ru/companies/company/143593-reflog-ooo-ruspromkholod-ooo.html";"ТД Русский Холод";"https://ruscold.com";"+7 (812) 3246308";"mail@ruscold.com"
"https://catalog.climatexpo.ru/companies/company/71070-teploobmennik.html";"ТЕПЛООБМЕННИК";"https://teploobmennik.expert";"+78005501659";"info@teploobmennik.expert"
"https://catalog.climatexpo.ru/companies/company/71169-tion.html";"ТИОН";"http://www.tion.ru";"+78005001964";"partner@tion.ru"
"https://catalog.climatexpo.ru/companies/company/70926-transkul.html";"ТРАНСКУЛ";"http://www.transcool.ru";"+74956204894";"info@transcool.ru"
"https://catalog.climatexpo.ru/companies/company/143614-trusov-aleksej-sergeevich-ip-sistemy-mikroklimata.html";"Трусов Алексей Сергеевич ИП (СИСТЕМЫ МИКРОКЛИМАТА)";"";"";""
"https://catalog.climatexpo.ru/companies/company/74253-delta-t-group.html";"УЛЬТРАЮВ";"https://www.deltatgroup.ru";"+74994445254";"dtg@mosvent.com"
"https://catalog.climatexpo.ru/companies/company/106122-f9.html";"Ф9";"https://f-9.su";"+79362156000";"info@f-9.su"
"https://catalog.climatexpo.ru/companies/company/143566-baltpromremservis-ooo-fabrika-filtrov-baltik.html";"Фабрика фильтров ""BaltiK.""";"https://www.bprs-company.ru";"+79218682302";"info@bprs-company.ru"
"https://catalog.climatexpo.ru/companies/company/71217-frigopojnt.html";"ФРИГОПОИНТ";"http://www.frigopoint.com";"+74722581158";"info@frigopoint.com"
"https://catalog.climatexpo.ru/companies/company/143602-khema-ooo-neman.html";"ХЕМА ООО/ НЕМАН";"http://hemah.pro";"";""
"https://catalog.climatexpo.ru/companies/company/70908-shegran.html";"ШЕГРАН";"https://shegran.ru";"+7 (965) 603-88-88";"office@shegran.ru"
"https://catalog.climatexpo.ru/companies/company/144031-ekorezina.html";"ЭкоРезина";"";"";""
"https://catalog.climatexpo.ru/companies/company/109580-ekofiks.html";"ЭКОФИКС";"https://ekofixengineering.ru";"+74996860759";"info@ekofix.ru"
