Ссылка;Название;Сайт;Телефон;Email
https://lk.textilexpo.ru/companies/company/145903-ooo-lenteks.html;ООО Лентекс;https://lentex.am;7494909595;info@lentex.am
https://lk.textilexpo.ru/companies/company/145666-shandong-aoshi-garments-co-ltd.html;Shandong Aoshi Garments Co., Ltd.;http://www.sd-aoshi.com;8105483588;sales06@aoshi-group.com
https://lk.textilexpo.ru/companies/company/145252-ooo-atb--tekstil.html;D.FABIO;http://dfabio.uz;8500501555;dfabio2026@gmail.com
https://lk.textilexpo.ru/companies/company/126622-home-textile-nt.html;NT HOLDING HOME TEXTILE;http://ntholding.uz;8962100022;textile2016@mail.ru
https://lk.textilexpo.ru/companies/company/145930-bahmal-group.html;BAHMAL GROUP;http://www.bahmal.uz;8999429424;marketing@bahmal.uz
https://lk.textilexpo.ru/companies/company/145882-alekswood.html;AleksWood;https://alekswood.ru;73812378209;info@alekswood.ru
https://lk.textilexpo.ru/companies/company/145543-ao-hrom.html;ХРОМ, АО;http://www.khrom.ru;74852450364;khrom@khrom.ru
https://lk.textilexpo.ru/companies/company/126235-transmetall.html;Трансметалл;https://www.transmetall.ru;74932353030;info@transmetall.ru
https://lk.textilexpo.ru/companies/company/145168-print-elit-ooo.html;Принт Элит, ООО;http://sign-in-russia.ru;74950201128;service@sign-in-russia.ru
https://lk.textilexpo.ru/companies/company/145765-ritopttorg-ooo.html;РитОптТорг, ООО;https://t.me/ritopttorg;74951280555;marketing@ritopttorg.com
https://lk.textilexpo.ru/companies/company/145915-ooo-foks-grupp.html;ООО ФОКС групп;https://osnovabrand.com;74952129011;sales@osnovabrand.com
https://lk.textilexpo.ru/companies/company/126838-aitera.html;Аитэра;http;74952233557;ast@5092778.ru
https://lk.textilexpo.ru/companies/company/145246-ooo-yusiemes-grupp.html;ЮСИЭМЭС Групп, ООО;https://www.ucmsgroup.ru;74952258739;info.ru@ucmsgroup.ru
https://lk.textilexpo.ru/companies/company/145900-rossijskij-soyuz-kozhevnikov-i-obuvschikov.html;Российский Союз Кожевников и Обувщиков;http://www.souzkogevnikov.ru;74952313105;rsko@rsko.org
https://lk.textilexpo.ru/companies/company/145621-komtens-trejding-ooo.html;Комтенс Трейдинг, ООО;https://comtense.ru;74952329394;mail11@comtense.ru
https://lk.textilexpo.ru/companies/company/124906-profeshn.html;ПРОфэшн;https://profashion.ru;74952560626;fair@profashion.ru
https://lk.textilexpo.ru/companies/company/145369-ooo-furteks-proizvodstvo-etiketok.html;Фуртекс производство этикеток, ООО;http://www.furteks.ru;74952589016;info@furteks.ru
https://lk.textilexpo.ru/companies/company/125590-legprom-revyu-zhurnal.html;Легпром ревю, журнал;https://legprom.review;74952801548;mikhail@shpilkin.ru
https://lk.textilexpo.ru/companies/company/126475-tekstil-impeks.html;ТЕКСТИЛЬ-ИМПЭКС;http://www.tekstil-impeks.ru;74953089889;textil-impex@yandex.ru
https://lk.textilexpo.ru/companies/company/144719-ooo-intra.html;ИНТРА, ООО;https://intraros-fibers.com;74955056776;intra@intraros.com
https://lk.textilexpo.ru/companies/company/123043-smart-t.html;Смарт-Т;http://www.smart-t.ru;74956639111;info@smart-t.ru
https://lk.textilexpo.ru/companies/company/126208-ao-pkf-velles.html;ВЕЛЛЕС, АО ПКФ;http://www.velles.ru;74956650556;sm@velles.ru
https://lk.textilexpo.ru/companies/company/125584-mediagruppa-publish-izdatelstvo-otkrytye-sistemy.html;"Медиагруппа Publish (Издательство ""Открытые системы"")";https://www.publish.ru;74957254780;publish@publish.ru
https://lk.textilexpo.ru/companies/company/145894-sertifikatsionnyj-tsentr-vernoe-reshenie.html;"Сертификационный центр ""Верное Решение""";https://sertifikaciya.ru;74957411156;info@vrcert.ru
https://lk.textilexpo.ru/companies/company/124135-galapoligraf.html;ГалаПолиграф;https://www.gala-poly.ru;74957770198;info@gala-poly.ru
https://lk.textilexpo.ru/companies/company/125113-avgust-borg.html;Август Борг;http://www.print-poisk.ru;74957870677;iac@augustborg.ru
https://lk.textilexpo.ru/companies/company/126628-ooo-market-plyus.html;МАРКЕТ ПЛЮС;http://www.mmtex.ru;74957986353;info@mmtex.ru
https://lk.textilexpo.ru/companies/company/145573-fgbou-vo-rossijskij-ekonomicheskij-universitet-imeni-gv-plehanova.html;ФГБОУ ВО «Российский экономический университет имени Г.В. Плеханова»;https://www.rea.ru;74958001200;sukhareva.kv@rea.ru
https://lk.textilexpo.ru/companies/company/127483-rgu-im-an-kosygina.html;РГУ им. А.Н. Косыгина;https://rguk.ru;74958110101;info@rguk.ru
https://lk.textilexpo.ru/companies/company/126556-buddemeyer-sa.html;Buddemeyer S/A;http://buddemeyer.ru;74959027515;bud-lux@inbox.ru
https://lk.textilexpo.ru/companies/company/124894-likata.html;Артефакт;https://artefakt-msk.com;74959213136;mail5708302@gmail.com
https://lk.textilexpo.ru/companies/company/126139-travers.html;"НПФ ""ТРАВЕРС""";https://www.travers.su;74959649868;tvv@travers.su
https://lk.textilexpo.ru/companies/company/123205-feya.html;ФЕЯ;https://minerva-market.ru;74959687268;oleg.sevryugin@minerva-sewing.ru
https://lk.textilexpo.ru/companies/company/126184-damskoe-schaste.html;Дамское счастье;http://www.argo-ds.ru;74959701836;ds@argo-ds.ru
https://lk.textilexpo.ru/companies/company/124501-kolori.html;КОЛОРИ;http://colorirus.ru;74992571260;ba-colori@mail.ru
https://lk.textilexpo.ru/companies/company/145486-ooo-kompozit-izdeliya.html;Композит-Изделия, ООО;https://vitafil.ru;74992816594;info@vitafil.ru
https://lk.textilexpo.ru/companies/company/145630-sportteks-ooo.html;Спорттекс, ООО;http://www.sporttex.ru;74993220953;sporttex@mail.ru
https://lk.textilexpo.ru/companies/company/123187-ofisnaya-poligrafiya-plyus.html;ОФИСНАЯ ПОЛИГРАФИЯ ПЛЮС;https://tehno-print.com;74993224224;info@tehno-print.com
https://lk.textilexpo.ru/companies/company/124603-uzkotton.html;Узкоттон;http://uzcotton.ru;74993437340;sale@uzcotton.ru
https://lk.textilexpo.ru/companies/company/123010-legkaya-promyshlennost-kurer--zhurnal.html;Легкая промышленность Курьер, журнал;http://lp-magazine.ru;78123809475;lp@lp-magazine.ru
https://lk.textilexpo.ru/companies/company/145897-hannekard-nord-vest.html;Ханнекард Норд-Вест;http://hannecard.com;78202596640;north-west@hannecard.com
https://lk.textilexpo.ru/companies/company/126568-ooo-surskij-kombinat-tehnicheskih-sukon.html;СУРСКИЙ КОМБИНАТ ТЕХНИЧЕСКИХ СУКОН;https://sktsworld.ru;78412297272;info@tdskts.ru
https://lk.textilexpo.ru/companies/company/145321-nefertiti-factory-ooo.html;NEFERTITI FACTORY, ООО;http://nf-textile.ru;79030615907;tch.ahmetzyanova@yandex.ru
https://lk.textilexpo.ru/companies/company/145927-assotsiatsiya-tekstilschikov-rossii-nko.html;Ассоциация Текстильщиков России, НКО;https://at-rus.com;79032340817;info@at-rus.com
