Ссылка;Название;Сайт;Телефон;Email
"https://upakexpo-online.ru/companies/company/27760-armeks.html";"1C:Полиграфия";"http://www.1cpoly.ru";"+74955850659";"info@armex.ru"
"https://upakexpo-online.ru/companies/company/23276-avgust-borg-ooo.html";"Август Борг, ООО";"http://www.print-poisk.ru";"+7(495)787-06-77";"iac@augustborg.ru"
"https://upakexpo-online.ru/companies/company/38134-avtoliuks-pko.html";"АВТОЛЮКС-ПКО";"http://www.autoluxe.org";"+79159587393";"b2b@autoluxe.org"
"https://upakexpo-online.ru/companies/company/18457-advans-plastik-inzhiniring-ooo.html";"Адванс Пластик Инжиниринг, ООО";"http://www.ape-ru.com";"+7 903 130 15 59";"office@ape-ru.com"
"https://upakexpo-online.ru/companies/company/18442-aleko-mashineri-ooo.html";"Алеко, ГК";"https://www.polimerexpert.ru";"+7(800)250-72-22";"info@polimerexpert.ru"
"https://upakexpo-online.ru/companies/company/37818-angara.html";"Ангара";"https://www.angara.su";"+7(495) 461-62-37";"info@angara.su"
"https://upakexpo-online.ru/companies/company/31772-kompaniia-aprel-ooo.html";"Апрель, ООО";"https://www.april-plast.ru";"+7(383)383-05-41";"info@april-plast.ru"
"https://upakexpo-online.ru/companies/company/18430-arton-pechatnyj-dom.html";"АРТОН, печатный дом";"http://artonsib.ru";"+7 383 262 02 04";"artoninfo@yandex.ru"
"https://upakexpo-online.ru/companies/company/37804-asap-fud-ekvipment.html";"АСАП ФУД ЭКВИПМЕНТ";"http://www.asap-fe.com";"+7 812 363 47 70";"assistant@asap-fe.com"
"https://upakexpo-online.ru/companies/company/34599-associaciia-popai-russia.html";"Ассоциация Popai Russia";"";"";""
"https://upakexpo-online.ru/companies/company/22892-assotsiatsiya-tekhnicheskikh-universitetov.html";"Ассоциация технических университетов";"http://atuniversities.ru";"+7(495)632-29-90";"ntbmstu@mail.ru"
"https://upakexpo-online.ru/companies/company/17845-balitekh-ooo.html";"Балитех";"http://www.baliteh.ru";"+7(495)980-23-69";"baliteh@baliteh.ru"
"https://upakexpo-online.ru/companies/company/37055-berg-mold.html";"Берг Молд, ООО";"https://bergplast.ru";"+7(499)707-13-07";"info@bergplast.ru"
"https://upakexpo-online.ru/companies/company/37816-xoziaistvennoe-obshhestvo-berzenni-melxemi.html";"Берзенни мелхеми, Хозяйственное общество";"http://www.berzenni.com";"+99363721242";"tolkunbags@gmail.com"
"https://upakexpo-online.ru/companies/company/37790-bumaznyi-dom.html";"Бумажный дом";"https://yandex.ru";"+7 921 964 64 24";"vlaks13@yandex.ru"
"https://upakexpo-online.ru/companies/company/17950-valentina-pak-ooo.html";"ВАЛЕНТИНА ПАК, ООО";"http://www.v-pak.ru";"+79037554173";"007@v-pak.ru"
"https://upakexpo-online.ru/companies/company/32669-valmo.html";"Вальмо";"http://www.walmo.co/ru";"+86 0573-82580099";"mudan.xuan@valmo.com.cn"
"https://upakexpo-online.ru/companies/company/23699-vellplast-ooo.html";"Веллпласт";"http";"+7(916)737-96-00";"novater@novater.ru"
"https://upakexpo-online.ru/companies/company/32660-velltex-ooo.html";"Веллтех, ООО";"https://www.herotechchiller.com";"+7(495)740-12-08";"rus@herotechchiller.com"
"https://upakexpo-online.ru/companies/company/37628-logis-ooo.html";"Вестхим, ГК";"http://www.vesthim.ru";"+7 953 379 39 30";"ved@vesthim.ru"
"https://upakexpo-online.ru/companies/company/37785-vizion.html";"Визион";"http://www.visionrussia.ru";"+7(495) -970-45-23";"vision-moscow@mail.ru"
