Ссылка;Название;Сайт;Телефон;Email;Страна
"https://mc-expo.ru/ru/exhibition/25/2603";"Аддитивные Технологии";"https://additiv-tech.ru/";"+7 (499) 559-99-98";"info@additiv-tech.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2604";"АйСиМет";"https://icmet.ru/";"+7 (916) 535-28-85";"info@icmet.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2605";"АКМЕ";"https://iwww.acmefurnace.ru/";"+86 (731) 829-61-388, +7 (926) 065-83-15";"";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2606";"Аладдин Материалс";"https://www.helloaladdin.com/";"+86 (181) 322-60-019";"aladdin@aldfiber.com";"China"
"https://mc-expo.ru/ru/exhibition/25/2803";"АРМАДА ГРУПП";"https://armapro.ru/";"+7 (3513)26-46-21";"zakaz@armapro.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2607";"Армторг";"https://armtorg.ru/";"+7 (913) 219-08-27";"armtorg.10@yandex.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2801";"АРС-Пром";"https://arsprom.ru/";"+7 (3452) 68-80-25";"Istk@arsprom.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2804";"Ассоциация Промметиз";"https://www.asmetiz.ru/";"+7 (495) 926-30-51";"vedmarket@prommetiz.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2608";"Ассоциация развития стального строительства";"https://www.steel-development.ru/";"+7 (495) 744-02-63";"info@steel-development.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2609";"Бизнес России";"https://glavportal.com/";"+7 (343) 237-25-45";"info@glavportal.com";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2610";"Вестник Промышленности, Бизнеса и Финансов";"https://www.vestnikprom.ru/";"+7 (495) 645-56-91";"info@westnik.su";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2611";"ВИДАН Экологические и Энергетические Технологии";"https://www.wedonecorp.com/";"+86 (215) 835-66-25";"info@wedonethermo.com";"China"
"https://mc-expo.ru/ru/exhibition/25/2612";"Вэйхай Хаою Металл Продактс";"https://www.whhyjs.com/";"+86 (132) 563-05-579";"bossyu@whhyis.com";"China"
"https://mc-expo.ru/ru/exhibition/25/2613";"Газовая промышленность, журнал";"https://neftegas.info/";"+7 (495) 240-54-57";"info@neftegas.info";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2614";"Ганза ТГ";"https://hansatg.com/";"+7 (495) 077-85-01, 077-85-33";"expo@hansatg.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2615";"Гидротехника, журнал";"https://hydroteh.ru/";"+7 (812) 570-78-03";"nk@portnews.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2616";"Даляньская компания ФД тяжёло-промышленного машиностроения";"http://www.fdmachinery.com/";"+86 (135) 007-33-254";"gaoyunan@fdmachinery.cn";"China"
"https://mc-expo.ru/ru/exhibition/25/2617";"Деловая Россия, журнал";"https://www.delruss.ru/";"+7 (343) 237-23-74";"press@delruss.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2618";"Депо";"https://depo-magazine.com/";"+7 (980) 187-10-55";"post@depo-magazine.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2805";"Е-Металл";"https://www.e-metall.ru/";"8-800-302-09-40";"info@e-metall.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2806";"Казанские Стальные Профили";"http://www.stalprof.ru/";"+7 (843) 241-03-03, 222-29-45, 250-96-40, 217-03-03";"info@stalprof.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2620";"Камелот Паблишинг";"https://neftegas.info/";"+7 (495) 240-54-57";"info@neftegas.info";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2621";"Компания, деловой журнал";"https://ko.ru/";"+7 (495) 149-02-00";"info@ko.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2623";"Композит XXI век";"https://www.stroymat21.ru/";"+7 (495) 231-44-55";"info@stroymat21.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2624";"Краснодарский завод металлоконструкций";"http://www.ooo-kzm.ru/";"+7 (861) 203-03-02";"office@ooo-kzm.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2625";"Крепеж, клеи, инструмент и …";"https://www.fastinfo.ru/";"+7 (812) 699-98-34";"info@fastinfo.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2626";"Кровельные и Изоляционные Материалы";"https://www.kompozit21.ru/";"+7 (495) 231-44-55";"info@stroymat21.ru";"Россия"
"https://mc-expo.ru/ru/exhibition/25/2627";"Липецк Профиль";"https://lipetsk-profil.ru/";"+7 (4742) 55-95-96";"info@lipetsk-profil.ru";"Россия"
