Ссылка;Название;Сайт;Телефон;Email;Страна
https://metallurgy-russia.ru/ru/exhibition/16/8568;АВП ЗИАС Машинери;https://zias-machinery.ru/;7 (495) 970-88-92;bprint@zias-machinery.com;Россия
https://metallurgy-russia.ru/ru/exhibition/16/8035;Аддитивные Технологии;https://additiv-tech.ru/;7 (499) 559-99-98;info@additiv-tech.ru;Россия
https://metallurgy-russia.ru/ru/exhibition/16/11560;Аис МАШИНОСТРОИТЕЛЬНОЕ ОБОРУДОВАНИЕ;http://www.aismachinery.com/;86 (151) 769-102-62;linda@aismachinery.com;China
https://metallurgy-russia.ru/ru/exhibition/16/8036;Ай 3Д;https://www.i3d.ru/;7 (495) 108-60-68;3d@i3d.ru;Россия
https://metallurgy-russia.ru/ru/exhibition/16/11561;Айекс Энд Тернер;https://www.ajexturner.com/;91 (729) 002-80-20;sales@ajexturner.com;India
https://metallurgy-russia.ru/ru/exhibition/16/11562;Акар Текнолоджик Системлер;https://www.acarteknolojik.com/;90 (262) 365-20-01;koray.a@acarteknolojik.com;Turkey
https://metallurgy-russia.ru/ru/exhibition/16/11563;Акме;;86 (731) 829-61-388;;China
https://metallurgy-russia.ru/ru/exhibition/16/11564;Акор Макина;https://www.akormakina.com/;90 (553) 706-55-40;info@akormakina.com;Turkey
https://metallurgy-russia.ru/ru/exhibition/16/8041;АКС, Завод;https://www.aksspb.com/;7 (812) 324-85-55, 324-85-50;mail@zavodaks.com;Россия
https://metallurgy-russia.ru/ru/exhibition/16/11565;Аллайд Минерал Продактс;http://www.alliedmineral.com/ru;7 (855) 575-26-07;russia@alliedmin.com;Россия
https://metallurgy-russia.ru/ru/exhibition/16/8043;Аньхой Синлайхай Технолоджи;http://www.xinlanhai-sh.com/er;86 (021) 685-96-028;houshuting@xinlanhai-sh.com;China
https://metallurgy-russia.ru/ru/exhibition/16/8044;Аошуньчан Суперсплав (Цзянси);https://www.jxbsc-alloy.com/;86 (79) 066-68-511;bsc.sales@bsc-alloy.com;China
https://metallurgy-russia.ru/ru/exhibition/16/11566;Ассомак Машинс;https://www.assomac.in/;91 (981) 007-59-65;nirmalsingh@assomac.in;India
https://metallurgy-russia.ru/ru/exhibition/16/8046;Ассоциация Литейщиков Китая;https://www.foundry.org.cn/;86 (10) 684-18-899;niefei@foundry.com.cn;China
https://metallurgy-russia.ru/ru/exhibition/16/8047;Баодин Кунцзы Импорт и Экспорт Трейдинг;https://www.ningxin.cn/;86 (152) 101-93-368;evelyn@bdningxin.com.cn;China
https://metallurgy-russia.ru/ru/exhibition/16/11567;Баоксинг Стил;http://www.baoxing-steel.com/;86 (532) 828-688-99;admin@baoxing-steel.com;China
https://metallurgy-russia.ru/ru/exhibition/16/8753;БВБ-Альянс-Приволжье;https://bvb-alyans.ru/;7(929)053-27-32;byi@bvb-alyans.ru;Россия
https://metallurgy-russia.ru/ru/exhibition/16/8048;БЕЛНИИЛИТ;https://www.belniilit.by/;375 (17) 394-08-22;belniilit@belniilit.by;Беларусь
https://metallurgy-russia.ru/ru/exhibition/16/11568;Берканд Макина;https://www.berkandmakina.com.tr/;90 (258) 251-25-82;info@berkandmakina.com.tr;Turkey
https://metallurgy-russia.ru/ru/exhibition/16/11569;Бизед Зели Пресижен;https://www.en.zeliprecisionmetal.com/;86 (543) 636-05-71;ethan@zeliprecisionmetal.com;China
https://metallurgy-russia.ru/ru/exhibition/16/8051;Бизнес России;https://glavportal.com/;7 (343) 237-25-45;info@glavportal.com;Россия
https://metallurgy-russia.ru/ru/exhibition/16/11570;Бую Металл Продактс;http://www.boouco.com/;86 (311) 828-935-96;info@boouco.com;
https://metallurgy-russia.ru/ru/exhibition/16/8052;Бэнбу Лунхуа Дай Кастинг Машин;https://www.longhuamachine.com/;86 (552) 402-00-06;info@longhuamachine.com;China
