Ссылка;Название;Сайт;Телефон;Email;Страна
"https://metallurgy-russia.ru/ru/exhibition/18/11993";"АБМ";"";"+7 (921) 847-78-77";"ruslan.guzik@eurotechlit.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12519";"Авиаль";"http://www.zavodavial.ru/";"+7 (495) 953-63-97";"kontakt@gefestmetal.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/11994";"Аддитивные Технологии";"https://additiv-tech.ru/";"+7 (499) 559-99-98";"info@additiv-tech.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/11995";"Ай 3Д";"https://i3d.ru/";"+7 (495) 108-60-68";"3d@i3d.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12520";"Акар Текнолоджик Системлер";"https://www.acarteknolojik.com/";"+90 (262) 365-20-01";"info@acarteknolojik.com";"Turkey"
"https://metallurgy-russia.ru/ru/exhibition/18/11997";"АКМЕ";"https://www.acmefurnace.ru/";"+86 (731) 829-61-388, +7 (926) 065-83-15";"";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12521";"Акор Макина";"https://www.akormakina.com/";"+90 (553) 706-55-40";"info@akormakina.com";"Turkey"
"https://metallurgy-russia.ru/ru/exhibition/18/11999";"Аладдин Материалс";"https://www.helloaladdin.com/";"+86 (181) 322-60-019";"aladdin@aldfiber.com";"China"
"https://metallurgy-russia.ru/ru/exhibition/18/12522";"Аллайд Минерал Продактс";"https://www.alliedrussia.com/";"+7 (855) 575-26-07";"russia@alliedmin.com";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12001";"АЛЬФА-МЕТАЛЛ, ПО";"http://www.alfametal.ru/";"+7 (3439) 37-92-22, +7 (495) 564-88-14";"rezka@alfametal.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12002";"Аньхой Лунчжу Шангун Электромеханика";"https://www.longprecisioncast.com/";"+86 (130) 934-13-666";"jessie@longzhucasting.com";"China"
"https://metallurgy-russia.ru/ru/exhibition/18/12003";"АРИОН";"https://ari-on.ru/";"+7 (831) 434-96-41";"info@ari-on.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12004";"Армторг";"https://armtorg.ru/";"+7 (913) 219-08-27";"armtorg.10@yandex.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12523";"Ассомак Машинс";"https://www.assomac.in/";"+91 (981) 007-59-65";"nirmalsingh@assomac.in";"India"
"https://metallurgy-russia.ru/ru/exhibition/18/12362";"Ашапура Интернешенл Лимитед";"https://www.ashapura.com/";"+91 (842) 284-41-76";"amita.khandagale@ashapura.com";""
"https://metallurgy-russia.ru/ru/exhibition/18/12006";"Балашейские пески";"https://www.balasheiskie-peski.ru/";"+7 (8464) 93-33-42, 93-33-73";"bp@qgwvostok.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12524";"Баоган Стил Юнион";"https://www.bgtsc.com/";"+86 (152) 454-43-033";"bg01@bgtsc.com";"China"
"https://metallurgy-russia.ru/ru/exhibition/18/12008";"Баодин Кунцзе Импорт и Экспорт Торговая Компания";"https://www.ningxin.cn/";"+86 (152) 101-93-368";"evelyn@bdningxin.com.cn";"China"
"https://metallurgy-russia.ru/ru/exhibition/18/12009";"БЕЛНИИЛИТ";"https://www.belniilit.by/";"+375 (17) 394-08-22";"belniilit@belniilit.by";"Беларусь"
"https://metallurgy-russia.ru/ru/exhibition/18/12010";"Бизнес России";"https://glavportal.com/";"+7 (343) 237-25-45";"info@glavportal.com";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12525";"Бэйлунь Нинхэн Молд";"https://www.nb-nh.com/";"+86 (180) 675-90-981";"bcs@nb-nh.com";"China"
"https://metallurgy-russia.ru/ru/exhibition/18/12012";"Вестник Промышленности, Бизнеса и Финансов";"https://www.vestnikprom.ru/";"+7 (495) 645-56-91";"info@westnik.su";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12013";"Вил Бласт Технолоджи";"https://www.rusblast.com/";"+7 (343) 243-58-69";"info@rusblast.com";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12526";"Виндус";"http://www.windusgroup.com/";"+86 (137) 534-97-387";"jack.lu@windusgroup.com";""
"https://metallurgy-russia.ru/ru/exhibition/18/12366";"Винкаст";"https://www.wincast.net/";"+86 (175) 689-13-999";"hengmeijiso@wincast.net";"China"
"https://metallurgy-russia.ru/ru/exhibition/18/12367";"Влц Инструмент";"https://www.volochenie.ru/";"+7 (987) 346-76-37";"welcome@volochenie.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12368";"Вмг Металл";"https://www.vmg-metal.ru/";"+7 (495) 411-61-18";"s@vmg.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12018";"ВолгаСтальПроект";"https://www.vspnn.ru/";"+7 (831) 274-57-41";"info@vspnn.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12019";"Вэйфан Кайлонг Машинери";"https://www.klmachinery.com/";"+86 (156) 102-08-072";"";"China"
"https://metallurgy-russia.ru/ru/exhibition/18/12020";"Газовая промышленность, журнал";"https://neftegas.info/";"+7 (495) 240-54-57";"info@neftegas.info";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12527";"Гамма, ОКБ";"https://www.okb-gamma.ru/";"+7 (495) 989-66-86";"info@okb-gamma.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12370";"Ганчжицзе Матириалс";"https://www.sdgzj.com/";"+86 (139) 064-90-002";"";"China"
"https://metallurgy-russia.ru/ru/exhibition/18/12468";"Гейли Машинери";"https://www.geilimachinery.com/";"+86 (135) 458-25-384";"geili@geilijx.cn";"China"
"https://metallurgy-russia.ru/ru/exhibition/18/12023";"Гидротехника, журнал";"https://hydroteh.ru/";"+7 (812) 570-78-03";"nk@portnews.ru";"Россия"
"https://metallurgy-russia.ru/ru/exhibition/18/12528";"Гонин Хэви Индастри";"https://www.gnepc.com/";"+86 (186) 311-32-318";"hbgnzg_cn@163.com";"China"
