Ссылка;Название;Сайт;Телефон;Email;Страна
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8e02b63aa2ec916701fb6";"AAB(CHINA)CO.,LTD";"https://www.aab.com";"+059522980980";"sales@aab.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aab31ee9a2cb09aad44cd2";"AEROFA AEROSOL";"https://www.aerofa.com.tr";"+90 533 141 42 67";"ecenur@aerofa.com.tr";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aa9bace9a2cb09aad43f20";"Alliance World Manufacturing India & Indonesia";"https://www.allianceworldmanufacturing.com";"+91 98333 13141";"Jose.mathew@alliance-world.com";"IND"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aab35fe9a2cb09aad44d16";"ANTHEMIS COSMETICS";"https://www.anthemiscosmetics.com";"+90 532 135 91 70";"export@anthemiscosmetics.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69a572565f1ce8ae7c3eb4ab";"BANKA HOME";"https://banka-home.ru";"+7 911 147 42 08";"sales@banka-home.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aabf1ce9a2cb09aad4556e";"BEAUTYISTANBUL EXHIBITION";"https://www.beauty-istanbul.com";"+90 533 484 30 30";"info@beauty-istanbul.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985c893259a9c284b7c7bf6";"BELOR DESIGN контрактное производство декоративной косметики";"https://proizvodstvo-kosmetiki.belordesign.by/";"+375 29 161 80 68";"privatelabel@belordesign.by";"BLR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69a573245f1ce8ae7c3eb56c";"Biohaus";"https://www.rd-bioti.com/";"+7 915 431 78 40";"maria.kku@yandex.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985ca20259a9c284b7c7e54";"BRAI GRAN";"https://braigranb2b.ru/";"+7 999 895 89 69";"bg@braigran.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69848c99259a9c284b7bbf6d";"CARELY";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69b921c438bf0128037ad5a2";"CHANGZHOU FRESHDAY HOUSEHOLD PRODUCTS CORP.LTD.";"https://www.freshday.com.cn/";"+86 137 7687 2390";"monica@freshday.com.cn ,stevehu@freshday.com.cn";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69cf80fe63aa2ec916682b43";"ChaYin";"https://chayin.ru/";"+7 903 527 15 98";"chayinyin@yandex.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bd3df094c379668b318802";"CORAL HEALTHCARE PRODUCTS MANUFACTURER CO., LTD.";"";"+86 158 5288 8926";"michael@coralclean.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69ce7bcc63aa2ec91667c294";"DIORA CHEMICAL";"https://www.diorakimya.com";"+90 532 680 57 22";"elif@diorakimya.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69ae3d5106871b457c8c6ddb";"EASY DISPOSABLE HYGIENIC SUPPLIES LTD.";"https://www.easyhygienic.com/";"+86 135 5564 2524";"sales1@easyhygienic.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aa9b74e9a2cb09aad43f00";"Epack Durable";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aabf99e9a2cb09aad455f0";"EZEL COSMETICS IMPORT AND EXPORT TRADE AND INDUSTRY JOINT STOCK COMPANY";"https://www.dermokil.com.tr";"+90 530 341 47 58";"oksana.ribalco@dermokil.com.tr";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69b12657c5dc95a2c90aee61";"Fujian Time And Tianhe Industrial Co., Ltd.";"https://www.fjtianhe.com";"+86 158 0596 3352";"thgm@fjtianhe.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8f4f063aa2ec916704907";"FUJIAN ZHONGLIN CHILDREN AND WOMEN SUPPLIES CO.,LTD";"https://morepurecare.com/";"+86 135 0605 9990";"info@morepurecare.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6981ee3c259a9c284b771a4c";"GreenEra";"https://www.green-era.ru";"+7 952 350 35 24";"vopros@green-era.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69834147259a9c284b79dc1d";"GSS COSMETIC";"https://gsscosmetics.com/";"+7 800 333 48 41";"info@gssprivatelabel.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8ee4f63aa2ec916703e5e";"Guangdong Primum Fine Foods Co., Ltd.";"https://www.swlpfood.com";"+86 199 0289 1799";"LYRIC@GDSWLP.CN";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8e8f963aa2ec9167030ea";"Guangxi Shuya HEALTH CARE-PRODUCTS Co., Ltd.";"https://www.shuyacare.net";"+86";"sales3@shuya-china.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69a571265f1ce8ae7c3eb37e";"Guten Morgen";"https://guten-morgen.store/";"+7 930 698 38 88";"sales@guten-morgen.store";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bd201794c379668b31792e";"HANBIT Flavor & Fragrance Korea";"https://hffaroma.ru/";"+7 968 946 26 67";"sales@hffaroma.ru";"KOR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8f26f63aa2ec916704627";"Haward Razor";"https://www.hawardrazor.com";"+86 150 5843 3682";"sunny@hawardcare.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69848b7a259a9c284b7bbda1";"HIGEN WIPES";"https://www.higen.ru/";"+7 495 663 90 99";"info@higenwipes.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aa9b23e9a2cb09aad43e99";"HNCO Group India";"https://www.hncoorganics.com/";"+91 90816 09797";"sahil.brahmbhatt@herbsandcrops.in";"IND"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69cf8c1963aa2ec916683534";"IQ Cosmetic";"https://www.iq-cosmetic.ru";"+7 499 702 31 72";"sales@iq-cosmetic.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8f04c63aa2ec91670428d";"JIANGMEN CITY XINHUI HENGLONG INNOVATIVE HOUSEWARES CO. LTD.";"https://WWW.HENGLONGPLASTIC.COM";"+86 136 8047 7090";"INFO12@HENGLONGPLASTIC.COM";"CHN"
