Ссылка;Название;Сайт;Телефон;Email;Страна;Стенд;Адрес
"https://vodexpo.ru/katalog/tproduct/514362613-417288960682-lit-npo";"ЛИТ, НПО";"https://www.lit-uv.ru/";"8 800 100 61 75 по России бесплатно; 8 495 197-76-58";"lit@lit-uv.ru";"";"Р3";"141701, Московская область, г. Долгопрудный, Лихачевский проезд, 25"
"https://vodexpo.ru/katalog/tproduct/514362613-718550486212-mosvodokanal-ao";"МОСВОДОКАНАЛ, АО";"https://www.mosvodokanal.ru/";"8 (499) 763-34-34";"post@mosvodokanal.ru";"";"Р2";"105005 Москва Плетешковский переулок 2"
"https://vodexpo.ru/katalog/tproduct/514362613-450443935742-vodokanal-sankt-peterburga-gup";"ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА, ГУП";"https://www.vodokanal.spb.ru/";"8 (812) 305-09-09";"info@vodokanal.spb.ru";"";"Р4";""
"https://vodexpo.ru/katalog/tproduct/514362613-480258763052-gruppa-poliplastik";"ГРУППА ПОЛИПЛАСТИК";"https://www.polyplastic.ru/";"8 (495) 745-68-57";"info@polyplastic.ru";"";"Р13";"119530, г. Москва, Очаковское шоссе, д. 18, стр. 3"
"https://vodexpo.ru/katalog/tproduct/514362613-331362687672-energiya-ao";"ЭНЕРГИЯ, АО";"https://dendor.ru/";"8 812 640 30 30";"office@dendor.ru";"";"D1";"188514, Россия, Ленинградская область, Глядино"
"https://vodexpo.ru/katalog/tproduct/514362613-197988285352-grinlaif-fektori-ooo";"ГРИНЛАЙФ ФЭКТОРИ, ООО";"https://glfactory.ru/";"+7 (495) 419-20-97";"info@glfactory.ru";"";"P11";"119192, Москва, Мичуринский проспект, д.11, корп. 2"
"https://vodexpo.ru/katalog/tproduct/514362613-100163429632-everlain";"ЭВЕРЛАЙН";"https://ever-line.ru";"+7 (495) 150-01-32";"info@ever-line.ru";"";"P6";"Московская обл, г.о. Солнечногорск, д. Ложки, тер. Индустриальный парк Есипово, стр. 8"
"https://vodexpo.ru/katalog/tproduct/514362613-641483811932-kei-kyu-ooo";"КЕЙ КЬЮ, ООО";"https://kq.com.ru/";"8 800 333-66-66; 8 (495) 183-88-83";"RUSSIA@KAIQUAN.COM.CN";"";"P12";"123592, г. Москва, ул. Кулакова, д.20, стр. 1"
"https://vodexpo.ru/katalog/tproduct/514362613-972274037162-immid-ooo";"ИММИД, ООО";"https://www.immid.ru";"8 (800) 200-56-01";"info@immid.ru";"";"P10";"г. Вологда, ул. Промышленная, 10"
"https://vodexpo.ru/katalog/tproduct/514362613-733795147112-rgk-gruppa-kompanii";"РГК, ГРУППА КОМПАНИЙ";"https://www.rgk-group.ru/";"8 843 590-07-00";"info@rgk-group.ru";"";"P5";"Казань, Оренбургский тракт, 24а"
"https://vodexpo.ru/katalog/tproduct/514362613-151196077812-ekoton-ooo-npf";"ЭКОТОН, ООО НПФ";"https://ekoton-service.ru/";"(4722) 40-08-89";"bel-zavod@ekoton-service.ru";"";"P9";"308009 Россия, г. Белгород, ул. Княза Трубецкого, 40"
"https://vodexpo.ru/katalog/tproduct/514362613-123616832142-lainertek-ooo";"ЛАЙНЕРТЕК, ООО";"https://linertec.ru/";"+7 (343) 319-12-19";"info@linertec.com";"";"P8";"620026, г.Екатеринбург, 83 оф.801"
"https://vodexpo.ru/katalog/tproduct/514362613-640522757312-haus-rus-nao";"ХАУС РУС, НАО";"http://www.hauscentrifuge.ru/";"+7 (495) 575 3424 / 8 800 500 7517";"moscow@hauscentrifuge.ru";"";"P1";"141402, Московская обл., г. Химки, Вашутинское ш. 24Б, офис 50"
