Ссылка;Название;Сайт;Телефон;Email
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"VinnerMyer";"www.vinnermyer.ru";"";"order@vinnermyer.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"SPI robotics";"www.pudurobots.ru/cleaning";"";"Welcome@pudurobots.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Архбум тиссью групп, ООО";"arh-tissue.ru";"";"info@arh-tissue.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"GLOBAL DISTRIBUTION";"fmcg.global";"";"sale@fmcg.global"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"МОБАЙЛ КЛИНИНГ";"www.mobilecleaning.ru";"";"mobile_cleaning@bk.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Ореолсервис, ООО";"pkoreol.ru";"";"info@pkoreol.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"ThroneBaron";"thronebaron.com";"";"info@webcitrus.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"БРИЗ";"www.breez-ltd.ru; www.machineclean.ru";"";"info@machineclean.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"ДЕЗОН, ООО";"www.dezon.pro";"";"info@dezon.pro"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"ПАУЭРКОНЦЕПТ";"www.powerconcept.ru";"";"info@powerconcept.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"AVETEX";"www.avetex.ru";"";"Karina.Tarasyan@avetex.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"КЛИНПАРТ";"www.cleanpart.ru";"";"cleanpart@mail.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Летэк, ООО";"le-tech.ru";"";"info@le-tech.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"ГАРАНТ НПО, АО";"garant1.ru";"";"2@garant1.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Дженель Стафф, ООО";"gen-el.ru";"";"kurkinae@gen-el.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Аквалон";"www.aqualongroup.ru";"";"info@aqualongroup.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"KIEHL";"www.proffline.ru";"";"info@proffline.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"NUOVA MARTINI";"martini-srl.ru";"";"mail@martini-srl.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Новэлхим";"novelhim.ru";"";"info@novelhim.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"АСТАРИ";"www.lavorpro.ru";"";"zapros@lavorpro.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"ВИТА-ПУЛ";"www.vitapool.ru";"";"info@vitapool.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Современные решения";"b2b-robotics.ru";"";"main@b2b-robotics.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"СИКМО";"dry.плекс.рф";"";"stirka@sikmo.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"ПРОХИМ, ООО";"www.prokhim.ru";"";"info@prokhim.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"АТЛАНТА";"www.silechemicals.ru";"";"info@silechemicals.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"ТОРГОВЫЙ ДИЗАЙН, АО";"www.t-d.ru";"";"info@t-d.ru "
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"СИГУР";"sigur.su";"";"sale@sigur.su"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Hendlex";"hendlex.ru";"";"info@hendlex.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"АГБИС";"www.agbis.ru";"";"company@agbis.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Т-КОМПАНИ, ООО";"t-co.ru";"";"sale@t-co.ru "
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Клинин, ООО";"www.klinin.com";"";"hello@klinin.com"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"ИНГКОМА";"www.ingcoma.com";"";"info@ingcoma.com"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Адрия и К, ЗАО";"www.adria.spb.ru";"";"info@adria.spb.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Artix Robots";"artix.su";"";"marketing@artix.su"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Объединенные нетканые материалы, ООО";"www.iwipe.ru";"";"info@unw.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"Профит-Юг";"profit-wfp.turbo.site";"";"profit-yug@mail.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"BUZIL (ПАРТНЕР В РФ - СОДРУЖЕСТВО) - BUCLEAN.RU";"www.buzil.com; www.buclean.ru";"";"buclean@mail.ru"
"https://www.cleanexpo-moscow.ru/ru-RU/about/exhibitor-list.aspx";"ЭКОЛАБ АО";"cinalab.ru";"";"info@cinalab.ru"
