Ссылка;Название;Сайт;Телефон;Email
"https://online.gefera.ru/info/TT25/catalog/ec18cc75-475f-1120-c1f1-c2f11939ebf2/";"An Hui Yuliu Packaging Machinery Co.,Ltd";"http://www.sh-yuliu.com";"+86(555)6472-016";"yuliu_sd08@163.com"
"https://online.gefera.ru/info/TT25/catalog/14e8d843-6604-cd53-cdaa-669d081b73ec/";"Anhui Kingtex Material Technology Co., Ltd";"http://www.kingtexfabric.com";"+86(139)6733-1581";"pony@kingtexfabric.com"
"https://online.gefera.ru/info/TT25/catalog/cb7aafb9-f4ca-bdea-b2f2-a40a031cc8d2/";"BEIJING SOONERCLEANING TECHNOLOGY CO., LTD";"http://www.soonercleaning.com";"+86(010)6716-2010";"amber@soonercleaning.com"
"https://online.gefera.ru/info/TT25/catalog/2fafc417-61d8-ffad-d895-d8e8e7a9cfc6/";"Changshu Feilong Nonwoven Machinery CO.,LTD";"http://www.feilong.cn";"+86(512)5258-7579";"info@feilong.cn"
"https://online.gefera.ru/info/TT25/catalog/58a94d43-2860-1953-a123-9577d0430825/";"CHANGSHU HONGYI NONWOVEN MACHINERY CO.,LTD";"http://www.hongewf.com";"+86(512)5286-0355";"admin@hongyiwf.cn"
"https://online.gefera.ru/info/TT25/catalog/72c4c749-1a9a-2dbb-966e-476b71cf1f77/";"Changshu Weicheng Nonwoven Equipment Co., Ltd.";"https://www.csfzz.com";"+86(512)5258-1266";"nonwoven@chinaweicheng.cn"
"https://online.gefera.ru/info/TT25/catalog/d130b3ec-9b02-f9da-d4a0-73fc70112624/";"Changshu Xinyang Nonwoven Equipment Co.,Ltd";"http://www.csxynonwoven.com";"+86(512)5255-0878";"xinyangwufang@163.com"
"https://online.gefera.ru/info/TT25/catalog/ab833d4b-f88e-80d1-8331-4210a3a1fcd1/";"CHANGZHOU JUJIN AUTOMATION EQUIPMENT CO.. LTD";"http://czjijin.com";"+86(138)6118-4977";"czjujin@qq.com"
"https://online.gefera.ru/info/TT25/catalog/d34e9dfd-f4ff-412c-f8e7-e8a44125aa0a/";"Changzhou Youcra Machinery Technology Co.,Ltd";"http://Http://www.youcra.com";"+86(519)8886-5517";"youcra@youcra.com"
"https://online.gefera.ru/info/TT25/catalog/98e1e844-1afa-b7a5-e03c-2c373429c6d1/";"CL NONWOVEN MACHINERY CO., LTD.";"http://www.clnonwoven.com";"+86(577)8608-8788";"sales1@clnonwoven.com"
"https://online.gefera.ru/info/TT25/catalog/8760769f-7951-b683-caf3-fab3f03295b6/";"CTA HI-TECH TEXTILES CO., LTD.";"http://www.coating";"+86(022)8212-0280";"jinyanchun@gt.cn"
"https://online.gefera.ru/info/TT25/catalog/18a08410-0154-6523-ae53-bc348f7002d8/";"Dalian HuaYang Bicoweb Technology Co.,Ltd.";"http://www.dlhyltd.com";"+86(411)6585-3585";"sales@dlhyltd.com"
