—Ò˚ÎÍ‡;Õ‡Á‚‡ÌËÂ;—‡ÈÚ;“ÂÎÂÙÓÌ;Email
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374870?&stand=3C42";"1ERP";"https://1-erp.ru/";"+7 (929) 709-1130";"pavel@ra-psp.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/373064?&stand=3D30";"BESTLY";"http://www.bestly.ru/";"+7 (499) 917-0390";"info@bestly.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375016?&stand=3C68";"GUANGDONG YIDU TECHNOLOGY LTD";"http://www.yidu-graphics.com/";"+86 18612038777";"sales@yiduinkjet.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375011?&stand=3E45";"GUANGZHOU GUANYI ADHESIVE PRODUCTS CO. LTD";"http://www.doramarkfilm.com/";"+86 13533225537";"Ted@doramarkfilm.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375013?&stand=3C62";"HEBEI HONGDING PLASTIC MANUFACTURING CO. LTD";"http://www.hdmaterials.com/";"+86 13146803890";"amanda@hongdingsy.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374505?&stand=3C10";"InkTec";"http://inktec.ru/";"8 800 250-1420";"marketing@inktec.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375014?&stand=3C64";"JIANGSU YINGPAI DECORATIVE MATERIALS CO. LTD";"https://jsxinyue.en.alibaba.com/";"+86 15961212272";"mayxu@groupxinyue.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375015?&stand=3C66";"JIANGYIN YUYUAN INTERNATIONAL TRADING CO. LTD";"http://www.flexbanners.com/";"+86 51086903272";"sunny@flexbanners.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375003?&stand=3A30";"JUMEI ACRYLIC MANUFACTURING CO. LTD";"http://www.jumeiacrylic.com/";"+86 021-60709706";"info@jumeiacrylic.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/373065?&stand=3E10";"LENTRI";"http://www.compotex.ru/";"+7 (499) 714-4000";"order@lentri.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375010?&stand=3E40";"LEYEE INTERNATIONAL CO. LTD";"http://www.cninkjet.com/";"+86 18267377039";"robertjin@cninkjet.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374516?&stand=3A10";"PRINTX";"https://printx.spb.ru/";"+7 (952) 262-0960";"mmteh.spb@yandex.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375002?&stand=3A55";"SHANGHAI DER NEW MATERIALS CO. LTD";"http://www.der-factory.com/";"+86 2154361795";"steven@derflex.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375012?&stand=3C60";"SHANGHAI MIRO IMPORT AND EXPORT CO. LTD";"https://www.mirowallcovering.com/";"+86 2168881570";"Bella@mirowallcovering.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374536?&stand=3B32";"SHANGHAI XIANGHE NEW MATERIALS CO. LTD";"http://www.sh-xianghe.cn/";"+86 13402133866";"info@sh-xianghe.cn"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375009?&stand=3E35";"SHANGHAI YESION INDUSTRIAL CO. LTD";"http://www.yesion.com/";"+86 18001836806";"yesion@yesion.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375006?&stand=3A45";"SHANGHAI YONGGUAN ADHESIVE PRODUCTS CORP. LTD";"http://www.ygtape.com/";"+86 13524602500";"export2@ygtape.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375004?&stand=3A35";"SHANGHAI YUNLIN MATERIALS CO. LTD";"http://www.glorymaterial.com/";"+86 13917321995";"jane@glorymaterial.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374568?&stand=3C44";"STANBER";"http://www.stanber.com/";"+7 (925) 067-4355";"info@stanber.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375007?&stand=3A50";"WEIFANG HENGCAI DIGITAL PHOTO MATERIALS CO. LTD";"http://www.hcsminkjet.com/";"+86 5362190926";"sundy@hcsminkjet.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375008?&stand=3E30";"XUSEN HCR DIGITAL MEDIA CO. LTD";"http://www.hcr.cn/";"+86 76085625297";"alexhuang@hcr.cn"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374535?&stand=3B34";"YIWU DONGCHENG DIGITAL TECHNOLOGY CO. LTD";"https://www.reklama-expo.ru/";"+86 579 85208079";"benson@mydc588.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/375005?&stand=3A40";"ZHONGSHAN DIQI NEW MATERIAL CO. LTD";"http://www.diqiworld.com/";"+86 13928128878";"sales@diqiworld.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/373062?&stand=3E25";"¿–»-œ–»Õ“";"https://ari-print.ru/";"+7 (985) 482-2980";"ariprint.zakaz@gmail.com"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/373104?&stand=3B40";"¬»Õ , ŒŒŒ";"http://www.vink.ru/";"8 800 550-7888";"marketing@vink.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374556?&stand=3D18";"ƒ∆≈—“";"http://www.gest.ru/";"+7 (495) 580-2990";"call@gest.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374877?&stand=3B35";"»Õ‘ŒÀ¿«≈–, ŒŒŒ";"https://infolaser.ru/";"8 800 222-2741";"info@infolaser.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374868?&stand=3D28";" ¬Œ “–›…ƒ, ŒŒŒ";"http://www.kvotrade.ru/";"+7 (495) 989-1231";"info@kvotrade.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374525?&stand=3C50";"À¿¬ »Õ , ŒŒŒ";"http://www.sign-in-russia.ru/";"+7 (495) 020-1128";"service@sign-in-russia.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/373105?&stand=3D50";"À–“";"http://www.lrt.ru/";"+7 (495) 730-5118";"info@lrt.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374865?&stand=3D22";"Œ‘œŒÀ»“–≈…ƒ, ŒŒŒ";"https://offpolytrade.ru/";"+7 (967) 211-1266";"info@offpolytrade.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374542?&stand=3D20";"œ–ŒÃŒ—“Œ… ¿.–‘";"http://standline.ru/";"+7 (495) 532-4142";"info@standline.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/b67ac0c5-40d1-11ee-80ce-a0d3c1fab97f/exhibitors/374561?&stand=3B30";"œ–ŒÃ›Õ≈–√Œ√–”œœ, ŒŒŒ";"http://www.linkprint.net/";"+7 (915) 233-7566";"info@point.by"
