яЯШКЙЮ;мЮГБЮМХЕ;яЮИР;рЕКЕТНМ;Email
"https://icatalog.expocentr.ru/ru/exhibitions/de590dc1-417d-11ee-80ce-a0d3c1fab97f/exhibitors/375390?stand=18B226";"ABRIS (QINGDAO) TECHNOLOGY CO. LTD";"https://www.xiongdiyanmo.com/";"+86 13792441378";"chunpenghan@126.com"
"https://icatalog.expocentr.ru/ru/exhibitions/de590dc1-417d-11ee-80ce-a0d3c1fab97f/exhibitors/375464?stand=14C085";"AIKO RATTAN";"https://aiko.uz/";"+998 99 8341188";"sales@aiko.uz"
"https://icatalog.expocentr.ru/ru/exhibitions/de590dc1-417d-11ee-80ce-a0d3c1fab97f/exhibitors/375258?stand=15C130";"AKS";"http://aks.by/";"+375 445008500";"mail@aks.by"
"https://icatalog.expocentr.ru/ru/exhibitions/de590dc1-417d-11ee-80ce-a0d3c1fab97f/exhibitors/375482?stand=13D040";"ALBAZO";"http://www.albazo.ru/";"+7 (960) 057-2060";"kaznakzn@gmail.com"
"https://icatalog.expocentr.ru/ru/exhibitions/de590dc1-417d-11ee-80ce-a0d3c1fab97f/exhibitors/375362?stand=15B140";"ALF INTERNATIONAL GROUP";"https://alfint.ru/";"+7 (495) 215-1847";"info@alfint.ru"
"https://icatalog.expocentr.ru/ru/exhibitions/de590dc1-417d-11ee-80ce-a0d3c1fab97f/exhibitors/375511?stand=18C235";"ANJI BOYUE FURNITURE CO. LTD";"https://www.meb-expo.ru/";"+86 18259448886";"guozhangxin@hotmail.com"
"https://icatalog.expocentr.ru/ru/exhibitions/de590dc1-417d-11ee-80ce-a0d3c1fab97f/exhibitors/375569?stand=18C217";"ANJI LONGBO FURNITURE CO. LTD";"http://www.boliss.com/";"+86 18268222673";"alice2@boliss.com"
"https://icatalog.expocentr.ru/ru/exhibitions/de590dc1-417d-11ee-80ce-a0d3c1fab97f/exhibitors/375510?stand=18C070";"ANJI MINGPAI FURNITURE CO. LTD";"https://www.meb-expo.ru/";"+86 13567979288";"13857121099@163.com"
"https://icatalog.expocentr.ru/ru/exhibitions/de590dc1-417d-11ee-80ce-a0d3c1fab97f/exhibitors/375509?stand=18B185";"ANJI MINGRUI FURNITURE CO. LTD";"http://www.mingruifurniture.com/";"+86 15067250703";"jane@mingruifurniture.com"
"https://icatalog.expocentr.ru/ru/exhibitions/de590dc1-417d-11ee-80ce-a0d3c1fab97f/exhibitors/375453?stand=18C210";"ANJI OUCHUANG FURNITURE CO. LTD";"http://www.otran.com.cn/";"+86 05725309039";"billy@otran.com.cn"
"https://icatalog.expocentr.ru/ru/exhibitions/de590dc1-417d-11ee-80ce-a0d3c1fab97f/exhibitors/375334?stand=13D055";"ARBEN";"http://www.arben-textile.ru/";"8 800 505-2839";"info@arben-textile.ru"
