Категория;URL категории;Подкатегория;URL подкатегории
"Управление производством";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=170";"Руководителям производств";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=69"
"Управление производством";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=170";"Управление цехом";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=163"
"Управление производством";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=170";"Конструкторам";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=164"
"Управление производством";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=170";"Технологам";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=165"
"Управление производством";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=170";"Обслуживание оборудования";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=166"
"Управление производством";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=170";"Автоматизация";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=167"
"Материалы, технологии, оборудование";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=100";"";""
"Бережливое производство";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=119";"";""
"Гособоронзаказ";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=126";"";""
"Импортозамещение";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=144";"";""
"Управление качеством";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=52";"";""
"Стандартизация. Метрология";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=36";"";""
"Закупки. Снабжение. Склад";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=154";"Закупки и снабжение";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=35"
"Закупки. Снабжение. Склад";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=154";"Госзакупки";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=152"
"Закупки. Снабжение. Склад";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=154";"Склад";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=153"
"Транспорт";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=139";"ЖД перевозки";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=84"
"Транспорт";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=139";"Автотранспорт";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=85"
"Транспорт";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=139";"Транспортная логистика";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=70"
"Интеллектуальная собственность";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=31";"";""
"Управление инновациями";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=128";"";""
"Легкая промышленность";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=121";"";""
"Экономическая и юридическая";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=145";"";""
"Кадровые риски";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=146";"";""
"Пожарная безопасность";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=147";"";""
"Безопасность систем управления";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=148";"";""
"Промышленная безопасность";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=149";"";""
"Экологическая безопасность";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=150";"";""
"Информационная безопасность";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=151";"";""
"Охрана труда";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=37";"";""
"Комплексная безопасность";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=50";"";""
"Энергосбережение";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=118";"";""
"Экономика и инвестиции в энергетике";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=116";"";""
"Правовое регулирование в энергетике";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=115";"";""
"Эксплуатация объектов ТЭК";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=117";"";""
"Проектирование. Изыскания";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=20";"";""
"Строительство: организация и управление";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=88";"";""
"Инженерные сети: проектирование и строительство";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=140";"Слаботочные системы";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=110"
"Инженерные сети: проектирование и строительство";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=140";"Газоснабжение";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=111"
"Инженерные сети: проектирование и строительство";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?action=1&column=140";"Водоснабжение и водоотведение";"https://www.cntiprogress.ru/seminarsforcolumn/default.aspx?column=112"
