Ссылка;Название;Сайт;Телефон;Email
"https://shoesstar.ru/ru/ekb/brandlist/Adanex";"Adanex";"www.adanexshoes.ru, www.evalli.ru";"+7 (499) 123 21 21";"adanex@mail.ru, info@evalli.ru"
"https://shoesstar.ru/ru/ekb/brandlist/Aidini";"Aidini";"www.aidini-official.ru";"+7 982 6679628";"aidini@list.ru"
"https://shoesstar.ru/affinity";"Affinity";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/amantoni";"Amantoni";"www.amantoni.ru";"+7 (499) 940-34-26, +7 (499) 940-34-27";"yuoris-gala@yandex.ru"
"https://shoesstar.ru/anta";"Anta";"www.anta-sport.ru";"+7 926 696-21-28";""
"https://shoesstar.ru/ru/ekb/brandlist/Analpa";"Analpa";"www.analpa.ru";"+7 (495) 640 77 63";"info.analpa@gmail.com"
"https://shoesstar.ru/ru/ekb/brandlist/angelovani";"Angelo Vani";"www.angelvash.ru";"";"angelvash@yandex.ru"
"https://shoesstar.ru/ru/ekb/brandlist/Antilopa";"Antilopa";"www.antilopa.ru";"";""
"https://shoesstar.ru/ru/ekb/brandlist/areesmeniwa";"Arees Meniwa";"vip.sina, www.areesmeniwa.com";"";"areesmeniwa@vip.sina.com"
"https://shoesstar.ru/ru/brandlist/artapparel";"ArtApparel";"";"";""
"https://shoesstar.ru/fantini-pelletteria";"Atmosfera Forti";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/atrend";"Atrend";"http://atrend.pro/byer, www.atrend.pro";"+7 (926) 262 49 28";"info@atrend.pro"
"https://shoesstar.ru/ru/ekb/brandlist/aurorastar";"Aurorastar";"www.aurora-star.com";"+7 495 777-88-25";"info@aurora-star.com"
"https://shoesstar.ru/baasploa";"Baasploa";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/babysky";"Baby-Ortho";"";"";"diani-dekor@yandex.ruhata.abakan"
"https://shoesstar.ru/ru/ekb/brandlist/Baden";"Baden";"robek.ru/optwww.baden.ru";"8 (800) 50-56-054";"opt@robek.ru"
"https://shoesstar.ru/balidoner";"Balidoner";"";"8 1133 8266, 8 1056 8021";"balidoner@163.com"
"https://shoesstar.ru/ballina";"Ballina";"";"+8613533321719, +8613926231519";"ballina_shoes@163.com"
"https://shoesstar.ru/ru/brandlist/barborrylia";"Barborrylia";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/basconi";"Basconi";"www.basconi.su";"+7 (495) 236-88-99";"opt1@basconi.su, fr@basconi.su"
"https://shoesstar.ru/belsta";"Belsta";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/belwest";"Belwest";"";"+375 (212) 49-11-30, +375 (212) 20-46-26, +375 (29) 510-06-26";""
"https://shoesstar.ru/ru/ekb/brandlist/Benetti";"Benetti";"robek.ru/opt";"8 (800) 50-56-054";"opt@robek.ru"
"https://shoesstar.ru/berisstini";"Berisstini";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/berkonty";"Berkonty";"www.bkonty.ru";"+7 (495) 727 68 95";"info2@berkonty-shoes.ru"
"https://shoesstar.ru/braus";"Braus";"";"8-800-201-79-44, 8(343)229-00-30";""
"https://shoesstar.ru/ru/ekb/brandlist/Bonavi";"Bonavi";"";"";"svv-opt2018@mail.ru"
"https://shoesstar.ru/ru/ekb/brandlist/Bottilini";"Bottilini";"www.bottilini.ru";"";"bottilini@b-step.ru"
"https://shoesstar.ru/ru/ekb/brandlist/burgerschuhe";"Burgerschuhe";"www.burgerschuhe.com";"";"info@antigololed.com"
"https://shoesstar.ru/caleste";"Caleste";"";"+7 916 003 12 05";""
"https://shoesstar.ru/ru/ekb/brandlist/calisir";"Calisir";"http://www.calisirayakkabi.com";"+90 532 489 19 34, +90 332 346 19 34";"osmancalisir@hotmail.com.tr"
"https://shoesstar.ru/ru/ekb/brandlist/Caprice";"Caprice";"http://missroyshoes.com, caprice-russia.ru";"83432535678, +7 (495) 640 63 49";""
"https://shoesstar.ru/carmela";"Carmela";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/clemento";"Clemento";"";"";"rfarmanov97@gmail.com"
"https://shoesstar.ru/ru/ekb/brandlist/coralmoon";"Coral Moon";"";"";"marjanat91@mail.ru"
"https://shoesstar.ru/cosottinni";"Cosottinni";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/CVMartanni";"CV Martanni";"";"";"cvmartanni85@mail.ru"
"https://shoesstar.ru/ru/ekb/brandlist/Defonseca";"De Fonseca";"www.defonseca.com/ru";"+7 495 780-58-12";"moscow@defonseca.it"
"https://shoesstar.ru/ru/ekb/brandlist/deenoor";"Deenoor";"cosottinni.official";"";"cosottinni.official@gmail.com"
"https://shoesstar.ru/demaris";"Demaris";"www.allist.business";"";""
"https://shoesstar.ru/ru/ekb/brandlist/derya";"Derya Shoes";"www.deryashoes.ru";"";"ecem@mail.ru"
"https://shoesstar.ru/ru/ekb/brandlist/diniya";"Diniya";"www.diniya.ru";"";"sale@diniya.ru"
"https://shoesstar.ru/dino-ricci";"Dino Ricci";"www.dinoricci.ru";"+7 (495) 287-19-80";"info@in-shoes.ru"
"https://shoesstar.ru/ru/ekb/brandlist/doctorburger";"Doctor Burger";"www.burgerschuhe.com";"";"info@antigololed.com"
"https://shoesstar.ru/ru/ekb/brandlist/ElTempo";"El Tempo";"robek.ru";"8 800 511-01-55";""
"https://shoesstar.ru/ru/ekb/brandlist/enrico";"Enrico";"";"";""
"https://shoesstar.ru/enzoexclusive";"Enzo Exclusive";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/elegami";"Elegami";"http://www.parcom.ru, https://pk-zarya.ru";"+7 499 235 31 31";"info@pk-obuv.ru"
"https://shoesstar.ru/ru/ekb/brandlist/ERTA";"ERTA";"https://erta-shoes.ru";"+7 (383) 311-00-84, +7 (383) 311-00-85";"novosib@opt-shoes.com"
"https://shoesstar.ru/ru/ekb/brandlist/Escan";"Escan";"www.escan.ru";"";"an@inbox.ru"
"https://shoesstar.ru/eshemoda";"Eshemoda";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/Estello";"Estello";"https://robek-opt.ru/,opt@robek.ru";"8 (800) 50-56-054";""
"https://shoesstar.ru/ru/ekb/brandlist/Adanex";"Evalli";"www.adanexshoes.ru, www.evalli.ru";"+7 (499) 123 21 21";"adanex@mail.ru, info@evalli.ru"
"https://shoesstar.ru/ru/ekb/brandlist/Evita";"Evita";"www.nsk.robek, -opt.ru";"+7 926 755 74 01";"nsk@robek.ru"
"https://shoesstar.ru/fantini-pelletteria";"Fantini Pelletteria";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/Flamingo";"Flamingo";"www.flamingokids.ru, www.flamingokids-kz.com";"+7 (968) 404-92-76, +7 (968) 404-92-77, +7 (775) 600-54-20, +7 (707) 634-14-13";"info@flamingokids.ru, flamingo1kz@mail.ru"
"https://shoesstar.ru/ru/ekb/brandlist/Flioraj";"Flioraj";"www.flioraj.ru";"+7 (499) 769-36-65";""
"https://shoesstar.ru/ru/ekb/brandlist/FrancescoDonni";"Francesco Donni";"https://francesco.ru";"8 800 707 58 277 495 215";"opt@robek.ru"
"https://shoesstar.ru/ru/ekb/brandlist/galashoes";"Gala Shoes";"ng-shoes.ru, amantoni.ru";"+7 (499) 940-34-26, +7 (499) 940-34-27";"yuoris-gala@yandex.ru"
"https://shoesstar.ru/renzoni";"Geronea";"";"+7-900-909-15-55";""
"https://shoesstar.ru/ru/ekb/brandlist/Giulianiromano";"Giuliani Romano";"";"8 (495) 364-96-97";"5258778@mail.ru, 7779052@mail.ru"
"https://shoesstar.ru/graciana";"Graciana";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/Grisport";"Grisport";"www.grisport.ru";"";""
"https://shoesstar.ru/ru/ekb/brandlist/grunberg";"Grunberg";"www.analpa.ru";"+7 (495) 640 77 63";"info.analpa@gmail.com"
"https://shoesstar.ru/idzi";"Idzi";"www.idzi.by";"+375 (17)308 14 25";""
"https://shoesstar.ru/ru/ekb/brandlist/prisma_new";"Imac";"www.prismashoes.ru";"+7 (495)637-67-42";"info@prismashoes.ru"
"https://shoesstar.ru/imza";"IMZA";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/Ionessi";"Ionessi";"www.ionessi.ru";"+7 (391) 227-72-69";"torg1@ionessi.ru"
"https://shoesstar.ru/istaniumshoes";"Istaniumshoes";"";"";""
"https://shoesstar.ru/jumbo";"Jumbo";"";"";""
"https://shoesstar.ru/ru/ekb/brandlist/kapika";"Kapika";"www.kapika.ru";"+7 (727) 333-16-11";"mp@kapika.kz"
"https://shoesstar.ru/karussia";"Karussia";"www.karussia.ru";"88005503928, 8-800-550-39-28";"info@karussia.ru"
"https://shoesstar.ru/ru/ekb/brandlist/keddo";"Keddo";"www.analpa.ru";"+7 (495) 640 77 63";"info.analpa@gmail.com"
"https://shoesstar.ru/kedberry";"Kedberry";"";"+7 (499) 430 00 19";""
"https://shoesstar.ru/kofr21";"Kofr21";"";"817004264";"myname@kofr21.com"
"https://shoesstar.ru/ru/ekb/brandlist/LadyOne";"Lady One";"";"";"svv-opt2018@mail.ru"
"https://shoesstar.ru/ru/ekb/brandlist/LadyShoes";"Lady Shoes";"https://www.lady-opt.ru, www.lady-opt.ru";"";"lady-opt@yandex.ru"
"https://shoesstar.ru/ru/ekb/brandlist/Lagrandezza";"Lagrandezza";"";"";""
"https://shoesstar.ru/lapyatrendlimited";"Lapya Trend";"";"";""
