—Ò˚ÎÍ‡;Õ‡Á‚‡ÌËÂ;—‡ÈÚ;“ÂÎÂÙÓÌ;Email
"https://textile-salon.ru/katalog-uchastnikov/toraman_tekstil/";"TORAMAN TEKSTIL";"toramantekstil.com, https://www.toramantekstil.com";"+ 90 212 474 82 07/08";"info@toramantekstil.com.tr"
"https://textile-salon.ru/katalog-uchastnikov/karinca/";"KARINCA TEKSTIL";"www.karincatekstil.com";"+90 212 233 20 03, +90 212 231 84 52";"ahmet@karincatekstil.com, ferruh@karincatekstil.com, sevilya@karincatekstil.com"
"https://textile-salon.ru/katalog-uchastnikov/ozel-tekstil/";"OZEL TEKSTIL";"www.ozeltekstil.com";"+90 224 714-81-29, +90 530 462 80 78, +90 533 489 52 34, +7 926 932 58 61, +90 224 714-81-88";"info@ozeltekstil.com"
"https://textile-salon.ru/katalog-uchastnikov/isiksoy-tekstil/";"ISIKSOY TEKSTIL";"islam.ali, isiksoytekstil.com, www.isiksoytekstil.com";"+90 224 261 17 41, +90 530 610 16 39";"islam.ali@isiksoytekstil.com.tr"
"https://textile-salon.ru/katalog-uchastnikov/marsala-textile/";"MARSALA TEXTILE";"2.Sokak, www.marsalatextile.com";"+90 549 553 0403";"info@marsalatextile.com, shamil@marsalatextile.com"
"https://textile-salon.ru/katalog-uchastnikov/kipas/";"KIPAS / TKANI.BURO";"www.tkaniburo.ru";"+7 (929) 671-13-21";"info@tkaniburo.ru"
"https://textile-salon.ru/katalog-uchastnikov/arsor_tekstil/";"ARSOR TEKSTIL";"M.KARAER, CAD.ACELYA, www.arsortekstil.com";"+ 90 224 261 6017, + 90 533 148 69 22";"gokhankuyucu@arsortekstil.com"
"https://textile-salon.ru/katalog-uchastnikov/ozcimen_textile/";"OZCIMEN TEKSTIL";"www.ozcimentextile.com";"+90 224 261 04 71, +90 532 687 86 53";"fatih@ozcimentextile.com"
"https://textile-salon.ru/katalog-uchastnikov/yunsa/";"YUNSA";"www.yunsa.com";"+90 (216) 365 65 00";"iletisim@yunsa.com"
"https://textile-salon.ru/katalog-uchastnikov/cemsa-textile/";"CEMSA TEXTILE";"http://www.cemsatex.com, www.cemsatex.com, http://www.cemsatextile.com, www.cemsatextile.com";"+90 552 459 36 88, +90 532 357 6416";"info@cemsatex.com"
"https://textile-salon.ru/katalog-uchastnikov/ipek-fantazi-tekstil/";"IPEK FANTAZI TEKSTIL";"ipekfantazitekstil.com, http://www.ipekfantazi.com, www.ipekfantazi.com";"+90 212 5282956";"ibrahim@ipekfantazitekstil.com.tr"
"https://textile-salon.ru/katalog-uchastnikov/jmk_tekstil/";"JMK TEKSTIL";"jmk.com, http://www.jmk.com, www.jmk.com";"+90 212 231 32 32, +90 533 264 20 16";"alper@jmk.com.tr, info@jmk.com.tr"
"https://textile-salon.ru/katalog-uchastnikov/muratoglu-tekstil/";"MURATOGLU TEKSTIL";"www.muratoglutekstil.com";"+902122256504";"muratoglu@muratoglutekstil.com"
"https://textile-salon.ru/katalog-uchastnikov/surteks/";"—”–“≈ —";"https://t.me/surteks, https://surteks.ru";"+7 (910) 998-21-21, +7 (910) 995-21-21, +7 (910) 996-21-21";"sales@surteks.ru, moscow@surteks.ru, ivanovo@surteks.ru"
"https://textile-salon.ru/katalog-uchastnikov/unteks/";"”Õ“≈ —";"http://www.unteks.ru, www.unteks.ru";"8 (800) 600-53-76";"unteks@mail.ru"
"https://textile-salon.ru/katalog-uchastnikov/er-ez/";"ER-EZ GROUP";"www.er-eztextile.com";"+90 (224) 372 23 36 37";"hasan@er-eztextile.com, info@er-eztextile.com"
"https://textile-salon.ru/katalog-uchastnikov/almodo/";"ALMODO TEKSTIL";"Ekaterina.selifontyeva, almodo.com, www.almodo.com";"+90 212 230 37 28";"Ekaterina.selifontyeva@almodo.com.tr"
"https://textile-salon.ru/katalog-uchastnikov/paxtakor_teks/";"PAXTAKOR TEKS";"https://paxtakor-teks.uz";"+7 495 145 37 89";"sales@paxtakor-teks.uz"
"https://textile-salon.ru/katalog-uchastnikov/ilgi_tekstil/";"ILGI ORME TEKSTIL";"www.ilgitextile.com";"+90 507 635 56 84, +90 530 117 47 93";"export@ilgitextile.com"
"https://textile-salon.ru/katalog-uchastnikov/petromix/";"œ≈“–ŒÃ» — “ ";"https://store.petromix";"+7 (495) 640-29-37, +7 (812) 309-00-55";"sales@petromix.su"
"https://textile-salon.ru/katalog-uchastnikov/mayer_home/";"MAYERHOME";"http://www.mayerhome.ru, www.mayerhome.ru";"7 (926) 684-00-77, +7 (926) 858-22-70";"mayerhome@mail.ru"
"https://textile-salon.ru/katalog-uchastnikov/pnk_kirova/";"œÕ  »Ã.  »–Œ¬¿";"Senior.sale";"+7 (812) 380-40-17";"Senior.sale@pnk.ru"
"https://textile-salon.ru/katalog-uchastnikov/habitex/";"HABITEX";"https://habitexlife.com";"";"habitex@habitexlife.com"
